ID,Why_Stopped,Enrollment_Count,Primary_Outcome_Measure
112991,,15,"Detection of Imaging Biomarkers of acute cardiac inflammation, Detection of Imaging Biomarkers of late cardiac inflammation, Detection of Imaging Biomarkers of acute cardiac perfusion changes, Detection of Imaging Biomarkers of late cardiac perfusion changes, Detection of cardiac fibrosis"
17-01549,,170,To compare GSI-measured breast SFA fraction between women with malignant and benign lesions.
TET-21-001,,60,Number of commercial Antibodies capable of Identify specific Breast Cancer Biomarkers
202101073,,1277,"Change in Total Knowledge Score of Screening Mammography Guidelines, Feelings of Being Fully Informed and Clear About the Importance of the Components for Making Informed Decisions as Measured by the Decisional Conflict Scale (DCS), Values Clarity Subscale, Decision Self-efficacy as Measured by the 5-Point Decision Self-Efficacy Scale, Preparation for Decision Making Scale as Measured by PrepDM"
"estPerMed 1, Breast",,28389,Proportion of women in the population with genetically higher risk for breast cancer
68824072019,,77,"Breast Cancer Screening, Health Belief Model Scale (Susceptibility, Health Motivation sub-factors), Breast Cancer Fear Scale, Healthy Lifestyle Behaviors Scale II (Health Responsibility, Physical Activity and Nutrition Sub-Scale), International Physical Activity Questionnaire (IPAQ)"
3055,,2780,Five year overall survival
20220303swj0211,,90,To examine the efficacy of brief acceptance and commitment therapy on disease acceptance and quality of life of breast cancer patients
RC20_0532,,66000,Participation in organised screening for breast cancer
Breast Cancer Risk,,16164,Incident breast cancer within 3 months to 7 years after the assessment of sonographic GTC
KMUHIRB-E(I)-20200041,,73,Self-efficacy
VGHKS18-CT11-17,,351,Total number of cases received and diagnosed with breast cancer (Number)
832165,,50,PARP-1 Activity in Breast Cancer
ICO-2019-08,,36,"Evaluate the quality of life of patients with an adjuvant breast cancer treated at the ICO depending on the patient benefit or not from the TM during the chemotherapy in a hospital day care, Change from basline quality of life during breast cancer treatment"
biomarkers in breast cancer,,80,measure chemerin and Circular RNA in breast cancer patients
GEICAM/2017-07,,1000,"Number of participants with breast cancer diagnosis during the gestation, breastfeeding, first year after the delivery (not during breastfeeding period), after a pregnancy and followed by any fertility preservation method before the anticancer treatment, Race of participants with breast cancer diagnosis during the gestation, breastfeeding, first year after the delivery (not during breastfeeding period), after a pregnancy and followed by any fertility preservation method before the anticancer treatment, Age of participants with breast cancer diagnosis during the gestation, breastfeeding, first year after the delivery (not during breastfeeding period), after a pregnancy and followed by any fertility preservation method before the anticancer treatment"
LCCC2207,,15,"Key barriers for use a metastatic breast cancer-specific prognostic tool, Key facilitators for use of a metastatic breast cancer-specific prognostic tool"
4452,,367,Development of a HDI classifier enabling early noninvasive diagnosis of breast cancer with similar accuracy compared to breast biopsies
MCC-21448,,100,"Rate of Brain Metastasis, Rate of Brain Metastasis"
2017-0588,,11,Reach: Proportion of Participants who Utilize the Decision Aid
SK-421-BRCA,,66,Cancer-specific Quality of Life
autotaxin1,,110,Autotaxin as a tumor marker
UPCC 19121,,300,"Collecting, processing and archiving breast cancer tumor tissues"
DS8201-A-U302,,524,"Progression-Free Survival (PFS) Based on Blinded Independent Central Review (BICR) in Participants With HER2-Positive, Unresectable and/or Metastatic Breast Cancer Previously Treated With Trastuzumab and Taxane"
CCR 5113,,240,Goal achievement
21-480,,70,Identify barriers for breast cancer diagnosis in Tanzania.
LQ005,,100,"Pathway regulatory mechanism during palbociclib treatment on ER+/HER2- breast cancer., Patterns of clonal changing on lesions during treatment of palbociclib combined endocrinotherapy."
ICO-N-2017-02,The study was stopped prematurely due to insufficient recruitment,50,False-negative rate in patients with a second SLNB procedure for IBTR
medicin,,100,To estimate the level of serum ATX as a diagnostic marker for breast cancer.
METCZ20200211,,40,The concordance in detection of sentinel nodes by Magtrace and the Technetium tracer.
2021LC2210,,30000,The performance of breast cancer screening based on AB US with remote reading mode
17-581,,17,Decision-making around endocrine therapy in young women with HR+ breast cancer.
2020-A00058-31,,1100,Validation of the value of molecular profiling analysis in broadband laser spectroscopy on liquid biopsies for breast cancer screening
NCC3299,,1821,pathological complete response
351-19,,74,"Relative blood volume, Blood flow, Change of relative blood volume, Change of blood flow"
ESR-21-21505,,2500,"the treatment pattern in HER2+, and HR+HER2- early and advanced breast cancer patients in county in each cohort"
LUMHS/REC/-17,,382,"Histopathology of tumour, Steroid receptor status"
PekingUPH10B004,,46,pathological complete response(pCR)
2014P002688a,,17379,"Cancer detection rate, Loss to follow-up, Patient volume and services received"
ODELIA,,25000,Diagnostic performance for breast cancer detection (Sensitivity and specificity)
CD3-MUC1 in breast cancer,No participants enrolled,0,Objective response rate
LCCC 1829,,500,"Change of treatment plan based on physician survey, Overall rate of clinical:molecular primary tumor subtype incongruence"
2022-080,,30,pathologic complete response
2018-TJ-BCP,,4200,"diagnostic accuracy (sensitivity, specificity, positive predictive value, negative predictive value) of SEMA4C in predicting recurrence of breast cancer"
20218,,13,"Identification of a maximum tolerated dose combination (MTDC) of entinostat and capecitabine, Frequency of adverse events (AEs) in participants with high-risk breast cancer after neo-adjuvant therapy, Severity (as graded with the Common Terminology Criteria for Adverse Events (CTCAE)) of adverse events (AEs) in participants with high-risk breast cancer after neo-adjuvant therapy"
2017-03-002A,,120,Diagnostic performance of PET/MR imaging metrics in prediction of treatment response to chemotherapy
LA LEAST,,290,Distant Relapse Free Interval at five years
1905795920,PI no longer working at Indiana University;,25,Fear of Cancer Progression and Recurrence (FCR7)
2015-004027-31,,24,"Tumoral uptake of [18F]GE-226 in patients with breast cancer measured using semi-quantitative parameters, Tumoral uptake of [18F]GE-226 in patients with breast cancer measured using fully quantitative parameters"
4-2018-0254,,200,The incidence rates of brain metastases with high risk patients in metastatic breast cancer
BREACE,,100,Change in the 30-second chair stand test
495077,,300,Change in staging and/or management due to added 18F-FDG PET/CT scan
CCR4684,,58,"Percentage of Breast Cancer Cohort Participants With Objective Response Assessed Using RECIST v1.1, Percentage of Basket Cohort Participants With Objective Response Assessed Using RECIST v1.1"
211753,,500,Proportion of eligible women who receive breast cancer risk assessment
1705018188,Temporarily paused per study team for interim data review.,14,Specificity of the PET-MRI Compared to MRI Alone as Assessed by the Percentage of True Negatives Out of All Benign/Non-malignant Lesions Breast Cancer
22-136,,60,Compare the rate of wound complications for partners who receive neoadjuvant radiotherapy (NART) and modified radical mastectomy with immediate autologous reconstruction (IR) following neoadjuvant chemotherapy (NAC) compared w/current standard of care
CDK-HeCOG-2019,,340,Toxicity rates
2020-0327,,88,Radiological evaluation of response to neoadjuvant chemotheraphy for breast cancer
RECO_CT29B,,200,"Detection (presence/absence) of specific urinary biomarker targets (HER2, PIK3CA) for breast cancer patients measured using ddPCR."
SH ABCD,,1550,Autoantibodies for breast cancer diagnosis
D8531C00002,,4300,Invasive breast cancer-free survival (IBCFS)
SOLTI-1910,,63,"Capacity of the RAD51-foci score to predict the efficacy of olaparib in BRCA1/2, PALB2 or RAD51C/D mut advanced breast cancer (cohort 1)"
1905202-3,,5000,The frequency of pathogenic or likely pathogenic variants of BRCA1/2 and other genetic susceptibility genes in Chinese community breast cancer population
Targeted axillary dissection,,30,"Evaluation the sensitivity of targeted axillary lymph node dissection in node positive breast cancer patients, Comparing sensetivity of targeted axillary dissection with traditional SLND"
2021-0215,,40,Change in tumor infiltrating lymphocytes (TILs) count in primary tumors from patients with high-risk early stage breast cancer following low-dose azacitidine therapy.
2022-8048-23560,,26,Occult breast cancer frequency
GFY202001,,200,To evaluate the trend of anti-Müllerian hormone (AMH) level at chemotherapy process and post-chemotherapy in breast cancer patients.
2019-A01861-56,,90,"Assessment of the correlation between the lymphocyte infiltration rate assessed on biopsy, and the NLR (neutrophil-to-lymphocyte ratio) measured on blood samples, in women with triple negative breast cancer, at the time of diagnosis."
18-634,,250,"Adjuvant treatment recommendations, Adherence to hormonal therapy, Barriers to treatment and adherence, Treatment patterns by age and other characteristics"
20 KHCC 202,,1000,"Prevalence of pathogenic or likely pathogenic germline variants among newly diagnosed breast cancer patients tested by universal multigene panel testing or guideline-based targeted testing, Number of participants with variants of uncertain significance (VUS) as assessed by universal multigene panel testing versus guideline-based targeted testing, The reasons/ Barriers for refusal of genetic cascade testing among newly diagnosed cancer patients"
IRB # 21-0026,,50,Number of participant tear samples collected.
IRB00002991,,50,"Time spend on the online adaptive workflow, Patient experience, Dosimetric data, DICOM images, Volumes, Number of monitor units (MU)."
17-398,,45,"Recruitment rate, Attrition rate, Change in distress"
ESR-17-12934,,390,Diagnostic performance of PD-L1 expression in breast cancer
LCCC 1954,,39,Feedback from patients regarding healthy weight communication through focus groups
69HCL22_0613,Study classified as out of scope by the Ethics Committee (not a project involving human person).,0,Change in Quality of life questionnaire score
LCCC2213,,30,Determining the key patient and caregiver factors impacting implementation of a metastatic breast cancer prognostic tool through semi-structured qualitative interviews.
IC 2018-01,,15,Ascertain breast cancer olfactive signature (Isolation of volatile Organic Compounds to breast cancer by a sensitive technique with an odor-sensing polymer (Sorbstar®)
IC 2020 08,,35,To ascertain the possibilities to isolate the breast cancer olfactive signature
PI17/00834,,387,"Attitude towards personalised breast cancer screening (by participant women), Intention to participate in personalised breast cancer screening, Satisfaction with personalised screening"
PekingUMCH-FAPI-BC-1,,100,"SUVmax was measured in the breast cancer lesions on 68Ga-FAPI PET/CT., Standardized uptake value of 68Ga-FAPI in BC"
PekingUMCH-FAPI-BC-2,,100,"The maximum standard uptake value (SUVmax ) was measured in the breast cancer lesions on Al18F-NOTA-FAPI-04 PET/CT., Standardized uptake value of Al18F-NOTA-FAPI-04 in BC"
FMASUMD232/2021,,40,Describe miRNA 21 expression level before and after neoadjuvant systemic therapy in breast cancer patient.
Breast immune checkpoint,,60,Immune checkpoints
IRB00283392,,3000,"Breast cancer screening intention for a hypothetical patient in survey vignette assessed by score on a scale, Breast cancer screening intention for participant assessed by score on a scale"
IRB17-0721,,74,Rate of overall response based on RECIST 1.1
180034,,30,"Cohort 1 - Progression-free Survival (PFS), Cohort 2 - Overall Response Rate (ORR) (Complete Response (CR) + Partial Response (PR) by the Response Evaluation Criteria in Solid Tumors (RECIST), Cohort 3 - Overall Response Rate (ORR) (Complete Response (CR) + Partial Response (PR) by the Response Evaluation Criteria in Solid Tumors (RECIST)"
BCL IDE,,448,Positive margin rate
REO 027,Enrollment into AWARE cohorts1-4 have concluded and the primary objective and core goals for the study were met.,26,To evaluate if pelareorep in combination with different therapies increases the value of the CelTIL score in women with operable early breast cancer. CelTIL is a combined IHC-based score based on tumor cellularity and stromal TILs.
CentroHLO_EFBreastCancer,,200,"Global medical assessment, Assessment of changes in the cardiac function/fitness status of the subjects"
elastography in breast cancer,,35,shear wave elastography assessment in patients with invasive breast cancer.
2018-177-IMP-EXP-4,,1000,"Correlation of TILs and PDL-1 in various molecular sub-types, PDL-1 expression in patients with Triple Negative Breast Cancer (TNBC), TILs and Tumor response to treatment, PD-L1 expression and Tumor response to treatment"
V3-MOMMO-01,,20,Effect on tumor size
PROICM 2020-01 OST,,246,Evaluate the prevalence of pelvic static disorders in patients treated for localized breast cancer and undergoing adjuvant hormone therapy (Hormontherapy +).
077-2019,,20,Incidence of toxicity and adverse events using MRg-FUS+MB treatment in patients with chest-wall and locally advanced breast cancer
18-281,,60,"The extent to which the Prosigna test results will change physicians pre-test decision regarding neoadjuvant treatment of patients with stage II-III ER/PR+, HER2-negative breast cancer"
2021-A02676-35,,163,Rate of establishment of exploitable organoids tumor
84434789,,500,"Number of triple negative breast cancer patients who decide to enroll in a clinical study, Rate of triple negative breast cancer patients who remain in a clinical study to completion"
2021-004,,20,Investigate the acute effect of chemotherapy administration on protein turnover cellular processes through vastus lateralis biopsies of breast cancer patients
CBS-PIK3CA,,120,"Clinical performance of PIK3CA kit in CTCs, plasma and tumor tissue samples of metastatic breast cancer patients"
Juçara Phd Thesis,,110,Post-treatment Satisfaction
18 SEIN 08,Slow recruitment rate,4,The rate of patients with conversion of FES negative lesions in FES positive lesions.
ARNA Breast 2021,,500,Number of woman with positive ARNA Breast test confirmed by biopsy (Sensitivity)
SNP-17-001,,118,Change in Breast Cancer Risk Management Recommendations
2021-012,,58,"Evaluation of DIBH and IMRT efficacy in preventing perfusion defect for left-sided breast cancer after radiotherapy, Evaluation of DIBH and IMRT efficacy in preventing perfusion defect for left-sided breast cancer after radiotherapy, Evaluation of DIBH and IMRT efficacy in preventing perfusion defect for left-sided breast cancer after radiotherapy"
69HCL18_0769,,2264,Participation of HCL female staff in mammography screening for breast cancer
2394,,1950,"Selection of features, Nomogram"
CASE12119,,100,"Percent of participants who took up genetic testing after not meeting NCCN guidelines for genetic testing, Mean overall patient satisfaction with decision about genetic testing: survey, Overall comprehension as assessed by BCGCKQ"
18-124,,82,5-year invasive disease-free survival rate
18-461,,209,Patient-reported outcome questionnaire - Fertility Preservation Questionnaire
2020-KY-064,,80,Progression Free Survival，PFS
3049,,537,Primary aim of this study is to identify patients perception of modesty during RT for breast cancer through the use of a dedicated 16 items questionnaire validated in a Delphi consensus for the purposes of this study
EFC16133,"Sponsor decision to prematurely stop the study, not linked to any safety concern",3,Invasive breast cancer-free survival (IBCFS)
CLEE011O12001,,2500,Invasive Breast Cancer Free Survival (iBCFS) rate at 3 years
82944089,,500,"Rate of patients who decide to enroll in a metastatic breast cancer clinical study., Number of metastatic breast cancer study participants who remain in clinical trial until completion."
NewGiza University Protocol 1,,200,Confirmed Breast Cancer Patients
s66248,,250,"Subjective upper limb function, Objective upper limb function, Prognostic value of presence of skin deformities, asymmetry, presence of scapular winging or other scapular or shoulder deformities, Prognostic value of pain intensity, Prognostic value of presence of neuropathic pain, Prognostic value of presence of sensory loss, Prognostic value of presence of widespread pain, Prognostic value of impact of pain on functioning, Prognostic value of Soft tissue stiffness index, Prognostic value of Total relative arm volume (%), Prognostic value of movement functions during a functional task, Prognostic value of Upper limb muscle strength (kg), Prognostic value of Pain catastrophizing, Prognostic value of Self-efficacy, Prognostic value of Depression, Anxiety and Stress, Prognostic value of Fear of movement, Prognostic value of Body-perception, Prognostic value of Quality of Life, Prognostic value of (Sub)optimal physical therapy care, Prognostic value of treatment with Chemotherapy, Prognostic value of treatment with Hormone therapy, Prognostic value of soft tissue adhesions"
964635,,212,"The number of participants with no more tumor in their body, PFS (progression free survival), Overall Survival (OS)"
3/19,,1000,"Multiparametric flow cytometry analyses of Custer of Differentiation (CD) proteins expression on tumor infiltrating lymphocytes, Analysis of gene expression profiles of cancer cells, Extraction of features from radiological images to be used as biomarkers., Bioinformatics analysis"
SCCC-11118; STU-2018-0015,,61,Measure Ki67 index in highly hormone-dependent breast cancers vs. those that are not
2019402,,102,Breast cancer-related quality of life - total score
19-003085,,900,Patient self-reported intention to take a breast cancer preventing medication
RADIO-SLEEP,,51,Number of Participants With Decreased Sleep Disorders
Protocol EMIT-1,,2298,"Treatment decision differences with or without Prosigna test, Distant disease free survival"
17/09/621_Myosin VI,,120,"Gene expression of Myosin VI and oestrogen receptor targets in tumour tissue., Quantification of Myosin VI protein in tumour tissue., Localisation of Myosin VI on the tumour genome"
2017/1356,,1411,"Medication Possession Ratio (MPR) as a proxy for medication adherence, Survival"
IC 2016-07,,1004,Spontaneous pregnancies between cases and controls
left breast cancer,,45,retrospective study of cardiac toxicity in left breast cancer received hypofractionated radiotherapy
180212-1,,168,In-Breast Tumor Recurrence (IBTR)
19-001,,45,Rate of Change in Intentions for Mammography in the Next Year
CTRP6 in Breast Cancer,,102,To investigate the CTRP6 levels in breast cancer.
CESM in breast cancer,,50,Accuracy of contrast enhanced spectral mamography in the predicting of pathological response to NAC and assessment residual disease in breast cancer patients
UCaenNormandie,,91982,"Aggregated breast cancer screening participation rate 3 months after the last invitation, Individual breast cancer screening participation rate 3 months after the last invitation, Impact of the mobile unit on social inequalities in screening participation, Impact of the mobile unit on territorial inequalities in screening participation"
SOLTI-1903,,600,Metastatic breast cancer management based on tumor molecular profile
Vitamin D in breast cancer,,222,Correlation of vitamin D levels with prognostic features
17-552,,910,Diagnostic accuracy of breast restriction spectrum imaging (RSI) in comparison to conventional breast MRI
CCR5348,,400,Incidence of patients with ctDNA detection treated with surgery for stage 1 breast cancer
19HLSEIN02,,100,"Identify Change of immune ME by TILS quantification of triple-negative breast cancer induced by neoadjuvant chemotherapy for all patients, Identify Change of immune ME by PDL1 expression of triple-negative breast cancer induced by neoadjuvant chemotherapy for all patients, Identify Change of immune ME by TIM3 expression of triple-negative breast cancer induced by neoadjuvant chemotherapy for all patients, Identify Change of immune ME by LAG3 expression of triple-negative breast cancer induced by neoadjuvant chemotherapy for all patients"
STUDY00011606,,500,"Trust, Intention to Use"
03/21,,31,"Sensitivity and specificity of contrast-enhanced CT lymphography, Preoperative detection of sentinel lymph nodes metastases"
AHQU-2021007,,60,Difference of BFI score change after treatment
D8530C00003,,132,Change from baseline in estrogen receptor (ER) expression between pre- and on-treatment tumour samples measured by immunohistochemistry (IHC)
2019-05-157,,300,Genomic profiling of MBC patients
200056,"One participant was accrued, and the study was stopped due to new safety data from the company for M7824 and slow accrual.",1,"Overall Response (Partial Response + Complete Response) for Participants With Triple Negative Breast Cancer (TNBC), Overall Response (Partial Response + Complete Response) for Participants With Human Epidermal Growth Factor Receptor 2 (HER2) + Breast Cancer (BC), Number of Participants Experiencing at Least One Grade 3 to 5 Adverse Events for Each of the Three Combinations of Agents"
182-20-CA,,124,Detection of unsuspected distant metastases
Shengjing-LCG008,,450,Invasive Disease-Free Survival (IDFS)
NeoRadUKD,,1826,disease free survival (DFS):
KY20192114-C-1,,21000,"the performance rate of sentinel lymph node biopsy (SLNB) in patients with early stage breast cancer in China, the positive rate of SLNs in patients with early stage breast cancer in China, the number of resected SLNs in patients with early stage breast cancer in China"
STUDY19060359,,1650,Cancer Detection
2019.089,,400,area under the receiver operating characteristic curve (AUC)
Xist,,1,detection of X inactive specific transcript RNA deletion in patients with breast cancer
UEM0002,The researcher who was able to recruit the patients abandoned the project.,0,Change in Quality of life of breast cancer survivors
004181,,480,"Evaluate the changes in the quality of life of the breast cancer survivor across the pre to post to follow-up measurement time points., Evaluate the changes in the satisfaction of the relationship between couples who are married across the pre to post to follow-up measurement time points."
HERMIONE 13,,150,Description of the choices for second line treatment in patients affected by advanced HR+/HER2- breast cancer who progressed after CDK4/6i in association with hormonal therapy.
STANDPOINT,,50,Verify the subtype value of dual-PET in extrahepatic metastases
NL75855.091.21,,413,"Non-inferiority of CEBCT error rate vs DCE MRI error rate, both as compared to the golden standard for tumor staging., Non-inferiority of CEBCT to predict pCR after primary systemic therapy as compared to DCE MRI."
CASE5118,,50,"Microbiome profile as assessed by stool sample, Microbiome profile as assessed by breast skin sample, Correlation of the microbiome to incidence of at least grade 3 skin toxicity using the CTCAE version 4.0 scoring"
21 SEIN 09,,120,"Main study: the primary endpoint is the Area under the Receiver Operating Characteristic Curve (ROC Curve) of POLQ expression to identify patients presenting progressive disease or death at 6 months under PARPi alone (primary resistance)., Sub-study: the primary end point is the rate of patients presenting loss of Shieldin complex and/or 53BP1."
CINEICC-3-IAT,,154,"Change from baseline Cancer-specific quality of life, functioning, and symptoms at 6 months (The European Organization for Research and Treatment of Cancer Quality of Life Questionnaire; Fayers, Aaronson, & Bjordal, 2001), Change from baseline Depressive symptoms and anxiety severity at 6 months (Hospital Anxiety and Depression Scale - HADS; Zigmond & Snaith, 1983)."
Bakircay University,,64,"Functional Assessment for the Cancer Treatment - Endocrine Symptoms Quality of Life Scale (FACT-ES QLS), National Comprehensive Cancer Network (NCCN) Distress Thermometer"
HR-HER2-RWS-01,,200,Total pathological complete response (tpCR)
01-BR-003,,109,"Overall Survival, Progression Events, Subject Lost-to-Follow-Up"
21149002,,66,"State Anxiety Scale, Cancer Fatigue Scale"
21-528,,670,"COVID-19 Vaccination on Contralateral Arm, Lymph Node Swelling after mRNA COVID-19 Vaccine"
DS8201-0002-EAP-MA,,200,Real-World Time-to-Treatment Discontinuation In Participants Treated With Trastuzumab Deruxtecan (T-DXd)
AAAU1629,,55,Patient Activation
BC-NEO-IIT-SHR1316-SHR6390-RT,,24,"Pathological complete response (pCR) for TNBC group, Residual cancer burden (RCB) 0-I index for HER2-/HR+BC group"
2020-12/898,,91,Metabolomic profiling of ESP block for breast cancer surgery
CHUBX 2016/19,,35,Feasability of the web portal
