ID,FDA_Regulated_Drug,FDA_Regulated_Device,Responsible_Party
ZCHBC022,No,No,Principal Investigator
R.18.02.34.R1.R2,No,No,Principal Investigator
ID-BCRPS-02-20220913,No,No,Sponsor
112991,No,No,Sponsor
17-01549,No,Yes,Sponsor
TET-21-001,No,No,Sponsor
202101073,No,No,Sponsor
"estPerMed 1, Breast",No,No,Principal Investigator
68824072019,No,No,Principal Investigator
3055,No,No,Principal Investigator
20220303swj0211,No,No,Principal Investigator
RC20_0532,No,No,Sponsor
Breast Cancer Risk,No,No,Principal Investigator
KMUHIRB-E(I)-20200041,No,No,Principal Investigator
VGHKS18-CT11-17,No,No,Principal Investigator
832165,Yes,No,Sponsor
ICO-2019-08,No,No,Sponsor
biomarkers in breast cancer,No,No,Principal Investigator
GEICAM/2017-07,No,No,Sponsor
LCCC2207,No,No,Sponsor
4452,No,No,Sponsor
MCC-21448,No,No,Sponsor
2017-0588,No,No,Sponsor
SK-421-BRCA,No,No,Sponsor
autotaxin1,No,No,Principal Investigator
UPCC 19121,No,No,Principal Investigator
DS8201-A-U302,Yes,No,Sponsor
CCR 5113,No,No,Sponsor
21-480,No,No,Sponsor
LQ005,Yes,No,Principal Investigator
ICO-N-2017-02,No,No,Sponsor
medicin,No,No,Principal Investigator
METCZ20200211,No,No,Principal Investigator
2021LC2210,No,No,Principal Investigator
17-581,No,No,Principal Investigator
2020-A00058-31,No,No,Sponsor
NCC3299,No,No,Principal Investigator
351-19,No,No,Principal Investigator
ESR-21-21505,No,No,Sponsor
LUMHS/REC/-17,No,No,Principal Investigator
PekingUPH10B004,No,No,Sponsor
2014P002688a,No,No,Principal Investigator
ODELIA,No,No,Sponsor
CD3-MUC1 in breast cancer,No,No,Sponsor
LCCC 1829,No,Yes,Sponsor
2022-080,No,No,Sponsor
2018-TJ-BCP,No,No,Principal Investigator
20218,Yes,No,Principal Investigator
2017-03-002A,No,No,Sponsor
LA LEAST,No,No,Principal Investigator
1905795920,No,No,Principal Investigator
2015-004027-31,No,No,Sponsor
4-2018-0254,No,No,Sponsor
BREACE,No,No,Principal Investigator
495077,No,No,Sponsor
CCR4684,Yes,No,Sponsor
211753,No,No,Principal Investigator
1705018188,No,Yes,Sponsor
22-136,No,No,Sponsor
CDK-HeCOG-2019,No,No,Sponsor
2020-0327,No,No,Sponsor-Investigator
RECO_CT29B,No,No,Sponsor
SH ABCD,No,No,Sponsor
D8531C00002,Yes,No,Sponsor
SOLTI-1910,No,No,Sponsor
1905202-3,No,No,Principal Investigator
Targeted axillary dissection,No,No,Principal Investigator
2021-0215,Yes,No,Principal Investigator
2022-8048-23560,No,No,Principal Investigator
GFY202001,No,No,Principal Investigator
2019-A01861-56,No,No,Sponsor
18-634,No,No,Principal Investigator
20 KHCC 202,No,No,Principal Investigator
IRB # 21-0026,No,No,Sponsor
IRB00002991,No,No,Principal Investigator
17-398,No,No,Principal Investigator
ESR-17-12934,No,No,Sponsor
LCCC 1954,No,No,Sponsor
69HCL22_0613,No,No,Sponsor
LCCC2213,No,No,Sponsor
IC 2018-01,No,No,Sponsor
IC 2020 08,No,No,Sponsor
PI17/00834,No,No,Principal Investigator
PekingUMCH-FAPI-BC-1,No,No,Sponsor
PekingUMCH-FAPI-BC-2,No,No,Sponsor
FMASUMD232/2021,No,No,Principal Investigator
Breast immune checkpoint,No,No,Principal Investigator
IRB00283392,No,No,Sponsor
IRB17-0721,Yes,No,Sponsor
180034,Yes,No,Principal Investigator
BCL IDE,No,Yes,Sponsor
REO 027,No,No,Sponsor
CentroHLO_EFBreastCancer,No,No,Principal Investigator
elastography in breast cancer,No,No,Principal Investigator
2018-177-IMP-EXP-4,No,No,Principal Investigator
V3-MOMMO-01,No,No,Sponsor
PROICM 2020-01 OST,No,No,Sponsor
077-2019,No,No,Principal Investigator
18-281,No,No,Principal Investigator
2021-A02676-35,No,No,Sponsor
84434789,No,No,Sponsor
2021-004,No,No,Sponsor
CBS-PIK3CA,No,No,Sponsor
Juçara Phd Thesis,No,No,Principal Investigator
18 SEIN 08,No,No,Sponsor
ARNA Breast 2021,No,No,Sponsor
SNP-17-001,No,No,Sponsor
2021-012,No,No,Sponsor
69HCL18_0769,No,No,Sponsor
2394,No,No,Principal Investigator
CASE12119,No,Yes,Sponsor
18-124,Yes,No,Principal Investigator
18-461,No,No,Sponsor
2020-KY-064,No,No,Principal Investigator
3049,No,No,Sponsor
EFC16133,Yes,No,Sponsor
CLEE011O12001,Yes,No,Sponsor
82944089,No,No,Sponsor
NewGiza University Protocol 1,Yes,No,Principal Investigator
s66248,No,No,Principal Investigator
964635,No,No,Sponsor
3/19,No,No,Sponsor
SCCC-11118; STU-2018-0015,Yes,No,Principal Investigator
2019402,No,No,Principal Investigator
19-003085,No,No,Principal Investigator
RADIO-SLEEP,No,No,Principal Investigator
Protocol EMIT-1,No,No,Principal Investigator
17/09/621_Myosin VI,No,No,Principal Investigator
2017/1356,No,No,Sponsor
IC 2016-07,No,No,Sponsor
left breast cancer,No,No,Principal Investigator
180212-1,No,No,Sponsor
19-001,No,No,Principal Investigator
CTRP6 in Breast Cancer,No,No,Principal Investigator
CESM in breast cancer,No,No,Principal Investigator
UCaenNormandie,No,No,Principal Investigator
SOLTI-1903,No,No,Sponsor
Vitamin D in breast cancer,No,No,Principal Investigator
17-552,No,Yes,Principal Investigator
CCR5348,No,No,Sponsor
19HLSEIN02,No,No,Sponsor
STUDY00011606,No,No,Principal Investigator
03/21,No,No,Principal Investigator
AHQU-2021007,No,No,Principal Investigator
D8530C00003,No,No,Sponsor
2019-05-157,No,No,Principal Investigator
200056,Yes,No,Principal Investigator
182-20-CA,Yes,No,Principal Investigator
Shengjing-LCG008,No,No,Principal Investigator
NeoRadUKD,No,No,Principal Investigator
KY20192114-C-1,No,No,Sponsor
STUDY19060359,No,Yes,Sponsor-Investigator
2019.089,No,No,Principal Investigator
Xist,No,No,Principal Investigator
UEM0002,No,No,Principal Investigator
004181,No,No,Principal Investigator
HERMIONE 13,No,No,Sponsor
STANDPOINT,No,No,Principal Investigator
NL75855.091.21,No,Yes,Sponsor
CASE5118,No,No,Sponsor
21 SEIN 09,No,No,Sponsor
CINEICC-3-IAT,No,No,Principal Investigator
Bakircay University,No,No,Principal Investigator
HR-HER2-RWS-01,No,No,Principal Investigator
01-BR-003,No,No,Sponsor
21149002,No,No,Principal Investigator
21-528,No,No,Principal Investigator
DS8201-0002-EAP-MA,Yes,No,Sponsor
AAAU1629,No,No,Principal Investigator
BC-NEO-IIT-SHR1316-SHR6390-RT,No,No,Principal Investigator
2020-12/898,No,No,Principal Investigator
CHUBX 2016/19,No,No,Sponsor
IRB202100182 -N,No,No,Sponsor
PI-0538-2017,No,No,Principal Investigator
21/4657,No,No,Principal Investigator
2019-KY-001-003,No,No,Sponsor
AbantIBU,No,No,Sponsor
121K686,No,No,Principal Investigator
06-2020,No,No,Sponsor
NADOPTIC,No,No,Principal Investigator
CHIR-07-Sentimag,No,No,Sponsor
Pro00020917,Yes,No,Principal Investigator
Breast Cancer,No,No,Principal Investigator
BSU,No,No,Principal Investigator
URomLS Prot.0930/2021Rif. 6528,No,No,Principal Investigator
SOLTI-1716,No,No,Sponsor
2020-0724,No,No,Sponsor
LCCC 1749,No,No,Sponsor
GIMI-IRB-20005,No,No,Sponsor
202302017,No,Yes,Sponsor
17-PP-19,No,No,Sponsor
2015-4-6-003,No,No,Sponsor
FIRST,No,No,Sponsor
PUMCH-BREAST-ctDNA screening,No,No,Sponsor
147/19,No,No,Principal Investigator
STUDY00001641,No,No,Principal Investigator
PetrovRIO,No,No,Sponsor
MD 177/2021,,,Principal Investigator
A5481177,,,Sponsor
2017-KY-19,No,No,Sponsor-Investigator
Radiotherapy in breast cancer,No,No,Principal Investigator
19-001004,No,No,Sponsor
19049,No,No,Sponsor
Z211100002921033,No,No,Sponsor
CFDAIIUASABFDOBC,No,No,Principal Investigator
Breast cancer neoadjuvant,No,No,Principal Investigator
wanghaibo,No,No,Sponsor
2020-KY-063,No,No,Principal Investigator
PUMCH-BC502,No,No,Principal Investigator
852-20,No,No,Principal Investigator
2020[84],No,No,Principal Investigator
SYSEC-KY-2018-018,No,No,Principal Investigator
19-045,No,No,Sponsor
PROICM 2019-16-BCU,No,No,Sponsor
IBCSG 59-19,No,No,Sponsor
33293720.9.0000.5505,No,No,Principal Investigator
199080,No,No,Sponsor
SLN SPECT,No,No,Principal Investigator
SOLTI-1907,No,No,Sponsor
SDS-HER-01-2018,No,No,Sponsor
APHP211502,No,No,Sponsor
ISTMET-BHWGI2022-1,No,No,Sponsor
SCHBCC-N024,No,Yes,Principal Investigator
4817,No,No,Sponsor
Cpetptmrbc,No,No,Principal Investigator
EEBC,No,No,Sponsor
symptom of breast cancer,No,No,Principal Investigator
IEO 0761/,No,No,Sponsor
CELC-G-301,Yes,No,Sponsor
CARMA-2101,No,No,Sponsor
RWD_abemaciclib,No,No,Sponsor
Tiresias,No,No,Sponsor
A5481125,,,Sponsor
20-1789.cc,No,No,Sponsor
ML40952,No,No,Sponsor
DBCG Proton trial,No,Yes,Principal Investigator
OOTR-N016/KBCRN-B-003/HT-PAB,Yes,No,Sponsor
710/2021,No,No,Sponsor-Investigator
19-003028,No,Yes,Sponsor
KL166-IIS-001,No,No,Principal Investigator
V2_16-04-2020,No,No,Sponsor
N19ASC,No,No,Sponsor
SNBvsPET/MRI 2,No,No,Principal Investigator
dingxwyh01,No,No,Sponsor
SNUH_FMI,No,No,Principal Investigator
2022/0035986,No,No,Principal Investigator
RF-2013-02358165,No,No,Principal Investigator
18-516,Yes,No,Principal Investigator
2022106,No,No,Principal Investigator
19-147,Yes,No,Sponsor
dingxwyh02,No,No,Sponsor
19 SEIN 14,No,No,Sponsor
AURORA,No,No,Sponsor
17/0765,No,No,Sponsor
BR02/03/21,No,No,Sponsor
2018-9529,No,Yes,Sponsor
1186,No,No,Principal Investigator
REaCT-HER TIME,No,No,Sponsor
01-2021,No,No,Sponsor
D9673R00011,No,No,Sponsor
SOLTI-1911,No,No,Sponsor
APHP211593,No,No,Sponsor
IC 2018-08,No,No,Sponsor
AHQU-2021006,No,No,Principal Investigator
2540,No,No,Principal Investigator
FLA 18-057,No,No,Principal Investigator
V2011201,Yes,No,Sponsor
HERdi PREDICT,No,No,Sponsor
HCB-ONC001 (ML41519),No,No,Sponsor
IRB-300002157,No,Yes,Principal Investigator
IAyas2,No,No,Principal Investigator
A5481176,,,Sponsor
Shengjing-LCG009,No,No,Principal Investigator
OTT-19-06,No,No,Sponsor
20210312,No,No,Principal Investigator
FAST feasibility in CU,No,No,Sponsor-Investigator
Sentinel lymph node biopsy,No,No,Principal Investigator
BC001,No,No,Sponsor
SOC.04/20-21,No,No,Principal Investigator
UT BCS ECS Study,No,No,Sponsor-Investigator
oddie2,No,No,Principal Investigator
FMASU R61/2020,No,No,Principal Investigator
18-109,No,No,Sponsor
19-509,No,No,Principal Investigator
19-277,No,Yes,Sponsor
UW 20-064,No,No,Principal Investigator
UC-0105/1701,No,No,Sponsor
20-1039,No,No,Sponsor
BRAR1,No,No,Principal Investigator
18-1025,No,No,Sponsor
IRB16-0396,No,No,Sponsor
09.2019.984,No,No,Sponsor
O4M-B001,No,No,Sponsor
TaiHao TVGH2020-07-006AC#1,No,No,Sponsor
STGKS001,No,No,Principal Investigator
19-086,Yes,No,Principal Investigator
CNER 202107/05,No,No,Sponsor
Optimune Trial,No,No,Principal Investigator
1808019498,Yes,No,Sponsor
Emotional security&mastectomy,No,No,Principal Investigator
HYGEE,No,No,Sponsor
A5481115,,,Sponsor
Breast Audit,No,No,Principal Investigator
STU-2018-0370,No,No,Principal Investigator
MRI in breast cancer,No,No,Principal Investigator
Prix Ruban Rose/2021/FF-01,No,No,Sponsor
FUSCC-OMIT,No,No,Principal Investigator
Pyrotinib neoadjuvant,No,No,Sponsor
SMC 2021-02-102,No,No,Sponsor-Investigator
BSMMU/2019/8874,No,No,Principal Investigator
20210601,No,No,Sponsor
99mTc-ADAPT6 vs 99mTc-DARPinG3,No,No,Sponsor
Telemonitoring BCS,No,No,Principal Investigator
CCTG MA.39,No,Yes,Sponsor
IRB-2022-166,No,No,Principal Investigator
2490,No,No,Principal Investigator
19/317-2101,No,No,Principal Investigator
2021-1116,No,No,Principal Investigator
SPT-2021-002,No,No,Principal Investigator
s66248-aim2,No,No,Principal Investigator
Cardiac safety study,No,No,Sponsor
BGB-290-201,No,No,Sponsor
10038,Yes,No,Sponsor
Pro00085352,Yes,No,Sponsor
EORTC 1745-ETF-BCG,No,No,Sponsor
4523,No,No,Sponsor
17-455,Yes,No,Sponsor-Investigator
01AB21- PIK3CA,Yes,No,Sponsor
ICO-N-2017-12,No,No,Sponsor
Optimune Trial Add-on,No,No,Principal Investigator
2018396H,No,No,Principal Investigator
PROICM 2020-05 SKY,No,No,Sponsor
GEICAM/2019-01,No,No,Sponsor
69HCL18_0310,No,No,Sponsor
2004-261-112,No,No,Principal Investigator
MA-BC-Ⅱ-040,No,No,Sponsor
APHP190505,No,No,Sponsor
2019-1183,No,Yes,Principal Investigator
IJB-NERABRAIN-ODN-007,No,No,Sponsor
19-066,No,Yes,Principal Investigator
EH18-203,No,No,Principal Investigator
22-280,No,No,Sponsor
BakircayU,No,No,Principal Investigator
A211801,Yes,No,Sponsor
SGK-SFC-001,No,No,Sponsor
CAAE: 39277420.8.0000.5313,No,No,Principal Investigator
D361DC00001,Yes,No,Sponsor
PekingUMCH-NM25,No,No,Sponsor
5354-CL-1201,Yes,No,Sponsor
MO39485,,,Sponsor
SOC.03/20-21,No,No,Principal Investigator
2019-228,No,No,Sponsor
800646,No,No,Principal Investigator
NP 1521/19,No,No,Principal Investigator
DARE,Yes,No,Sponsor
M2020 UK01,No,No,Sponsor
[2019]52,No,No,Principal Investigator
TRA05-GEFPICS,No,No,Sponsor
NOV2016PhD818,No,No,Principal Investigator
BCP28,No,No,Principal Investigator
GEICAM/2017-01_IBCSG 62-20_BIG,No,No,Sponsor
GCO 17-00563,No,No,Principal Investigator
PekingUMCH-FES-BC-1,No,No,Sponsor
EudraCT 2020-005200-19,No,No,Sponsor
D9673C00007,Yes,No,Sponsor
LY2022-028-B,No,No,Principal Investigator
ATADEK-2021/14/16,No,No,Principal Investigator
J21125,No,No,Sponsor
2018-9567,No,No,Principal Investigator
UBRS20139,Yes,No,Principal Investigator
20 SEIN 13,No,No,Sponsor
TQB3616-III-03,No,No,Sponsor
MD.21.09.521.R,No,No,Principal Investigator
20190283,No,Yes,Principal Investigator
FISH in breast cancer,No,No,Principal Investigator
NCC3075,No,No,Principal Investigator
CSPC-DMS-BC-13,No,No,Sponsor
19900601,No,No,Principal Investigator
DBCG RT Recon,No,No,Principal Investigator
PROICM 2019-11 PRA,No,No,Sponsor
201819010.4,Yes,No,Principal Investigator
2018NTLS176,No,No,Sponsor
SPHIC-TR-BCa2022-01,No,No,Principal Investigator
C3441020,Yes,No,Sponsor
SRMBCNabP2022,No,No,Sponsor-Investigator
18ON009,No,No,Sponsor
FDRT-BC009,No,No,Sponsor
18-223,Yes,No,Principal Investigator
MCC-20897,Yes,No,Sponsor
21-3576.cc,No,No,Sponsor
IIT2018-01-McArthur-IPI,Yes,No,Sponsor-Investigator
BCHRD201,No,No,Principal Investigator
BrIMA,No,No,Sponsor
ChanghaiHTB,No,No,Principal Investigator
2018-00838; ch20Weber2,No,No,Sponsor
WSG-AM09,No,No,Sponsor
UC-0107/1903,No,No,Sponsor
PANONC-1 Version: 1.1,Yes,No,Principal Investigator
AB-MR for Second Breast Cancer,No,No,Principal Investigator
AHQU-2021005,No,No,Principal Investigator
2019/FO244363,No,No,Sponsor
BC-2019,No,No,Principal Investigator
18-058,No,No,Sponsor
KYJJ-2021-186,No,Yes,Sponsor
19-188,Yes,No,Principal Investigator
BCSCO003,No,No,Sponsor-Investigator
SP00049673,No,No,Principal Investigator
DSCN-EHT-NIS-BC001,No,No,Sponsor
17-512,Yes,No,Principal Investigator
SCBCS025,No,No,Principal Investigator
19-239,Yes,No,Principal Investigator
LC2019L06,No,No,Principal Investigator
GEICAM/2016-03,No,No,Sponsor
Breast Screening with DWI,No,No,Principal Investigator
HNCH-BC003,No,No,Sponsor
21-183,No,No,Sponsor
02AB21-TucErBit,Yes,No,Sponsor
IRB-48150,Yes,Yes,Sponsor-Investigator
ICO-2019-03,No,No,Sponsor
Soh-Med-23-01-07,No,No,Principal Investigator
IUSCC-0613,Yes,No,Sponsor-Investigator
Breast Cancer Screening,No,No,Principal Investigator
16-145,No,Yes,Principal Investigator
A5481144,,,Sponsor
D133FR00138,,No,Sponsor
State University of São Paulo,No,No,Principal Investigator
21-440,No,No,Sponsor
YM107109E,No,No,Principal Investigator
GEICAM/2020-08,No,No,Sponsor
2023-09,No,No,Principal Investigator
ARV-471-BC-201,Yes,No,Sponsor
grid.412416.4,No,No,Principal Investigator
18-333,No,Yes,Principal Investigator
MA-BC-II-024,No,No,Principal Investigator
intestinal flora study,No,No,Sponsor
ML42450,No,No,Principal Investigator
GNC-035-103,No,No,Sponsor
DS8201-A-U301,Yes,No,Sponsor
2018-09-007A,No,No,Sponsor-Investigator
M18DMB,No,No,Sponsor
Microbiome_BC&PnC,No,No,Sponsor
R148/2021,No,No,Principal Investigator
ZNJC201935,No,No,Principal Investigator
SCHBCC0N026,No,No,Principal Investigator
MUKDEN-09,No,No,Principal Investigator
NACAGEP,No,No,Sponsor
2017MayPR898,No,No,Principal Investigator
RGT-419B_01-101,Yes,No,Sponsor
NCC 2019-0098,No,No,Principal Investigator
21-003046,Yes,No,Sponsor
SSGJ-302H-mBC-IIT-01,No,No,Principal Investigator
KY2019-070,No,No,Principal Investigator
A5481155,,,Sponsor
D8530C00001,Yes,No,Sponsor
APHP191059,No,No,Sponsor
1R01CA236860-01A1,No,No,Principal Investigator
BT006,No,No,Sponsor
310-17-SZMC,Yes,No,Sponsor
2017-01282 (BASEC),No,No,Sponsor
CINDERELLA,No,No,Sponsor
CCR5214,No,No,Sponsor
MCC-21757,No,Yes,Sponsor
K2022-025-01,No,No,Principal Investigator
PUMCH-MUSD,No,No,Sponsor
0720222005,No,No,Principal Investigator
D967UC00001,Yes,No,Sponsor
PLEASURABLE,No,No,Principal Investigator
21822,Yes,No,Principal Investigator
CTNZ-2017-01,No,No,Principal Investigator
20-649,Yes,No,Principal Investigator
2020-08-06R,No,No,Sponsor
Qassim QDs-VELD,No,No,Principal Investigator
HR-BLTN-III-EBC,No,No,Sponsor
COV-19 BUMDC,No,No,Sponsor-Investigator
14-833-02,No,No,Sponsor
17-519,Yes,No,Principal Investigator
Radiotherapy in Breast Cancer,No,No,Principal Investigator
2020-A01423-36,No,No,Sponsor
STML-ELA-0222,Yes,No,Sponsor
C3441055,Yes,No,Sponsor
CRF-NHI01,No,No,Principal Investigator
H-41818,Yes,No,Principal Investigator
CLUE-BCL,No,No,Principal Investigator
nihan25,No,No,Principal Investigator
2020-0927,No,No,Sponsor
2020FES,No,No,Sponsor
PRO00034502,No,No,Principal Investigator
Breast cancer in females,No,No,Principal Investigator
SCLND0919,No,No,Sponsor-Investigator
PUMA-NER-6203,Yes,No,Sponsor
KBCSG-24,No,No,Sponsor
AHQU-2021001,No,No,Sponsor-Investigator
Fenofibrate in Breast Cancer,No,No,Principal Investigator
AHQU-2021003,No,No,Sponsor-Investigator
2018LS148,No,No,Sponsor
PekingUMCH-BCa093,No,No,Sponsor
ADA,No,No,Sponsor
514-0213/21-5000,No,No,Principal Investigator
CentroHLOBreastUnit,No,No,Principal Investigator
CCR4965,No,No,Sponsor
GCO 21-0699,Yes,No,Principal Investigator
DBCG RT Natural Trial,No,No,Principal Investigator
IPNCb-01,No,No,Sponsor
CSPC-KAL-BC-12,No,No,Principal Investigator
003-2017,No,No,Principal Investigator
Breast cancer treatment,No,No,Principal Investigator
18-561,Yes,No,Principal Investigator
E19137,No,No,Principal Investigator
Vitamin D and breast cancer,No,No,Principal Investigator
SYSEC-KY-KS-2021-182,No,No,Sponsor-Investigator
CASE6119,Yes,No,Sponsor-Investigator
KX-ORAX-CN-007,Yes,No,Sponsor
NCC2018M-042,No,No,Principal Investigator
CTO-IUSCCC-0803,No,No,Principal Investigator
55791222.0.0000.5313,No,No,Principal Investigator
UF-BRE-002,Yes,No,Sponsor
18-010602,No,No,Principal Investigator
GIM21 - LiqERBcept,No,No,Sponsor
BREAST-SK-001,No,No,Sponsor
LR19/011/50551,No,No,Sponsor
STU00201961A,No,No,Principal Investigator
18-641,No,No,Principal Investigator
CLEE011O12301C,Yes,No,Sponsor
HIRSLANDEN 01 SAKK 23/18,No,No,Principal Investigator
CCH-IRB-190414-P,No,Yes,Sponsor
348455,No,No,Principal Investigator
SOLTI-2101,Yes,No,Sponsor
Zz123456.,No,No,Principal Investigator
GBG102 - SASCIA,No,No,Sponsor
PROICM 2018-05 BCU,No,No,Sponsor
CAAE: 91570318.5.0000.5149,No,No,Principal Investigator
FWA00015574/6-01-2019/korany,No,No,Sponsor-Investigator
SYSKY-2022-030-01,No,No,Principal Investigator
UI-ROD-OCTU02,No,No,Principal Investigator
KY20182079-F-1,Yes,No,Sponsor
PN-301-21,Yes,No,Sponsor
Radiation in breast cancer,No,No,Principal Investigator
4-2018-0160,No,No,Sponsor
ROCK,No,No,Principal Investigator
SOLTI-1805,No,No,Sponsor
KY20202075-F-2,No,No,Sponsor
06805118.2.1001.5404,No,No,Principal Investigator
ID4060,No,No,Principal Investigator
AN.MCME.CR.12,Yes,No,Sponsor
MedOPP293,No,No,Sponsor
iOM-110383,No,No,Sponsor
IRST174.25,No,No,Sponsor
EUROPA,No,No,Principal Investigator
HM022BC3C01,No,No,Sponsor
UF-BRE-007,Yes,No,Sponsor
SOLTI-2103,No,No,Sponsor
SOLTI-1503,No,No,Sponsor
0023041/i,No,No,Principal Investigator
LQ009,No,No,Principal Investigator
BGB-900-2001-IIT,No,No,Principal Investigator
CLEE011H2301,Yes,No,Sponsor
2020_61,No,No,Sponsor
ONAWA (SOLTI-1802),No,No,Sponsor
1,No,No,Sponsor
STUDY00010776,No,No,Principal Investigator
CASE13119,No,No,Sponsor
ZX-2021-FES-ESTROTIMP-4,No,No,Sponsor
2017-0499,Yes,No,Sponsor
IIT-UM2018001,No,No,Sponsor
Shengjing_002,No,No,Principal Investigator
UPCC 17120,No,No,Principal Investigator
IRB-57723,Yes,No,Sponsor
D8530C00006,No,No,Sponsor
3764,No,No,Principal Investigator
115858,No,No,Sponsor
CCH-IRB-190414-R,No,Yes,Sponsor
UCCS20110,No,No,Principal Investigator
Shengjing-LJY04,No,No,Principal Investigator
2019-004559-35,No,No,Sponsor-Investigator
GEICAM/2017-04,No,No,Sponsor
KARMA Kontrast,No,No,Principal Investigator
ACE-Breast-03,Yes,No,Sponsor
BREAST,No,No,Sponsor
FMBSUREC/10102021/Rabie,No,No,Principal Investigator
1808-42,No,No,Sponsor
2020-535,No,No,Sponsor
RP-20-013,Yes,No,Sponsor
EF141,No,No,Sponsor
STUDY00001225,No,No,Principal Investigator
CCR5119,No,No,Sponsor
3475-756,Yes,No,Sponsor
21-271,No,Yes,Sponsor
STUDY2019000317,No,No,Principal Investigator
FirstHCMU_CB_001,No,No,Principal Investigator
2022-0055,No,No,Sponsor
WEFITTER,No,No,Principal Investigator
A5481178,,,Sponsor
ARO-2015-1,No,No,Sponsor
HNCH-MBC11,No,No,Sponsor
SOLTI-1507,No,No,Sponsor
DKFZ-2019-008,No,No,Sponsor
20170328,No,No,Principal Investigator
SHPD005,No,No,Sponsor
dAGEs,No,No,Principal Investigator
20-124,No,No,Principal Investigator
LaPemERLA,No,No,Sponsor
NIR-THERMA-02,No,No,Sponsor
E7389-M082-602,No,No,Sponsor
Pro00020138,Yes,No,Principal Investigator
18-394,Yes,No,Principal Investigator
2019SABE028,No,No,Principal Investigator
IIBSP-PRO-2021-10,No,No,Sponsor-Investigator
SYSUCC-015,No,No,Principal Investigator
REO 026-1,No,No,Sponsor
STUDY00001233,No,No,Sponsor
2019.429,No,No,Principal Investigator
CP7-005,No,No,Sponsor
LY2023-054-B,No,No,Principal Investigator
INCASE0518,No,No,Sponsor
2021/193780(REK),No,No,Principal Investigator
123123,No,No,Sponsor
JTU-6H-20211011001,No,No,Sponsor-Investigator
INST 1607,No,No,Sponsor
CIMS-4FMFES-2021-3966,No,No,Principal Investigator
SOLTI-1718,No,No,Sponsor
Yunwei Wei 2019-09-13,Yes,No,Sponsor
HLX11-BC301,Yes,No,Sponsor
Zoledronic Acid In Breast Ca,Yes,No,Principal Investigator
Tacrolimus_2020,No,No,Principal Investigator
6788,No,No,Sponsor
KSRAD001,No,No,Principal Investigator
Stage 2 compression therapy,No,Yes,Principal Investigator
CASE5120,No,No,Sponsor
PROICM 2020-07 VIS,No,No,Sponsor
CL1-81694-003,No,No,Sponsor
Shengjing-LCG005,No,No,Principal Investigator
2020.KB.SAG.069,No,No,Principal Investigator
NCC1824,No,No,Principal Investigator
INNOVBC,No,No,Principal Investigator
R20-003,Yes,No,Principal Investigator
MedOPP319,No,No,Sponsor
WO39391,Yes,No,Sponsor
NCC1867,No,No,Sponsor-Investigator
20-157,Yes,Yes,Sponsor-Investigator
2-102-21,No,No,Sponsor
HunanCH-BC-001,No,No,Sponsor
2021.693,No,No,Principal Investigator
GENEXAN,No,No,Principal Investigator
HSC20160245H,No,No,Sponsor
GRO-06-001,No,No,Principal Investigator
Neveen,No,No,Principal Investigator
Melody_002,No,No,Sponsor
REC-H-PHBSU-21010,No,No,Principal Investigator
