ID,title,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device
PekingUPH10B004,Neoadjuvant Therapy Study Guided by Drug Screening in Vitro for Human Epidermal Growth Factor Receptor 2 (HER2) Negative Early Breast Cancer Patients,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",No,No
CD3-MUC1 in breast cancer,Study of Activated Cytokine-induced Killer Armed With Bispecific Antibody for Advanced Breast Cancer,Withdrawn,Interventional,"Experimental, Active Comparator, No Intervention","Biological, Procedure",Parallel Assignment,Phase 2,No,No
LCCC 1829,Harnessing Analysis RNA Expression and Molecular Subtype to Optimize Novel TherapY MBCA,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes
2022-080,"Pyrotinib Combined With Trastuzumab,Dalpiciclib and Letrozole for HR+/HER2+ Breast Cancer",Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
20218,A Pilot Study of the Combination of Entinostat With Capecitabine in High Risk Breast Cancer After Neo-adjuvant Therapy,Completed,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 1,Yes,No
LA LEAST,Limited Adjuvant Endocrine Therapy for Low Risk Breast Cancer,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
2015-004027-31,HERPET- A Novel PET Imaging Study of HER2 in Breast Cancer,Recruiting,Interventional,"Other, Other",Radiation,Parallel Assignment,Not Applicable,No,No
BREACE,Exercise in Older Women With Breast Cancer During Systemic Therapy,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
495077,18F-FDG PET/CT Imaging for Breast Cancer,Recruiting,Interventional,"Other, Other",Other,Parallel Assignment,Not Applicable,No,No
CCR4684,"Crizotinib in Lobular Breast, Diffuse Gastric and Triple Negative Lobular Breast Cancer or CDH1-mutated Solid Tumours",Recruiting,Interventional,"Active Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,Yes,No
211753,BRAVE Strategy - Breast Cancer Risk Assessment -achieVing Equity,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental","Other, Other, Other, Other, Other",Parallel Assignment,Not Applicable,No,No
1705018188,Dedicated Breast PET/MRI in Evaluation of Extent of Disease in Women With Newly Diagnosed Breast Cancer,Terminated,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,Yes
22-136,"A Study of an Alternative Treatment Approach (Preoperative Radiotherapy, Then Mastectomy, Then Immediate Reconstruction Surgery) in People With T4 Breast Cancer",Recruiting,Interventional,Experimental,"Diagnostic Test, Radiation, Procedure",Single Group Assignment,Phase 1,No,No
RECO_CT29B,Investigation of Urinary Biomarkers for the Detection of Breast Cancer,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
D8531C00002,A Study of Camizestrant in ER+/HER2- Early Breast Cancer After at Least 2 Years of Standard Adjuvant Endocrine Therapy,Not yet recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No
SOLTI-1910,Predicting Olaparib Sensitivity in Patients With Unresectable Locally Advanced/Metastatic HER2-negative Breast Cancer.,Recruiting,Interventional,"Experimental, Active Comparator",Drug,Parallel Assignment,Phase 2,No,No
Targeted axillary dissection,Evaluation of Targeted Axillary Lymph Node Dissection in Node Positive Breast Cancer Patients Post Neo Adjuvant Therapy,Not yet recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Phase 4,No,No
2021-0215,BRE-04: Window of Opportunity Trial of Preoperative Low Dose Azacitidine in High-Risk Early Stage Breast Cancer,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
17-398,Feasibility of an Individualized Goals of Care Discussion Guide for Advanced Breast Cancer,Completed,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
IC 2018-01,Isolation of Volatile Organic Compounds (VOCs) Related to the Olfactory Signature of Breast Cancer,Completed,Interventional,"Experimental, Experimental","Diagnostic Test, Diagnostic Test",Sequential Assignment,Not Applicable,No,No
IC 2020 08,Isolation of Volatile Organic Compounds (VOCs) Related to the Olfactory Signature of Breast Cancer.,Completed,Interventional,"Experimental, Experimental","Diagnostic Test, Diagnostic Test",Sequential Assignment,Not Applicable,No,No
PI17/00834,Assessment of Feasibility and Acceptability of Personalized Breast Cancer Screening,Completed,Interventional,,Other,Single Group Assignment,Not Applicable,No,No
PekingUMCH-FAPI-BC-1,Characterizing Breast Cancer With 68Ga-FAPI PET/CT,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
PekingUMCH-FAPI-BC-2,Characterizing Breast Cancer With Al18F-NOTA-FAPI-04 PET/CT,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
180034,ONC201 in Recurrent/Refractory Metastatic Breast Cancer and Advanced Endometrial Carcinoma,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
IRB17-0721,Study of Pembrolizumab and Mifepristone in Patients With Advanced HER2-negative Breast Cancer,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,Yes,No
BCL IDE,Breast Cancer Locator Guided vs. Wire Localized Partial Mastectomy for Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Device, Device",Parallel Assignment,Not Applicable,No,Yes
REO 027,A Window-of-opportunity Study of Pelareorep in Early Breast Cancer,Terminated,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Biological, Drug, Drug, Drug",Parallel Assignment,Early Phase 1,No,No
V3-MOMMO-01,Open Label Immunotherapy Trial for Breast Cancer,Unknown status,Interventional,Experimental,Biological,Single Group Assignment,Phase 2,No,No
077-2019,Novel MRI-Guided Ultrasound Stimulated Microbubble Radiation Treatment for Patients With Chest-wall and Locally-Advanced Breast Cancer,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No
Juçara Phd Thesis,Emotional Evaluation and Reconstructed Breast Satisfaction,Unknown status,Interventional,"Experimental, Active Comparator","Diagnostic Test, Diagnostic Test",Parallel Assignment,Not Applicable,No,No
18 SEIN 08,The Use of FES-PET Imaging as a Tool to Detect a Possible Reversion of Estrogen Receptor (ER)-α Status in Patients With Metastatic Breast Cancer HER2 + and ERα Neg Treated With Trastuzumab + Pertuzumab + Taxane.,Terminated,Interventional,Other,Other,Single Group Assignment,Not Applicable,No,No
2021-012,Efficacity of Deep Inspiration Breath Hold and Intensity-modulated Radiotherapy in Preventing PErfusion Defect for Left Sided Breast Cancer (EDIPE),Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
CASE12119,Effectiveness of AI Genetic Counseling Program vs In-person Genetic Counseling in Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Genetic, Genetic, Other, Other, Device",Parallel Assignment,Not Applicable,No,Yes
18-124,ATOP TRIAL: T-DM1 in HER2 Positive Breast Cancer,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
EFC16133,"Study of Amcenestrant (SAR439859) Versus Tamoxifen for Patients With Hormone Receptor-positive (HR+) Early Breast Cancer, Who Have Discontinued Adjuvant Aromatase Inhibitor Therapy Due to Treatment-related Toxicity",Terminated,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No
s66248,Identifying Prognostic Variables for Persistent Upper Limb Dysfunctions After Breast Cancer Treatment,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
964635,The Benefit of Surgery in Stage IV of Breast Cancer,Unknown status,Interventional,"Experimental, No Intervention",Procedure,Parallel Assignment,Not Applicable,No,No
SCCC-11118; STU-2018-0015,Letrozole in Post-Menopausal Patients With Operable Hormone-Sensitive Breast Cancer,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No
2019402,Supportive Effects of Craniosacral Therapy for Female Patients With Breast Cancer and Their Partners,Not yet recruiting,Interventional,"Experimental, Experimental, Other","Procedure, Procedure, Procedure",Parallel Assignment,Not Applicable,No,No
RADIO-SLEEP,Sleep Disorders Prior to and During a Course of Radiotherapy for Breast Cancer,Not yet recruiting,Interventional,Experimental,"Diagnostic Test, Diagnostic Test",Single Group Assignment,Not Applicable,No,No
19-001,Individualizing Surveillance Mammography for Older Breast Cancer Survivors,Completed,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
UCaenNormandie,A Randomized Cluster Trial to Evaluate a Mobile Mammography Unit in Breast Cancer Screening in France (Mammobile),Enrolling by invitation,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No
17-552,Comparing Restriction Spectrum Imaging (RSI) to Conventional and Abbreviated Breast MRI for Breast Cancer Screening,"Active, not recruiting",Interventional,"Active Comparator, Experimental","Device, Device",Parallel Assignment,Not Applicable,No,Yes
CCR5348,Safe De-escalation of Chemotherapy for Stage 1 Breast Cancer,Not yet recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
STUDY00011606,Design of Chatbot Persona for Breast Cancer Screening Outreach Among Black Women,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, No Intervention","Other, Other, Other, Other",Factorial Assignment,Not Applicable,No,No
03/21,A Prospective Single-center Cohort Study Preoperative Identification of Sentinel Lymph Nodes Using Contrast-enhanced CT Lymphography in Breast Cancer Patients,Not yet recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No
AHQU-2021007,Genetic Predictors of Response to Acupuncture for Cancer-related Fatigue Among Breast Cancer Patients After Chemotherapy,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
D8530C00003,"A Study to Investigate the Biological Effects of AZD9833 in Women With ER-positive, HER2 Negative Primary Breast Cancer",Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Parallel Assignment,Phase 2,No,No
2019-05-157,Genetic Characteristics of Metastatic Breast Cancer Patients,Recruiting,Interventional,Other,Diagnostic Test,Sequential Assignment,Not Applicable,No,No
200056,"BN-Brachyury, Entinostat, Adotrastuzumab Emtansine and M7824 in Advanced Stage Breast Cancer (BrEAsT)",Terminated,Interventional,"Experimental, Experimental, Experimental","Biological, Drug, Biological, Biological",Sequential Assignment,Phase 1,Yes,No
182-20-CA,18F-fluoroestradiol (FES) PET/CT for Breast Cancer,Recruiting,Interventional,"Experimental, Experimental",Diagnostic Test,Parallel Assignment,Phase 2,Yes,No
Shengjing-LCG008,Trastuzumab Combined With Pertuzumab for Adjuvant Treatment of Breast Cancer After Neoadjuvant Therapy,Not yet recruiting,Interventional,"Experimental, Other","Drug, Drug",Parallel Assignment,Phase 3,No,No
NeoRadUKD,NeoRad Breast Cancer Study,Not yet recruiting,Interventional,"Experimental, Active Comparator","Radiation, Radiation",Parallel Assignment,Phase 3,No,No
STUDY19060359,Tomosynthesis vs. Contrast-Enhanced Mammography in Women With Personal History of Breast Cancer in Western Pennsylvania,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes
UEM0002,Synergic Effects of Physical Activity and Probiotic on Gut Immune System and Quality of Life of Breast Cancer Survivors.,Withdrawn,Interventional,"Experimental, Experimental, Placebo Comparator","Other, Dietary Supplement, Dietary Supplement",Parallel Assignment,Not Applicable,No,No
004181,Together After Cancer,Recruiting,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
21 SEIN 09,"Study Evaluating DNA Double-strand Breaks (DSBs) REpair Factors (POLQ, Shieldin Complex and 53BP1) Expression as Biomarker of PARP Inhibitor Resistance in Patients With Deleterious Germline Mutation in BRCA 1/2 and HER2-negative, Metastatic or Locally Advanced Breast Cancer.",Recruiting,Interventional,Other,"Other, Other",Single Group Assignment,Not Applicable,No,No
CINEICC-3-IAT,Mind Programme for Women With Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
Bakircay University,Training With Mobile Application in Breast Cancer,Completed,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
21149002,The Effect of Virtual Reality on Anxiety and Fatigue in Women With Breast Cancer Receiving Adjuvant Chemotherapy,Completed,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No
AAAU1629,FHIR-Enhanced RealRisks to Improve Accuracy of Breast Cancer Risk Assessments,Not yet recruiting,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No
BC-NEO-IIT-SHR1316-SHR6390-RT,Breast Cancer Study of Stereotactic Body Radiation Therapy (SBRT) Combined Neoadjuvant Treatment,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug, Radiation",Parallel Assignment,Not Applicable,No,No
IRB202100182 -N,All-extremity Exercise During Breast Cancer Chemotherapy,Recruiting,Interventional,"Experimental, Active Comparator, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
2019-KY-001-003,PD-1 Knockout Anti-MUC1 CAR-T Cells in the Treatment of Advanced Breast Cancer,Completed,Interventional,Experimental,Drug,Sequential Assignment,"Phase 1, Phase 2",No,No
AbantIBU,Early Detection of Lymphedema With Bio-Electrical Impedance Analysis in Patients After Breast Cancer Surgery,Withdrawn,Interventional,"Experimental, Experimental, Active Comparator","Device, Device",Parallel Assignment,Not Applicable,No,No
121K686,Online Group Therapy for Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator, No Intervention","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No
NADOPTIC,Monitoring Response to NAC and Prediction of pCR in Breast Cancer Patients Using Optical Imaging,Unknown status,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
Pro00020917,Durvalumab With Trastuzumab and Pertuzumab in HER2-Enriched Breast Cancer,Recruiting,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 2,Yes,No
Breast Cancer,"Effects of Continuous and Interval Physical Training Through the Intensity of the Incremental Shuttle Walk Test, on Functional Capacity and Quality of Life in Women With Malignant Breast Cancer During Chemotherapy Treatment",Not yet recruiting,Interventional,"Experimental, Experimental",Other,Parallel Assignment,Not Applicable,No,No
BSU,The Effect of Metformin on Breast Cancer Patients,Unknown status,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No
URomLS Prot.0930/2021Rif. 6528,To Detect Cryoimmunologic Response Induced by Early Breast Cancer Ultrasound-guided Cryoablation (ICE-study),Completed,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No
SOLTI-1716,Pembrolizumab + Paclitaxel in Hormone Receptor-positive (HR+)/Human Epidermal Growth Factor Receptor 2-negative (HER2-) Non-luminal (by PAM50) Advanced Breast Cancer After Cyclin-dependent Kinase 4/6 (CDK4/6) Inhibitors Progression,"Active, not recruiting",Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No
LCCC 1749,Impact of Home-based Aerobic and Strength Exercises During Chemotherapy for Early Breast Cancer on Biomarkers of Aging,Recruiting,Interventional,Experimental,"Behavioral, Other",Single Group Assignment,Not Applicable,No,No
GIMI-IRB-20005,Multi-4SCAR-T Therapy Targeting Breast Cancer,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,"Phase 1, Phase 2",No,No
202302017,Cryoablation vs Lumpectomy in T1 Breast Cancers,Not yet recruiting,Interventional,"Experimental, Active Comparator, Other, Experimental","Device, Procedure",Parallel Assignment,Not Applicable,No,Yes
2015-4-6-003,Prevention of Sequelae Pain After Breast Cancer Surgery by Self-massages and Self Stretching. Impact of Learning Workshops.,Recruiting,Interventional,"Experimental, Other","Other, Other",Parallel Assignment,Not Applicable,No,No
FIRST,FreezIng bReaST Cancer in Brazil: a Before-after Study,Not yet recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
147/19,Breast Cancer: Feasibility of an Educational Intervention,Completed,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No
STUDY00001641,Faith in Action! A Church-Based Navigation Model to Increase Breast Cancer Screening in Korean Women,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Other",Parallel Assignment,Not Applicable,No,No
PetrovRIO,Refusal of Breast Surgery in Patients With Breast Cancer With a Clinical Complete Response (cCR) After Neoadjuvant Systemic Therapy and a Confirmed Pathological Complete Response (pCR) Using Vacuum-assisted Biopsy (VAB) and Sentinel Lymph Node Biopsy (SLNB),Recruiting,Interventional,"Experimental, Experimental",Procedure,Single Group Assignment,Not Applicable,No,No
wanghaibo,Study on the Safety and Efficacy of Autogenous Tumor Infiltrates Lymphocytes for the Treatment of Advanced Breast Cancer,Not yet recruiting,Interventional,Experimental,Biological,Single Group Assignment,Early Phase 1,No,No
852-20,"Breast Cancer, Reasoning, and Activity Intervention",Withdrawn,Interventional,"Experimental, Active Comparator","Behavioral, Other",Parallel Assignment,Not Applicable,No,No
2020[84],HER2 Expression Detection and Radionuclide Therapy in Breast Cancer Using 99mTc/188Re Labeled Single Domain Antibody,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Early Phase 1,No,No
IBCSG 59-19,Palbociclib for HR Positive / HER2-negative Isolated Locoregional Recurrence of Breast Cancer,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No
33293720.9.0000.5505,Tele-rehabilitation in Women With Breast Cancer During COVID-19 Pandemic.,"Active, not recruiting",Interventional,"Experimental, Active Comparator",Other,Parallel Assignment,Not Applicable,No,No
199080,Prospective Trial of Digital Breast Tomosynthesis (DBT) in Breast Cancer Screening.,Recruiting,Interventional,"Experimental, Active Comparator","Diagnostic Test, Diagnostic Test",Parallel Assignment,Not Applicable,No,No
SLN SPECT,Sentinel Lymph Node Identification in Patients With Breast Cancer Using SPECT/CT,Unknown status,Interventional,"Active Comparator, Active Comparator","Device, Device",Sequential Assignment,Not Applicable,No,No
SOLTI-1907,Study With Atezolizumab in Combination With Trastuzumab and Vinorelbine in HER2-positive Advanced/Metastatic Breast Cancer,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No
SDS-HER-01-2018,Safety and Efficacy Assessment of Diagnostic Microprobe (inPROBE) in Women at High Risk of Breast Cancer,Completed,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No
APHP211502,Breast Cancer Prevention and Screening Membership,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No
SCHBCC-N024,Evaluation for the Effectiveness and Safety of Cryo-ablation in the Treatment of Early Invasive Breast Cancer,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes
CELC-G-301,Gedatolisib Plus Fulvestrant With or Without Palbociclib vs Standard-of-Care for the Treatment of Patients With Advanced or Metastatic HR+/HER2- Breast Cancer (VIKTORIA-1),Recruiting,Interventional,"Experimental, Experimental, Active Comparator, Experimental, Active Comparator, Experimental","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No
