ID,title,actual_duration,status,study_type,arm_group_type,intervention_type,interventional_type_model,phase,fda_regulated_drug,fda_regulated_device,enrollment_count
831804,[18F] F-GLN by PET/CT in Breast Cancer,2067 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,Yes,No,30
154/2019,Short and Long Term Effects of a Physical Therapy Program After Breast Cancer Surgery,1546 days,Suspended,Interventional,"Experimental, Other",Other,Parallel Assignment,Not Applicable,No,No,36
Amr Ahmed,"The Study of Quadruple Therapy Quercetin, Zinc, Metformin, and EGCG as Adjuvant Therapy for Early, Metastatic Breast Cancer and Triple-negative Breast Cancer, a Novel Mechanism",395 days,Not yet recruiting,Interventional,"Experimental, Experimental",Combination Product,Parallel Assignment,Early Phase 1,Yes,No,200
2022-11-076-002,Comparison of Ultrasound and Breast MRI for Breast Cancer Detection,1827 days,Not yet recruiting,Interventional,"Experimental, Experimental",Diagnostic Test,Crossover Assignment,Not Applicable,No,No,1464
Health Literacy of Breast Ca,The Effect of Breast Cancer Screening Training,318 days,Not yet recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,60
ZY(2018-2020)-CCCX-2005-04,Evaluating the Clinical Value of Traditional Chinese Medicine in the Adjuvant Therapy of Triple-negative Breast Cancer,1467 days,Recruiting,Interventional,"Experimental, Placebo Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No,200
22IC7498,Behavioural Science Messages in Breast Cancer Screening,184 days,Completed,Interventional,"Active Comparator, Experimental, Experimental","Behavioral, Behavioral, Other",Parallel Assignment,Not Applicable,No,No,34047
18 SEIN 11,"Prospective, Multicentric Study Evaluating the Surgical Treatment by Mastectomy With Immediate Prosthetic Breast Reconstruction in Patients With Breast Cancer and Receiving Adjuvant Therapy by TomoTherapy +/-Chemotherapy.",2369 days,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Phase 2,No,No,55
17-447,Imaging With [11C]Martinostat in Breast Cancer,1734 days,Withdrawn,Interventional,Experimental,"Drug, Device",Single Group Assignment,Phase 1,Yes,No,0
22-509,Breast Cancer Survivor Educational Intervention,184 days,Recruiting,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No,15
ID-BCRPS-02-20220913,The Perspective of Healthy Individuals on Breast Cancer Risk Prediction Report In The Indonesian Population,108 days,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,20
17-01549,Gradient-Echo Spectroscopic Imaging Study of Saturated Fat and Breast Cancer,2376 days,Recruiting,Interventional,"Active Comparator, Active Comparator","Diagnostic Test, Diagnostic Test",Single Group Assignment,Not Applicable,No,Yes,170
202101073,Project Insight: Feasibility of a Breast Cancer Screening Decision Support Tool,133 days,Completed,Interventional,"Experimental, Active Comparator","Other, Other",Parallel Assignment,Not Applicable,No,No,1277
"estPerMed 1, Breast",Personalised Risk-based Breast Cancer Prevention and Screening,792 days,Unknown status,Interventional,"Active Comparator, Active Comparator, No Intervention",Diagnostic Test,Parallel Assignment,Not Applicable,No,No,28389
68824072019,Risk Reduction Program for Women Having High Risk of Breast Cancer,1249 days,Completed,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No,77
20220303swj0211,The Psychology Intervention on Disease Acceptance and Quality of Life in Breast Cancer Patients,731 days,Not yet recruiting,Interventional,"Experimental, Other",Behavioral,Parallel Assignment,Not Applicable,No,No,90
RC20_0532,Breast Cancer Screening Uptake: a Randomized Controlled Trial Assessing the Effect of a Decisional Aid,731 days,Not yet recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,66000
KMUHIRB-E(I)-20200041,"Develop and Evaluate the Effectiveness of a Self-Care Smartphone Application on the Self-Efficacy, and Resilience Among Newly Diagnosed Breast Cancer Patients Undergoing Treatment",696 days,Completed,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No,73
4452,Development of a Horizontal Data Integration Classifier for Noninvasive Early Diagnosis of Breast Cancer,1412 days,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Diagnostic Test, Diagnostic Test",Sequential Assignment,Not Applicable,No,No,367
SK-421-BRCA,A Digital Solution for Breast Cancer Patients,413 days,Recruiting,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No,66
autotaxin1,Autotaxin: a Potential Biomarker for Breast Cancer.,804 days,Completed,Interventional,"Active Comparator, Sham Comparator",Biological,Parallel Assignment,Not Applicable,No,No,110
DS8201-A-U302,"DS-8201a Versus T-DM1 for Human Epidermal Growth Factor Receptor 2 (HER2)-Positive, Unresectable and/or Metastatic Breast Cancer Previously Treated With Trastuzumab and Taxane [DESTINY-Breast03]",2062 days,"Active, not recruiting",Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,Yes,No,524
CCR 5113,PIONEER Study of Lifestyle Intervention to Reduced Breast Cancer Risk,1171 days,"Active, not recruiting",Interventional,"No Intervention, No Intervention, Experimental, Experimental, Experimental, Experimental",Behavioral,Parallel Assignment,Not Applicable,No,No,240
ICO-N-2017-02,Sentinel Lymph Node Procedure in Ipsilateral Invasive Breast Cancer Relapse,919 days,Terminated,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No,50
medicin,Autotaxin (ATX) as a Marker for Breast Cancer,549 days,Unknown status,Interventional,"Experimental, Placebo Comparator","Diagnostic Test, Radiation, Diagnostic Test, Diagnostic Test, Radiation, Diagnostic Test, Diagnostic Test, Diagnostic Test, Diagnostic Test, Other, Other",Parallel Assignment,Not Applicable,No,No,100
METCZ20200211,Magnetic Tracer in the Sentinel Node Procedure in Breast Cancer: the Non-radioactive Alternative for Radio-isotopes,192 days,Completed,Interventional,Experimental,Procedure,Single Group Assignment,Not Applicable,No,No,40
2020-A00058-31,Interest of Broadband Spectroscopy Analysis by Infrared Laser on Liquid Biopsies in Breast Cancer Screening,2161 days,Recruiting,Interventional,"Other, Other, Other",Other,Parallel Assignment,Not Applicable,No,No,1100
351-19,mULM to Support Breast Cancer Diagnosis and Therapy,949 days,Recruiting,Interventional,Other,Diagnostic Test,Single Group Assignment,Not Applicable,No,No,74
PekingUPH10B004,Neoadjuvant Therapy Study Guided by Drug Screening in Vitro for Human Epidermal Growth Factor Receptor 2 (HER2) Negative Early Breast Cancer Patients,2099 days,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Single Group Assignment,"Phase 1, Phase 2",No,No,46
CD3-MUC1 in breast cancer,Study of Activated Cytokine-induced Killer Armed With Bispecific Antibody for Advanced Breast Cancer,412 days,Withdrawn,Interventional,"Experimental, Active Comparator, No Intervention","Biological, Procedure",Parallel Assignment,Phase 2,No,No,0
LCCC 1829,Harnessing Analysis RNA Expression and Molecular Subtype to Optimize Novel TherapY MBCA,4422 days,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes,500
2022-080,"Pyrotinib Combined With Trastuzumab,Dalpiciclib and Letrozole for HR+/HER2+ Breast Cancer",1091 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,30
20218,A Pilot Study of the Combination of Entinostat With Capecitabine in High Risk Breast Cancer After Neo-adjuvant Therapy,1372 days,Completed,Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 1,Yes,No,13
LA LEAST,Limited Adjuvant Endocrine Therapy for Low Risk Breast Cancer,3508 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,No,No,290
2015-004027-31,HERPET- A Novel PET Imaging Study of HER2 in Breast Cancer,1759 days,Recruiting,Interventional,"Other, Other",Radiation,Parallel Assignment,Not Applicable,No,No,24
BREACE,Exercise in Older Women With Breast Cancer During Systemic Therapy,1842 days,Recruiting,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,100
495077,18F-FDG PET/CT Imaging for Breast Cancer,3606 days,Recruiting,Interventional,"Other, Other",Other,Parallel Assignment,Not Applicable,No,No,300
CCR4684,"Crizotinib in Lobular Breast, Diffuse Gastric and Triple Negative Lobular Breast Cancer or CDH1-mutated Solid Tumours",1880 days,Recruiting,Interventional,"Active Comparator, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,Yes,No,58
211753,BRAVE Strategy - Breast Cancer Risk Assessment -achieVing Equity,876 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental","Other, Other, Other, Other, Other",Parallel Assignment,Not Applicable,No,No,500
1705018188,Dedicated Breast PET/MRI in Evaluation of Extent of Disease in Women With Newly Diagnosed Breast Cancer,1450 days,Terminated,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,Yes,14
22-136,"A Study of an Alternative Treatment Approach (Preoperative Radiotherapy, Then Mastectomy, Then Immediate Reconstruction Surgery) in People With T4 Breast Cancer",1096 days,Recruiting,Interventional,Experimental,"Diagnostic Test, Radiation, Procedure",Single Group Assignment,Phase 1,No,No,60
RECO_CT29B,Investigation of Urinary Biomarkers for the Detection of Breast Cancer,467 days,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,200
D8531C00002,A Study of Camizestrant in ER+/HER2- Early Breast Cancer After at Least 2 Years of Standard Adjuvant Endocrine Therapy,4921 days,Not yet recruiting,Interventional,"Active Comparator, Experimental","Drug, Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No,4300
SOLTI-1910,Predicting Olaparib Sensitivity in Patients With Unresectable Locally Advanced/Metastatic HER2-negative Breast Cancer.,799 days,Recruiting,Interventional,"Experimental, Active Comparator",Drug,Parallel Assignment,Phase 2,No,No,63
Targeted axillary dissection,Evaluation of Targeted Axillary Lymph Node Dissection in Node Positive Breast Cancer Patients Post Neo Adjuvant Therapy,609 days,Not yet recruiting,Interventional,Experimental,Procedure,Single Group Assignment,Phase 4,No,No,30
2021-0215,BRE-04: Window of Opportunity Trial of Preoperative Low Dose Azacitidine in High-Risk Early Stage Breast Cancer,842 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,40
17-398,Feasibility of an Individualized Goals of Care Discussion Guide for Advanced Breast Cancer,462 days,Completed,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,45
IC 2018-01,Isolation of Volatile Organic Compounds (VOCs) Related to the Olfactory Signature of Breast Cancer,788 days,Completed,Interventional,"Experimental, Experimental","Diagnostic Test, Diagnostic Test",Sequential Assignment,Not Applicable,No,No,15
IC 2020 08,Isolation of Volatile Organic Compounds (VOCs) Related to the Olfactory Signature of Breast Cancer.,329 days,Completed,Interventional,"Experimental, Experimental","Diagnostic Test, Diagnostic Test",Sequential Assignment,Not Applicable,No,No,35
PI17/00834,Assessment of Feasibility and Acceptability of Personalized Breast Cancer Screening,1066 days,Completed,Interventional,,Other,Single Group Assignment,Not Applicable,No,No,387
PekingUMCH-FAPI-BC-1,Characterizing Breast Cancer With 68Ga-FAPI PET/CT,974 days,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No,100
PekingUMCH-FAPI-BC-2,Characterizing Breast Cancer With Al18F-NOTA-FAPI-04 PET/CT,416 days,Recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No,100
180034,ONC201 in Recurrent/Refractory Metastatic Breast Cancer and Advanced Endometrial Carcinoma,1359 days,Completed,Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,30
IRB17-0721,Study of Pembrolizumab and Mifepristone in Patients With Advanced HER2-negative Breast Cancer,1662 days,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Phase 2,Yes,No,74
BCL IDE,Breast Cancer Locator Guided vs. Wire Localized Partial Mastectomy for Breast Cancer,920 days,Recruiting,Interventional,"Experimental, Active Comparator","Device, Device",Parallel Assignment,Not Applicable,No,Yes,448
REO 027,A Window-of-opportunity Study of Pelareorep in Early Breast Cancer,1118 days,Terminated,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental","Biological, Drug, Drug, Drug",Parallel Assignment,Early Phase 1,No,No,26
V3-MOMMO-01,Open Label Immunotherapy Trial for Breast Cancer,548 days,Unknown status,Interventional,Experimental,Biological,Single Group Assignment,Phase 2,No,No,20
077-2019,Novel MRI-Guided Ultrasound Stimulated Microbubble Radiation Treatment for Patients With Chest-wall and Locally-Advanced Breast Cancer,1430 days,Recruiting,Interventional,Experimental,Drug,Single Group Assignment,Phase 1,No,No,20
Juçara Phd Thesis,Emotional Evaluation and Reconstructed Breast Satisfaction,973 days,Unknown status,Interventional,"Experimental, Active Comparator","Diagnostic Test, Diagnostic Test",Parallel Assignment,Not Applicable,No,No,110
18 SEIN 08,The Use of FES-PET Imaging as a Tool to Detect a Possible Reversion of Estrogen Receptor (ER)-α Status in Patients With Metastatic Breast Cancer HER2 + and ERα Neg Treated With Trastuzumab + Pertuzumab + Taxane.,315 days,Terminated,Interventional,Other,Other,Single Group Assignment,Not Applicable,No,No,4
2021-012,Efficacity of Deep Inspiration Breath Hold and Intensity-modulated Radiotherapy in Preventing PErfusion Defect for Left Sided Breast Cancer (EDIPE),731 days,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,58
CASE12119,Effectiveness of AI Genetic Counseling Program vs In-person Genetic Counseling in Breast Cancer,1068 days,Recruiting,Interventional,"Experimental, Active Comparator","Genetic, Genetic, Other, Other, Device",Parallel Assignment,Not Applicable,No,Yes,100
18-124,ATOP TRIAL: T-DM1 in HER2 Positive Breast Cancer,4026 days,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,82
EFC16133,"Study of Amcenestrant (SAR439859) Versus Tamoxifen for Patients With Hormone Receptor-positive (HR+) Early Breast Cancer, Who Have Discontinued Adjuvant Aromatase Inhibitor Therapy Due to Treatment-related Toxicity",238 days,Terminated,Interventional,"Experimental, Active Comparator","Drug, Drug, Drug, Drug",Parallel Assignment,Phase 3,Yes,No,3
s66248,Identifying Prognostic Variables for Persistent Upper Limb Dysfunctions After Breast Cancer Treatment,1012 days,Recruiting,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,250
964635,The Benefit of Surgery in Stage IV of Breast Cancer,395 days,Unknown status,Interventional,"Experimental, No Intervention",Procedure,Parallel Assignment,Not Applicable,No,No,212
SCCC-11118; STU-2018-0015,Letrozole in Post-Menopausal Patients With Operable Hormone-Sensitive Breast Cancer,2195 days,"Active, not recruiting",Interventional,Experimental,Drug,Single Group Assignment,Phase 2,Yes,No,61
2019402,Supportive Effects of Craniosacral Therapy for Female Patients With Breast Cancer and Their Partners,580 days,Not yet recruiting,Interventional,"Experimental, Experimental, Other","Procedure, Procedure, Procedure",Parallel Assignment,Not Applicable,No,No,102
RADIO-SLEEP,Sleep Disorders Prior to and During a Course of Radiotherapy for Breast Cancer,394 days,Not yet recruiting,Interventional,Experimental,"Diagnostic Test, Diagnostic Test",Single Group Assignment,Not Applicable,No,No,51
19-001,Individualizing Surveillance Mammography for Older Breast Cancer Survivors,777 days,Completed,Interventional,Experimental,Other,Single Group Assignment,Not Applicable,No,No,45
UCaenNormandie,A Randomized Cluster Trial to Evaluate a Mobile Mammography Unit in Breast Cancer Screening in France (Mammobile),930 days,Enrolling by invitation,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No,91982
17-552,Comparing Restriction Spectrum Imaging (RSI) to Conventional and Abbreviated Breast MRI for Breast Cancer Screening,2082 days,"Active, not recruiting",Interventional,"Active Comparator, Experimental","Device, Device",Parallel Assignment,Not Applicable,No,Yes,910
CCR5348,Safe De-escalation of Chemotherapy for Stage 1 Breast Cancer,2191 days,Not yet recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No,400
STUDY00011606,Design of Chatbot Persona for Breast Cancer Screening Outreach Among Black Women,85 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, No Intervention","Other, Other, Other, Other",Factorial Assignment,Not Applicable,No,No,500
03/21,A Prospective Single-center Cohort Study Preoperative Identification of Sentinel Lymph Nodes Using Contrast-enhanced CT Lymphography in Breast Cancer Patients,304 days,Not yet recruiting,Interventional,Experimental,Diagnostic Test,Single Group Assignment,Not Applicable,No,No,31
AHQU-2021007,Genetic Predictors of Response to Acupuncture for Cancer-related Fatigue Among Breast Cancer Patients After Chemotherapy,578 days,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,60
D8530C00003,"A Study to Investigate the Biological Effects of AZD9833 in Women With ER-positive, HER2 Negative Primary Breast Cancer",949 days,Recruiting,Interventional,"Experimental, Experimental, Experimental, Experimental, Experimental, Experimental, Experimental",Drug,Parallel Assignment,Phase 2,No,No,132
2019-05-157,Genetic Characteristics of Metastatic Breast Cancer Patients,1841 days,Recruiting,Interventional,Other,Diagnostic Test,Sequential Assignment,Not Applicable,No,No,300
200056,"BN-Brachyury, Entinostat, Adotrastuzumab Emtansine and M7824 in Advanced Stage Breast Cancer (BrEAsT)",171 days,Terminated,Interventional,"Experimental, Experimental, Experimental","Biological, Drug, Biological, Biological",Sequential Assignment,Phase 1,Yes,No,1
182-20-CA,18F-fluoroestradiol (FES) PET/CT for Breast Cancer,1064 days,Recruiting,Interventional,"Experimental, Experimental",Diagnostic Test,Parallel Assignment,Phase 2,Yes,No,124
Shengjing-LCG008,Trastuzumab Combined With Pertuzumab for Adjuvant Treatment of Breast Cancer After Neoadjuvant Therapy,2191 days,Not yet recruiting,Interventional,"Experimental, Other","Drug, Drug",Parallel Assignment,Phase 3,No,No,450
NeoRadUKD,NeoRad Breast Cancer Study,3835 days,Not yet recruiting,Interventional,"Experimental, Active Comparator","Radiation, Radiation",Parallel Assignment,Phase 3,No,No,1826
STUDY19060359,Tomosynthesis vs. Contrast-Enhanced Mammography in Women With Personal History of Breast Cancer in Western Pennsylvania,2348 days,Recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,Yes,1650
UEM0002,Synergic Effects of Physical Activity and Probiotic on Gut Immune System and Quality of Life of Breast Cancer Survivors.,456 days,Withdrawn,Interventional,"Experimental, Experimental, Placebo Comparator","Other, Dietary Supplement, Dietary Supplement",Parallel Assignment,Not Applicable,No,No,0
004181,Together After Cancer,1155 days,Recruiting,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No,480
21 SEIN 09,"Study Evaluating DNA Double-strand Breaks (DSBs) REpair Factors (POLQ, Shieldin Complex and 53BP1) Expression as Biomarker of PARP Inhibitor Resistance in Patients With Deleterious Germline Mutation in BRCA 1/2 and HER2-negative, Metastatic or Locally Advanced Breast Cancer.",1074 days,Recruiting,Interventional,Other,"Other, Other",Single Group Assignment,Not Applicable,No,No,120
CINEICC-3-IAT,Mind Programme for Women With Breast Cancer,972 days,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,154
Bakircay University,Training With Mobile Application in Breast Cancer,97 days,Completed,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,64
21149002,The Effect of Virtual Reality on Anxiety and Fatigue in Women With Breast Cancer Receiving Adjuvant Chemotherapy,240 days,Completed,Interventional,"Experimental, No Intervention",Other,Parallel Assignment,Not Applicable,No,No,66
AAAU1629,FHIR-Enhanced RealRisks to Improve Accuracy of Breast Cancer Risk Assessments,427 days,Not yet recruiting,Interventional,Experimental,Behavioral,Single Group Assignment,Not Applicable,No,No,55
BC-NEO-IIT-SHR1316-SHR6390-RT,Breast Cancer Study of Stereotactic Body Radiation Therapy (SBRT) Combined Neoadjuvant Treatment,702 days,"Active, not recruiting",Interventional,"Experimental, Experimental","Drug, Drug, Radiation",Parallel Assignment,Not Applicable,No,No,24
IRB202100182 -N,All-extremity Exercise During Breast Cancer Chemotherapy,396 days,Recruiting,Interventional,"Experimental, Active Comparator, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No,68
2019-KY-001-003,PD-1 Knockout Anti-MUC1 CAR-T Cells in the Treatment of Advanced Breast Cancer,1279 days,Completed,Interventional,Experimental,Drug,Sequential Assignment,"Phase 1, Phase 2",No,No,15
AbantIBU,Early Detection of Lymphedema With Bio-Electrical Impedance Analysis in Patients After Breast Cancer Surgery,457 days,Withdrawn,Interventional,"Experimental, Experimental, Active Comparator","Device, Device",Parallel Assignment,Not Applicable,No,No,0
121K686,Online Group Therapy for Breast Cancer,259 days,Recruiting,Interventional,"Experimental, Active Comparator, No Intervention","Behavioral, Behavioral",Parallel Assignment,Not Applicable,No,No,51
NADOPTIC,Monitoring Response to NAC and Prediction of pCR in Breast Cancer Patients Using Optical Imaging,1096 days,Unknown status,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,20
Pro00020917,Durvalumab With Trastuzumab and Pertuzumab in HER2-Enriched Breast Cancer,1796 days,Recruiting,Interventional,Experimental,"Drug, Drug, Drug",Single Group Assignment,Phase 2,Yes,No,39
Breast Cancer,"Effects of Continuous and Interval Physical Training Through the Intensity of the Incremental Shuttle Walk Test, on Functional Capacity and Quality of Life in Women With Malignant Breast Cancer During Chemotherapy Treatment",1075 days,Not yet recruiting,Interventional,"Experimental, Experimental",Other,Parallel Assignment,Not Applicable,No,No,60
BSU,The Effect of Metformin on Breast Cancer Patients,488 days,Unknown status,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 2,No,No,80
URomLS Prot.0930/2021Rif. 6528,To Detect Cryoimmunologic Response Induced by Early Breast Cancer Ultrasound-guided Cryoablation (ICE-study),148 days,Completed,Interventional,"Experimental, No Intervention",Device,Parallel Assignment,Not Applicable,No,No,20
SOLTI-1716,Pembrolizumab + Paclitaxel in Hormone Receptor-positive (HR+)/Human Epidermal Growth Factor Receptor 2-negative (HER2-) Non-luminal (by PAM50) Advanced Breast Cancer After Cyclin-dependent Kinase 4/6 (CDK4/6) Inhibitors Progression,1564 days,"Active, not recruiting",Interventional,Experimental,"Drug, Drug",Single Group Assignment,Phase 2,No,No,46
LCCC 1749,Impact of Home-based Aerobic and Strength Exercises During Chemotherapy for Early Breast Cancer on Biomarkers of Aging,2817 days,Recruiting,Interventional,Experimental,"Behavioral, Other",Single Group Assignment,Not Applicable,No,No,100
GIMI-IRB-20005,Multi-4SCAR-T Therapy Targeting Breast Cancer,1308 days,Recruiting,Interventional,Experimental,Biological,Single Group Assignment,"Phase 1, Phase 2",No,No,100
202302017,Cryoablation vs Lumpectomy in T1 Breast Cancers,2741 days,Not yet recruiting,Interventional,"Experimental, Active Comparator, Other, Experimental","Device, Procedure",Parallel Assignment,Not Applicable,No,Yes,256
2015-4-6-003,Prevention of Sequelae Pain After Breast Cancer Surgery by Self-massages and Self Stretching. Impact of Learning Workshops.,1615 days,Recruiting,Interventional,"Experimental, Other","Other, Other",Parallel Assignment,Not Applicable,No,No,144
FIRST,FreezIng bReaST Cancer in Brazil: a Before-after Study,669 days,Not yet recruiting,Interventional,Experimental,Device,Single Group Assignment,Not Applicable,No,No,30
147/19,Breast Cancer: Feasibility of an Educational Intervention,344 days,Completed,Interventional,"Experimental, No Intervention",Behavioral,Parallel Assignment,Not Applicable,No,No,224
STUDY00001641,Faith in Action! A Church-Based Navigation Model to Increase Breast Cancer Screening in Korean Women,869 days,Recruiting,Interventional,"Experimental, Active Comparator","Behavioral, Other",Parallel Assignment,Not Applicable,No,No,320
PetrovRIO,Refusal of Breast Surgery in Patients With Breast Cancer With a Clinical Complete Response (cCR) After Neoadjuvant Systemic Therapy and a Confirmed Pathological Complete Response (pCR) Using Vacuum-assisted Biopsy (VAB) and Sentinel Lymph Node Biopsy (SLNB),3351 days,Recruiting,Interventional,"Experimental, Experimental",Procedure,Single Group Assignment,Not Applicable,No,No,60
wanghaibo,Study on the Safety and Efficacy of Autogenous Tumor Infiltrates Lymphocytes for the Treatment of Advanced Breast Cancer,1635 days,Not yet recruiting,Interventional,Experimental,Biological,Single Group Assignment,Early Phase 1,No,No,10
852-20,"Breast Cancer, Reasoning, and Activity Intervention",1609 days,Withdrawn,Interventional,"Experimental, Active Comparator","Behavioral, Other",Parallel Assignment,Not Applicable,No,No,0
2020[84],HER2 Expression Detection and Radionuclide Therapy in Breast Cancer Using 99mTc/188Re Labeled Single Domain Antibody,1498 days,Recruiting,Interventional,"Experimental, Experimental","Drug, Drug",Parallel Assignment,Early Phase 1,No,No,40
IBCSG 59-19,Palbociclib for HR Positive / HER2-negative Isolated Locoregional Recurrence of Breast Cancer,2623 days,Recruiting,Interventional,"Experimental, Active Comparator","Drug, Drug",Parallel Assignment,Phase 3,No,No,400
