ID,title,status,study_type,observational_study_model,target_duration,sampling_method,fda_regulated_drug,fda_regulated_device
18-461,Decisions of Young Women With Breast Cancer Regarding Fertility Preservation Before Cancer Treatment and Family Building After Treatment,"Active, not recruiting",Observational,Case-Only,,Non-Probability Sample,No,No
2020-KY-064,Efficacy and Safety of Eribulin in the Treatment of Advanced Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
3049,Evaluating Breast Cancer Patients Modesty During Radiotherapy. A Multicentric Study,Completed,Observational,Cohort,,Non-Probability Sample,No,No
82944089,Discovering Factors in Metastatic Breast Cancer Patients Clinical Trial Experiences,Not yet recruiting,Observational,Case-Crossover,,Probability Sample,No,No
NewGiza University Protocol 1,The Association of Hormonal Intake and Demographic Factors With Breast Cancer Risk. An Egyptian Case-controlled Study,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,Yes,No
3/19,Multidisciplinary Approach to Breast Cancer Through the Study of Altered Transcriptomic and Immune Accompanied by the Identification of Extractable Markers From the Radiodiagnostic Bioimaging,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
19-003085,"GENetic Risk Estimation of Breast Cancer Prior to Decisions on Preventive Therapy Uptake, Risk Reducing Surgery or Intensive Imaging Surveillance",Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No
Protocol EMIT-1,Establishment of Molecular Profiling for Individual Clinical Routine Treatment Decision in Early Breast Cancer,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
17/09/621_Myosin VI,Nuclear Myosin VI - a Therapeutic Target in Breast Cancer,Unknown status,Observational,Other,,Non-Probability Sample,No,No
2017/1356,Adjuvant Endocrine Therapy in Early Stage Breast Cancer: Adherence and Clinical Outcome,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
IC 2016-07,"FErtility, PrEgnancy, contRaceptIon After Breast Cancer in France",Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
left breast cancer,Cardiac Toxicity of Hypo Fractionated Radiotherapy in Left Breast Cancer,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
180212-1,IORT Following Breast Conserving Surgery for Early Stage Breast Cancer Registry,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No
CTRP6 in Breast Cancer,The Role of C1q Tumor Necrosis Factor-related Protein 6 in Breast Cancer,Unknown status,Observational,Case-Control,,Probability Sample,No,No
CESM in breast cancer,Accuracy Of Contrast Enhanced Mamography in Predicting Response of Breast Cancer Post Neoadjuvant Chemotherapy,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No
SOLTI-1903,Real World Study Using Comprehensive Genomic Data on the Next Treatment Decision Making in Metastatic Breast Cancer,"Active, not recruiting",Observational,Other,,Probability Sample,No,No
Vitamin D in breast cancer,Prognostic Value of Vitamin D Levels in Egyptian Females With Breast Cancer,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,No
19HLSEIN02,Modifications of Immune Microenvironment Induced by Neoadjuvant Chemotherapy in Triple-negative BC,Completed,Observational,Cohort,,Probability Sample,No,No
KY20192114-C-1,Sentinel Lymph Node Biopsy in Early Breast Cancer: a Real-world Multicenter Cross-sectional Study (CABS001 Study),Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
2019.089,Using Imaging Data and Genomic Data to Predict Metastasis of Breast Cancer After Treatment,Recruiting,Observational,Case-Only,4 Years,Probability Sample,No,No
Xist,XIST Gene Deletion in Breast Cancer Therapy,Unknown status,Observational,Case-Control,,Probability Sample,No,No
HERMIONE 13,Retrospective Study of 2nd-line Therapies After CDK4/6i + Hormonal Therapy in HR+/HER2- Advanced Breast Cancer,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
STANDPOINT,Study on the Value of Non-invasive Dual-Pet Information in Subtype of Metastatic Breast Cancer,Recruiting,Observational,Case-Only,,Probability Sample,No,No
NL75855.091.21,Evaluation of Contrast Enhanced Breast CT for Diagnosis and Staging of Breast Cancer,Not yet recruiting,Observational,Cohort,,Probability Sample,No,Yes
CASE5118,Assessing the Impact of the Microbiome on Breast Cancer Radiotherapy Toxicity,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
HR-HER2-RWS-01,The Efficiency for Stage II-III HR+/HER2+ Early Breast Cancer Patient With Standard Neoadjuvant Therapy in Real World.,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
01-BR-003,Guardant360® Related Clinical Outcomes in Patients Who Share Medical Records-Breast Cancer,Completed,Observational,Cohort,,Non-Probability Sample,No,No
21-528,Patient Experiences With the COVID-19 Vaccination After Breast Cancer Treatment,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
DS8201-0002-EAP-MA,EUropean Real-world Experience Of Previously Treated Advanced/Metastatic HER2-positive Breast Cancer Patients Accessing Trastuzumab Deruxtecan,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No
2020-12/898,Metabolomic Profiling of Erector Spinae Plane Block* for Breast Cancer Surgery,Completed,Observational,Cohort,,Probability Sample,No,No
CHUBX 2016/19,Adaptation of a Knowledges Exchange Portal Between (KEP) Healers and Patients : Obstacles and Sources to KEP Use for Breast Cancer Women,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
PI-0538-2017,Breast Cancer and Its Relationship With the Microbiota,"Active, not recruiting",Observational,Case-Control,,Probability Sample,No,No
21/4657,Health Technologies Readiness in Breast Cancer Patients,Completed,Observational,Cohort,,Non-Probability Sample,No,No
06-2020,Prevalence of Depression and Anxiety Among Breast Cancer Patients,Completed,Observational,Case-Only,,Non-Probability Sample,No,No
CHIR-07-Sentimag,Magseed and Magtrace Localization for Breast Cancer,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
2020-0724,"Droplet-BC Screening Test for the Detection of Breast Cancer, the DROPLET-BC Study",Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
17-PP-19,Peri-gravidic Exposure to Endocrine Disrupting Persistent Organic Pollutants,Recruiting,Observational,Case-Control,,Probability Sample,No,No
PUMCH-BREAST-ctDNA screening,Clinical Application of ctDNA in Early Screening of Breast Cancer,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
MD 177/2021,Programmed Death-Ligand1 Expression in Her-2 Positive and Triple Negative Breast Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,,
A5481177,A Study to Describe Treatment Patterns of Advanced Breast Cancer in Poland in the Real-world Data Setting,Recruiting,Observational,Cohort,,Non-Probability Sample,,
2017-KY-19,The Establishment of a Survival Prediction Model for ER Positive / HER-2 Negative Advanced Breast Cancer,Recruiting,Observational,Cohort,,Probability Sample,No,No
Radiotherapy in breast cancer,Efficacy of Capecitabine With Adjuvant Radiotherapy in Treatment of Early Stages Breast Cancer (Retrospective Study).,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
19-001004,Brain Health in Breast Cancer Survivors,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
19049,Specialist Recommendation on FBC (Familial Breast Cancer) Chemoprevention Prescribing,Completed,Observational,Other,,Probability Sample,No,No
Z211100002921033,The Detection of Cell-in-cell Structure (CICs) in Patients With Breast Cancer Undergoing Neoadjuvant Chemotherapy,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
CFDAIIUASABFDOBC,Cell Free DNA and Its Integrity Using ALU Sequences as a Biomarker for Diagnosis of Breast Cancer,Unknown status,Observational,Other,,Non-Probability Sample,No,No
Breast cancer neoadjuvant,Evaluation of the Role of Immune Checkpoints in Response to Breast Cancer Neoadjuvant Therapy,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
2020-KY-063,Prognostic Value of Biomarkers in HR + / HER2 - Advanced Breast Cancer,Unknown status,Observational,Cohort,,Probability Sample,No,No
PUMCH-BC502,Evaluation of Prognostic Monitoring for Triple Negative Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
SYSEC-KY-2018-018,Locoregional Surgery of the Primary Tumor in de Novo Stage IV Breast Cancer Patients,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
19-045,A Study of Limited Heart Monitoring During Non-anthracycline Trastuzumab-based Therapy in Breast Cancer Patients,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No
PROICM 2019-16-BCU,Evaluation of Sexual Quality of Life for Breast Cancer,Completed,Observational,Other,,Probability Sample,No,No
ISTMET-BHWGI2022-1,Preoperative Radiotherapy and Systemic Therapy Following Surgery in de Novo Metastatic Breast Cancer,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No
Cpetptmrbc,Correlation Between PET/CT Parameters and Tumor Markers in Recurrent Breast Cancer,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No
4817,Breast Cancer After Ovarian Cancer During and/or After Therapy: Genomic Evaluation,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
EEBC,Prospective Research for Elderly (≥65 Years Old) Early Breast Cancer Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
symptom of breast cancer,Trajectory Analysis of Symptom Distress and Cancer-related Fatigue After Adjuvant Chemotherapy in Breast Cancer Female,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
IEO 0761/,Next-Generation Sequencing-based Germline and Somatic Genetic Testing in Triple-negative Breast Cancer,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No
CARMA-2101,Cohort Study to Determine the Antitumor Activity of New CAR-macrophages in Breast Cancer Patients Derived Organoids,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
RWD_abemaciclib,Real-world Data in Patients With Breast Cancer Treated With Abemaciclib,Recruiting,Observational,Cohort,30 Months,Non-Probability Sample,No,No
Tiresias,To Identify Primary Resistance to CDK4/6 Inhibitors in Breast Cancer,Recruiting,Observational,Cohort,5 Years,Probability Sample,No,No
A5481125,Treatment Patterns And Clinical Outcomes Among Patients in Latin America Receiving First Line Palbociclib Combinations For HR+/HER2- Advanced/Metastatic Breast Cancer In Real World Settings.,Completed,Observational,Cohort,,Non-Probability Sample,,
20-1789.cc,Sexual Health in Breast Cancer Patients,Recruiting,Observational,Cohort,,Probability Sample,No,No
ML40952,Tw HER2 Positive Breast Cancer Productivity & Utility Study,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
19-003028,Quantitative Microvasculature Imaging for Breast Cancer Detection and Monitoring,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,Yes
V2_16-04-2020,Clip Marker Placement in Primary Lesions of Breast Cancer Patients Receiving Neoadjuvant Therapy,Recruiting,Observational,Cohort,,Probability Sample,No,No
2022106,Efficacy and Safety of Dalpiciclib in Hormone Receptor-positive Advanced Breast Cancer,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
17/0765,Enabling the Study of Metabolism in Breast Cancer Through Collection of Fresh-tissue Biopsies,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
1186,The Role of Genetic Factors in the Development of Breast Cancer in the Kazakh Population,Completed,Observational,Cohort,,Probability Sample,No,No
01-2021,"Analysis of Therapy Sequence in Women With HR+, HER2 - mBC in Moscow: A Multicenter Retrospective Observational Study.",Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
D9673R00011,Prevalence and Clinicopathologic Features of Different HER2 Level in Chinese Breast Cancer Patients,Recruiting,Observational,Cohort,,Probability Sample,No,No
APHP211593,Molecular Signature for Breast Cancer,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No
FLA 18-057,Effects of Bariatric Surgery on Breast Density Improvement and Impact on Breast Cancer Risk in Severe Obese Patients,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
HERdi PREDICT,A Study to Measure the Expression of the HER2-HER3 Dimer in Tumour and Blood (Exosomes) Samples From Patients With HER2 Positive Breast Cancer Receiving HER2 Targeted Therapies,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
IAyas2,The Validity and Reliability of FIT-HaNSA in Breast Cancer Patients,Unknown status,Observational,Case-Control,,Non-Probability Sample,No,No
A5481176,A Retrospective Non-interventional Study of Breast Cancer Patients Diagnosed With HR+/HER2- Locally Advanced or Metastatic Breast Cancer Treated With Palbociclib in Denmark,Completed,Observational,Cohort,,Non-Probability Sample,,
20210312,Personalized Evidence-based Treatment in Patients With Invasive Breast Cancer,Unknown status,Observational,Cohort,,Probability Sample,No,No
Sentinel lymph node biopsy,Oncologic Safety of Sentinel Lymph Node Biopsy in Clinically Palpable Axillary Lymph Node in Breast Cancer Patients,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No
SOC.04/20-21,Breast Screening Atypia and Subsequent Development of Cancer in England,Enrolling by invitation,Observational,Cohort,,Probability Sample,No,No
oddie2,Artificial Intelligence for breaST canceR scrEening in mAMmography (AI-STREAM),Recruiting,Observational,Cohort,,Probability Sample,No,No
FMASU R61/2020,Knowledge and Perception of Clinical Trial Participation in Breast Cancer Patients in Egypt,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No
18-109,A Study of Flibanserin in Breast Cancer Survivors on Tamoxifen or Aromatase Inhibitors,Recruiting,Observational,Cohort,,Probability Sample,No,No
BRAR1,of Androgen Receptor Expression in Breast Cancer With or Without BRCA Mutation,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
IRB16-0396,"Accurate, Rapid and Inexpensive MRI Protocol for Breast Cancer Screening",Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
Emotional security&mastectomy,Emotional Security and Quality of Life Among Breast Cancer Patient Who Have Undergo Mastectomy,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,No
A5481115,Real-world Treatment Patterns of Endocrine Based Therapy Among Patients With Hormone Receptor-positive/Human Epidermal Growth Factor Receptor-2-negative (HR+/HER2-) Advanced Breast Cancer: An Analysis of Administrative Claims Data in Japan,Recruiting,Observational,Cohort,,Non-Probability Sample,,
Breast Audit,The Characteristics and Risk Factors of Breast Cancer Patients Trend Distinctive Regional Differences: a Cross-sectional Study,Completed,Observational,Other,,Non-Probability Sample,No,No
MRI in breast cancer,Breast MRI in Evaluation of Pathologic Response in Patients With Breast Cancer With Neoadjuvent Chemotherapy,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No
20210601,Gut Microbiome Components Predict Response to Neoadjuvant Therapy in HER2-positive Breast Cancer Patients : A Prospective Study,Recruiting,Observational,Cohort,3 Years,Non-Probability Sample,No,No
IRB-2022-166,"Effect of Zoledronic Acid Treatment on Bone-related Events in Breast Cancer Patients With Bone Metastases: a Prospective, Multicenter, Real-world Study",Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No
2490,Characterization of Extracellular Vesicles in Breast Cancer Patients,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No
Cardiac safety study,Evaluation of Heart Function in Breast Cancer Patients Using Trastuzumab,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No
