ID,title,actual_duration,status,study_type,observational_study_model,target_duration,sampling_method,fda_regulated_drug,fda_regulated_device,enrollment_count
V1 11.12. 2020 (C.I.R.E.C.),Onco-liq: Kit for Breast Cancer Diagnosis.,1.9150684931506852,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,500
CLM-INS-004,PERSONAL - Sleep In Breast Cancer,0.547945205479452,Completed,Observational,Cohort,,Probability Sample,No,No,226
miRNA in breast cancer,Aberrant Expression of Micro RNA for Diagnosis of Breast Cancer,2.0657534246575344,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,50
MC1933,Development of Patient Derived Xenografts (PDX) in Patients With Breast Cancer,21.019178082191782,Recruiting,Observational,Case-Only,,Probability Sample,No,No,100
RADIOVAL,Clinical Validation of Radiomics Artificial Intelligence: Application to Breast Cancer Treatment Planning,2.504109589041096,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,5000
CE21096B,Factors Affecting Rehabilitation Time for Postoperative Complications Among Breast Cancer Patients,2.0000000000000004,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,300
MicroRNA in breast cancer,Diagnostic and Prognostic Value of MicroRNA in Breast Cancer Patients,2.0027397260273974,Not yet recruiting,Observational,Case-Control,,Probability Sample,No,No,50
GEICAM/2016-04,Study on the Progress of Breast Cancer Cases in Males and the Assessment of Relapse Risk,6.301369863013699,"Active, not recruiting",Observational,Case-Only,,Probability Sample,No,No,777
BMIBC,Impact of Body Mass Index on Outcomes of Breast Cancer Management,1.4958904109589042,Unknown status,Observational,Case-Control,,Probability Sample,No,No,300
3.0840453,Phenotype and Prognosis of Patients With Breast Cancer and Pathogenic Variants of TP53,3.2273972602739724,Completed,Observational,Case-Control,,Probability Sample,No,No,135
HKG-KZ-BrCa-101,"Detection of Breast Cancer With Non-invasive Method Based on DNA Methylation of Circulated Tumor DNA, PBMC",3.254794520547945,Terminated,Observational,Case-Control,,Non-Probability Sample,No,No,165
Hibiscuss,"Breast Cancer Detection in Breast Surgical Specimens With the Histolog Scanner, Slide-free Confocal Microscope",2.5178082191780824,Completed,Observational,Other,,Probability Sample,No,No,181
Pro00107118,A Pilot Study of a Micro-Organosphere Drug Screen Platform to Lead Care in Advanced Breast Cancer,2.4876712328767123,Recruiting,Observational,Cohort,1 Year,Probability Sample,No,No,15
SNAPS Breast Cancer,SNAPS Breast Cancer Patient Study Breast Cancer Patients,2.3315068493150686,Suspended,Observational,Case-Control,,Probability Sample,No,No,500
ZCHBC022,Dynamic Contrast-enhanced MRI Combined With IVIM-DWI for Early Prediction of Chemosensitivity in Liver MBC,3.2904109589041095,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,40
R.18.02.34.R1.R2,Association of Hepatitis C Virus With Breast Cancer,0.7506849315068493,Completed,Observational,Case-Control,,Non-Probability Sample,No,No,650
112991,Hybrid PET/MR Imaging of Acute Cardiac Inflammation After Left-Sided Breast Cancer Radiotherapy,3.0,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,15
TET-21-001,Identification of Breast Cancer Specific Markers in Patients Compared to Healthy Participants,1.9917808219178084,Recruiting,Observational,Case-Control,,Probability Sample,No,No,60
3055,Correlation of Predictive Accuracy of PREDICT Version 2.2 of Indian Women With Operable Breast Cancer,4.1287671232876715,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No,2780
Breast Cancer Risk,Breast Cancer Risk From Sonographic Glandular Tissue Component (or International GTC Study),7.167123287671233,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,16164
VGHKS18-CT11-17,CEDM as a Screening Tool for Breast Cancer in Higher-risk Women: A Prospective Study,3.0,Completed,Observational,Cohort,,Non-Probability Sample,No,No,351
832165,Imaging of Primary or Recurrent Breast Cancer With 18F-FluorThanatrace PET/CT,7.978082191780823,Recruiting,Observational,Case-Only,,Non-Probability Sample,Yes,No,50
ICO-2019-08,Interest of Touch-massage in Hospital Day Care,0.5972602739726027,Completed,Observational,Cohort,,Non-Probability Sample,No,No,36
biomarkers in breast cancer,Circular RNA and Chemerin in Breast Cancer Patient,2.16986301369863,Not yet recruiting,Observational,Case-Control,,Probability Sample,No,No,80
GEICAM/2017-07,Registry Study of Pregnancy and Breast Cancer,20.134246575342466,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,1000
LCCC2207,"Evaluation of the Acceptability, Appropriateness, and Feasibility/Usability of a Metastatic Breast-cancer Specific Prognostic Calculator Among Clinicians",3.0027397260273974,Recruiting,Observational,Ecologic or Community,,Non-Probability Sample,No,No,15
MCC-21448,Study of Screening Brain MRIs in Stage IV Breast Cancer,1.6931506849315068,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,100
2017-0588,Implementation of a Web-based Decision Aid for Breast Cancer Surgery,1.106849315068493,Completed,Observational,Cohort,,Non-Probability Sample,No,No,11
UPCC 19121,Role of the Immune Environment in Response to Therapy in Breast Cancer,10.252054794520548,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,300
21-480,A Formative Evaluation For Improving Breast Cancer Hormone Receptor Testing in Tanzania,0.0821917808219178,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,70
LQ005,Predicted Biomarkers of CDK4/6 Inhibitors (Palbociclib) in ER-positive Metastasis Breast Cancer,3.128767123287671,Unknown status,Observational,Cohort,,Probability Sample,Yes,No,100
2021LC2210,Remote Breast Cancer Screening Study,3.9178082191780828,Recruiting,Observational,Case-Only,,Probability Sample,No,No,30000
17-581,Understanding Barriers to Initiation and Adherence to Endocrine Therapy in Young Breast Cancer Survivors of Diverse Backgrounds,0.4684931506849315,Completed,Observational,Other,,Probability Sample,No,No,17
NCC3299,Construction and Validation of an Assessment Model of PCR After NAT on Breast Cancer Patients With AI Technology,0.7506849315068493,Recruiting,Observational,Other,,Non-Probability Sample,No,No,1821
ESR-21-21505,The Treatment Situation of Chinese County Population With Breast Cancer,1.9260273972602742,Recruiting,Observational,Other,,Probability Sample,No,No,2500
LUMHS/REC/-17,Association of Tumour Grade and Sex Steroid Receptor as a Prognostic Index in Breast Cancer,0.5424657534246575,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,382
2014P002688a,Promoting Earlier Detection of Breast Cancer in Rwanda: Scaleup in the National Health Care System,1.7315068493150685,Completed,Observational,Cohort,,Non-Probability Sample,No,No,17379
ODELIA,A Retrospective Analysis of Magnetic Resonance Imaging Data for Breast Cancer Screening in the Open Consortium for Decentralized Medical Artificial Intelligence,5.0,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No,25000
2018-TJ-BCP,SEMA4C as a Relapse Biomarker in Breast Cancer,3.9178082191780828,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No,4200
2017-03-002A,PET/MR Radiomics for Breast Cancer Diagnosis,4.49041095890411,Recruiting,Observational,Cohort,40 Weeks,Non-Probability Sample,No,No,120
1905795920,Breast Cancer Self-Efficacy Scale for Partners,2.4986301369863013,Terminated,Observational,Cohort,,Non-Probability Sample,No,No,25
4-2018-0254,Brain Monitoring for High Risk of Brain Metastases in Metastatic Breast Cancer,4.671232876712328,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,200
CDK-HeCOG-2019,Clinical Outcome and Toxicity Data in Patients With Advanced Breast Cancer Treated With CDK Inhibitors Combined With Endocrine Therapy,2.0054794520547947,Completed,Observational,Cohort,,Non-Probability Sample,No,No,340
2020-0327,Comparison of MRI With PET / CT in the Evaluation of Response to Neoadjuvant Therapy Based on the Molecular Subtypes of Breast Cancer,2.5835616438356164,Completed,Observational,Cohort,,Non-Probability Sample,No,No,88
SH ABCD,Autoantibodies in Breast Cancer Detection,10.282191780821918,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No,1550
1905202-3,ScreenIng of Genetic Susceptibility Genes for Breast Cancer Patients in CHinese communiTies,4.002739726027397,Recruiting,Observational,Case-Only,,Probability Sample,No,No,5000
2022-8048-23560,Frequency of Occult Breast Cancer After Prophylactic Mastectomy Among High-Penetrance Breast Cancer Gene Positives,0.24109589041095894,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,26
GFY202001,Study of Prediction of Ovarian Reserve in Yong Breast Cancer Patients Treated With Chemotherapy,3.495890410958904,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,200
2019-A01861-56,Correlation Between TILs and Blood Cell Counts in Triple Negative Breast Cancer Patients,7.830136986301371,Recruiting,Observational,Cohort,,Probability Sample,No,No,90
18-634,Elevate! : An Elderly Breast Cancer Cohort Study,9.706849315068494,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,250
20 KHCC 202,Universal Genetic Testing Versus Guidelines-Directed Testing for Germline Pathogenic Variants Among Non-Western Patients With Breast Cancer,2.249315068493151,Recruiting,Observational,Cohort,,Probability Sample,No,No,1000
IRB # 21-0026,Tear Based Sample Collection Breast Cancer Detection,4.3863013698630136,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No,50
IRB00002991,Implementation of Online Adaptive Radiotherapy for Breast Cancer Patients on Ethos (BREAST-ART),2.2246575342465755,Recruiting,Observational,Cohort,,Probability Sample,No,No,50
ESR-17-12934,Study Estimating Association Between Germline Mutations and PD-L1 Expression in Breast Cancer,1.4958904109589042,Unknown status,Observational,Case-Control,,Probability Sample,No,No,390
LCCC 1954,Patient-centered Communication About Healthy Weight in Early Breast Cancer,0.29041095890410956,Completed,Observational,Cohort,,Probability Sample,No,No,39
69HCL22_0613,Effect of Physical Activity in Patients With Breast Cancer.,0.4191780821917808,Withdrawn,Observational,Cohort,,Non-Probability Sample,No,No,0
LCCC2213,Metastatic Breast Cancer-Specific Prognostic Tool,2.0328767123287674,Recruiting,Observational,Ecologic or Community,,Non-Probability Sample,No,No,30
FMASUMD232/2021,Circulating microRNA 21 Expression Level Before and After Neoadjuvant Systemic Therapy in Breast Carcinoma,2.0849315068493155,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,40
Breast immune checkpoint,Relationship Between Breast Cancer Subtypes and Immune Checkpoints,0.6246575342465753,Completed,Observational,Case-Control,2 Weeks,Non-Probability Sample,No,No,60
CentroHLO_EFBreastCancer,Evaluating and Following Breast Cancer Patients in a Better Way,1.5863013698630137,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,200
elastography in breast cancer,Shear Wave Elastography Assessment of Neoadjuvant Chemotherapy Response in Patients With Invasive Breast Cancer,1.2465753424657535,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,35
2018-177-IMP-EXP-4,Tumor-Infiltrating Lymphocytes and Programmed Cell Death - Ligand 1 in Breast Cancer,3.6986301369863015,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,1000
PROICM 2020-01 OST,Evaluation of the Prevalence of Pelvic Static Disorders in Women With Localized Breast Cancer,0.7972602739726027,Completed,Observational,Cohort,,Probability Sample,No,No,246
18-281,Prospective Study of the Prosigna Assay on Neoadjuvant Clinical Decision-making in Women With HR+/Her2- Breast Cancer,4.868493150684931,Recruiting,Observational,Other,,Probability Sample,No,No,60
2021-A02676-35,Establishment of an ex Vivo Tumor Collection of Triple-negative Breast Cancers in Order to Validate the Interest of Innovative Therapies and the Search for Predictive Biomarkers of Response to Treatment,3.8958904109589048,Recruiting,Observational,Cohort,,Probability Sample,No,No,163
84434789,Looking At Triple Negative Breast Cancer Patient Experience Patterns in Medical Trials,2.0000000000000004,Not yet recruiting,Observational,Case-Crossover,,Probability Sample,No,No,500
2021-004,Acute Effects of Chemotherapy Administration on Skeletal Muscle of Breast Cancer Patients: the PROTECT-06 Study,0.8986301369863013,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,20
CBS-PIK3CA,Validation of Molecular Diagnostic Assays to Detect Cancer Biomarkers in Blood & Primary Tumor in ER+/HER2- MBC,3.6684931506849314,"Active, not recruiting",Observational,Other,,Probability Sample,No,No,120
ARNA Breast 2021,"In Vitro Study of the Liquid Biopsy Test System of the Diagnostic Value, in Women With Various Forms of Breast Cancer",0.6136986301369863,Unknown status,Observational,Case-Control,,Probability Sample,No,No,500
SNP-17-001,Clinical Implementation of a Polygenic Risk Score (PRS) for Breast Cancer,2.1424657534246574,Completed,Observational,Cohort,,Probability Sample,No,No,118
69HCL18_0769,Awareness About Breast Cancer Screening,0.038356164383561646,Completed,Observational,Ecologic or Community,,Non-Probability Sample,No,No,2264
2394,Predictive Model of Axillary Nodal Status After Neoadjuvant Chemotherapy in Breast Cancer Patients,3.991780821917809,"Active, not recruiting",Observational,Cohort,,Probability Sample,No,No,1950
18-461,Decisions of Young Women With Breast Cancer Regarding Fertility Preservation Before Cancer Treatment and Family Building After Treatment,4.956164383561644,"Active, not recruiting",Observational,Case-Only,,Non-Probability Sample,No,No,209
2020-KY-064,Efficacy and Safety of Eribulin in the Treatment of Advanced Breast Cancer,3.0821917808219177,Recruiting,Observational,Cohort,,Probability Sample,No,No,80
3049,Evaluating Breast Cancer Patients Modesty During Radiotherapy. A Multicentric Study,2.3205479452054796,Completed,Observational,Cohort,,Non-Probability Sample,No,No,537
82944089,Discovering Factors in Metastatic Breast Cancer Patients Clinical Trial Experiences,2.0027397260273974,Not yet recruiting,Observational,Case-Crossover,,Probability Sample,No,No,500
NewGiza University Protocol 1,The Association of Hormonal Intake and Demographic Factors With Breast Cancer Risk. An Egyptian Case-controlled Study,0.3698630136986301,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,Yes,No,200
CASE5118,Assessing the Impact of the Microbiome on Breast Cancer Radiotherapy Toxicity,4.701369863013698,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,50
3/19,Multidisciplinary Approach to Breast Cancer Through the Study of Altered Transcriptomic and Immune Accompanied by the Identification of Extractable Markers From the Radiodiagnostic Bioimaging,4.000000000000001,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,1000
19-003085,"GENetic Risk Estimation of Breast Cancer Prior to Decisions on Preventive Therapy Uptake, Risk Reducing Surgery or Intensive Imaging Surveillance",5.210958904109589,Enrolling by invitation,Observational,Cohort,,Non-Probability Sample,No,No,900
Protocol EMIT-1,Establishment of Molecular Profiling for Individual Clinical Routine Treatment Decision in Early Breast Cancer,25.18904109589041,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No,2298
17/09/621_Myosin VI,Nuclear Myosin VI - a Therapeutic Target in Breast Cancer,1.5780821917808219,Unknown status,Observational,Other,,Non-Probability Sample,No,No,120
2017/1356,Adjuvant Endocrine Therapy in Early Stage Breast Cancer: Adherence and Clinical Outcome,1.6684931506849314,Completed,Observational,Case-Only,,Non-Probability Sample,No,No,1411
IC 2016-07,"FErtility, PrEgnancy, contRaceptIon After Breast Cancer in France",2.9835616438356163,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,1004
left breast cancer,Cardiac Toxicity of Hypo Fractionated Radiotherapy in Left Breast Cancer,1.5945205479452054,Not yet recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,45
180212-1,IORT Following Breast Conserving Surgery for Early Stage Breast Cancer Registry,10.005479452054795,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No,168
CTRP6 in Breast Cancer,The Role of C1q Tumor Necrosis Factor-related Protein 6 in Breast Cancer,1.9150684931506852,Unknown status,Observational,Case-Control,,Probability Sample,No,No,102
CESM in breast cancer,Accuracy Of Contrast Enhanced Mamography in Predicting Response of Breast Cancer Post Neoadjuvant Chemotherapy,2.0849315068493155,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No,50
SOLTI-1903,Real World Study Using Comprehensive Genomic Data on the Next Treatment Decision Making in Metastatic Breast Cancer,3.778082191780822,"Active, not recruiting",Observational,Other,,Probability Sample,No,No,600
Vitamin D in breast cancer,Prognostic Value of Vitamin D Levels in Egyptian Females With Breast Cancer,3.0027397260273974,Unknown status,Observational,Case-Only,,Non-Probability Sample,No,No,222
19HLSEIN02,Modifications of Immune Microenvironment Induced by Neoadjuvant Chemotherapy in Triple-negative BC,0.6301369863013698,Completed,Observational,Cohort,,Probability Sample,No,No,100
KY20192114-C-1,Sentinel Lymph Node Biopsy in Early Breast Cancer: a Real-world Multicenter Cross-sectional Study (CABS001 Study),2.419178082191781,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,21000
2019.089,Using Imaging Data and Genomic Data to Predict Metastasis of Breast Cancer After Treatment,3.750684931506849,Recruiting,Observational,Case-Only,4 Years,Probability Sample,No,No,400
Xist,XIST Gene Deletion in Breast Cancer Therapy,2.0000000000000004,Unknown status,Observational,Case-Control,,Probability Sample,No,No,1
HERMIONE 13,Retrospective Study of 2nd-line Therapies After CDK4/6i + Hormonal Therapy in HR+/HER2- Advanced Breast Cancer,2.0164383561643837,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,150
STANDPOINT,Study on the Value of Non-invasive Dual-Pet Information in Subtype of Metastatic Breast Cancer,2.0000000000000004,Recruiting,Observational,Case-Only,,Probability Sample,No,No,50
NL75855.091.21,Evaluation of Contrast Enhanced Breast CT for Diagnosis and Staging of Breast Cancer,3.0027397260273974,Not yet recruiting,Observational,Cohort,,Probability Sample,No,Yes,413
HR-HER2-RWS-01,The Efficiency for Stage II-III HR+/HER2+ Early Breast Cancer Patient With Standard Neoadjuvant Therapy in Real World.,4.419178082191781,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,200
01-BR-003,Guardant360® Related Clinical Outcomes in Patients Who Share Medical Records-Breast Cancer,1.7068493150684931,Completed,Observational,Cohort,,Non-Probability Sample,No,No,109
21-528,Patient Experiences With the COVID-19 Vaccination After Breast Cancer Treatment,2.56986301369863,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No,670
DS8201-0002-EAP-MA,EUropean Real-world Experience Of Previously Treated Advanced/Metastatic HER2-positive Breast Cancer Patients Accessing Trastuzumab Deruxtecan,0.3863013698630137,Recruiting,Observational,Cohort,,Non-Probability Sample,Yes,No,200
2020-12/898,Metabolomic Profiling of Erector Spinae Plane Block* for Breast Cancer Surgery,0.663013698630137,Completed,Observational,Cohort,,Probability Sample,No,No,91
CHUBX 2016/19,Adaptation of a Knowledges Exchange Portal Between (KEP) Healers and Patients : Obstacles and Sources to KEP Use for Breast Cancer Women,1.2547945205479452,Completed,Observational,Case-Only,,Non-Probability Sample,No,No,35
PI-0538-2017,Breast Cancer and Its Relationship With the Microbiota,5.0,"Active, not recruiting",Observational,Case-Control,,Probability Sample,No,No,150
21/4657,Health Technologies Readiness in Breast Cancer Patients,0.5013698630136987,Completed,Observational,Cohort,,Non-Probability Sample,No,No,100
06-2020,Prevalence of Depression and Anxiety Among Breast Cancer Patients,0.8136986301369863,Completed,Observational,Case-Only,,Non-Probability Sample,No,No,162
CHIR-07-Sentimag,Magseed and Magtrace Localization for Breast Cancer,3.66027397260274,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,70
2020-0724,"Droplet-BC Screening Test for the Detection of Breast Cancer, the DROPLET-BC Study",2.158904109589041,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,1200
17-PP-19,Peri-gravidic Exposure to Endocrine Disrupting Persistent Organic Pollutants,2.589041095890411,Recruiting,Observational,Case-Control,,Probability Sample,No,No,320
PUMCH-BREAST-ctDNA screening,Clinical Application of ctDNA in Early Screening of Breast Cancer,2.0027397260273974,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,300
MD 177/2021,Programmed Death-Ligand1 Expression in Her-2 Positive and Triple Negative Breast Cancer,1.0000000000000002,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,,,80
A5481177,A Study to Describe Treatment Patterns of Advanced Breast Cancer in Poland in the Real-world Data Setting,1.0273972602739727,Recruiting,Observational,Cohort,,Non-Probability Sample,,,500
2017-KY-19,The Establishment of a Survival Prediction Model for ER Positive / HER-2 Negative Advanced Breast Cancer,5.002739726027397,Recruiting,Observational,Cohort,,Probability Sample,No,No,288
Radiotherapy in breast cancer,Efficacy of Capecitabine With Adjuvant Radiotherapy in Treatment of Early Stages Breast Cancer (Retrospective Study).,0.0,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,47
19-001004,Brain Health in Breast Cancer Survivors,5.013698630136986,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,No,120
19049,Specialist Recommendation on FBC (Familial Breast Cancer) Chemoprevention Prescribing,0.4438356164383562,Completed,Observational,Other,,Probability Sample,No,No,50
Z211100002921033,The Detection of Cell-in-cell Structure (CICs) in Patients With Breast Cancer Undergoing Neoadjuvant Chemotherapy,3.0027397260273974,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,175
CFDAIIUASABFDOBC,Cell Free DNA and Its Integrity Using ALU Sequences as a Biomarker for Diagnosis of Breast Cancer,2.0027397260273974,Unknown status,Observational,Other,,Non-Probability Sample,No,No,116
Breast cancer neoadjuvant,Evaluation of the Role of Immune Checkpoints in Response to Breast Cancer Neoadjuvant Therapy,0.8383561643835616,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,45
2020-KY-063,Prognostic Value of Biomarkers in HR + / HER2 - Advanced Breast Cancer,2.0000000000000004,Unknown status,Observational,Cohort,,Probability Sample,No,No,200
PUMCH-BC502,Evaluation of Prognostic Monitoring for Triple Negative Breast Cancer Patients,5.854794520547945,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,200
APHP211593,Molecular Signature for Breast Cancer,0.7534246575342466,Not yet recruiting,Observational,Other,,Non-Probability Sample,No,No,220
2540,Extracellular Vesicles in Breast Cancer Patientsin Undergone Neoadjuvant Chemotherapy,6.616438356164384,Recruiting,Observational,Case-Control,,Probability Sample,No,No,35
SYSEC-KY-2018-018,Locoregional Surgery of the Primary Tumor in de Novo Stage IV Breast Cancer Patients,1.9123287671232878,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,358
19-045,A Study of Limited Heart Monitoring During Non-anthracycline Trastuzumab-based Therapy in Breast Cancer Patients,4.947945205479452,"Active, not recruiting",Observational,Cohort,,Non-Probability Sample,No,No,194
PROICM 2019-16-BCU,Evaluation of Sexual Quality of Life for Breast Cancer,0.4712328767123288,Completed,Observational,Other,,Probability Sample,No,No,45
ISTMET-BHWGI2022-1,Preoperative Radiotherapy and Systemic Therapy Following Surgery in de Novo Metastatic Breast Cancer,6.087671232876712,Recruiting,Observational,Cohort,5 Years,Non-Probability Sample,No,No,40
4817,Breast Cancer After Ovarian Cancer During and/or After Therapy: Genomic Evaluation,1.252054794520548,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,10
Cpetptmrbc,Correlation Between PET/CT Parameters and Tumor Markers in Recurrent Breast Cancer,1.5808219178082192,Not yet recruiting,Observational,Cohort,,Probability Sample,No,No,72
EEBC,Prospective Research for Elderly (≥65 Years Old) Early Breast Cancer Patients,3.671232876712329,Recruiting,Observational,Cohort,,Non-Probability Sample,No,No,1000
symptom of breast cancer,Trajectory Analysis of Symptom Distress and Cancer-related Fatigue After Adjuvant Chemotherapy in Breast Cancer Female,3.175342465753425,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,120
IEO 0761/,Next-Generation Sequencing-based Germline and Somatic Genetic Testing in Triple-negative Breast Cancer,4.586301369863014,Recruiting,Observational,Case-Only,,Non-Probability Sample,No,No,264
CARMA-2101,Cohort Study to Determine the Antitumor Activity of New CAR-macrophages in Breast Cancer Patients Derived Organoids,2.0000000000000004,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,100
RWD_abemaciclib,Real-world Data in Patients With Breast Cancer Treated With Abemaciclib,3.1561643835616437,Recruiting,Observational,Cohort,30 Months,Non-Probability Sample,No,No,108
Tiresias,To Identify Primary Resistance to CDK4/6 Inhibitors in Breast Cancer,5.002739726027397,Recruiting,Observational,Cohort,5 Years,Probability Sample,No,No,150
A5481125,Treatment Patterns And Clinical Outcomes Among Patients in Latin America Receiving First Line Palbociclib Combinations For HR+/HER2- Advanced/Metastatic Breast Cancer In Real World Settings.,1.8273972602739725,Completed,Observational,Cohort,,Non-Probability Sample,,,847
20-1789.cc,Sexual Health in Breast Cancer Patients,4.002739726027397,Recruiting,Observational,Cohort,,Probability Sample,No,No,100
ML40952,Tw HER2 Positive Breast Cancer Productivity & Utility Study,1.0191780821917809,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,300
19-003028,Quantitative Microvasculature Imaging for Breast Cancer Detection and Monitoring,9.252054794520548,Recruiting,Observational,Case-Control,,Non-Probability Sample,No,Yes,400
V2_16-04-2020,Clip Marker Placement in Primary Lesions of Breast Cancer Patients Receiving Neoadjuvant Therapy,2.632876712328767,Recruiting,Observational,Cohort,,Probability Sample,No,No,400
2022106,Efficacy and Safety of Dalpiciclib in Hormone Receptor-positive Advanced Breast Cancer,4.101369863013699,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,420
17/0765,Enabling the Study of Metabolism in Breast Cancer Through Collection of Fresh-tissue Biopsies,7.917808219178083,Not yet recruiting,Observational,Cohort,,Non-Probability Sample,No,No,240
1186,The Role of Genetic Factors in the Development of Breast Cancer in the Kazakh Population,0.810958904109589,Completed,Observational,Cohort,,Probability Sample,No,No,700
01-2021,"Analysis of Therapy Sequence in Women With HR+, HER2 - mBC in Moscow: A Multicenter Retrospective Observational Study.",0.915068493150685,Unknown status,Observational,Cohort,,Non-Probability Sample,No,No,1000
