ID,Title,Start_Date,Completion_Date,Actual_Duration,Status,Study_Type
UMCC 2021.087,Avoiding Low-value Treatments in Older Women With Early-stage Breast Cancer: Piloting a Patient Decision Aid,2022-05-12,2023-05-01,354 days,Recruiting,Interventional
LNs Staging of Breast cancer,Role of Ultrasound-Guided Lymph Node Biopsy in Axillary Staging of Breast Cancer.,2018-10-01,2021-12-01,1157 days,Unknown status,Interventional
SA18i0002,The Effect of a Patient Decision Aids for Breast Cancer Screening,2021-07-01,2022-10-31,487 days,Recruiting,Interventional
494936,Clinical Pilot Study for Personalized Risk-based Breast Cancer Screening,2023-02-01,2035-11-11,4666 days,Recruiting,Interventional
042210,Investigating the Metabolic Pathways in Hormone Receptor Positive/HER2 Negative Breast Cancer,2023-06-15,2028-06-30,1842 days,Not yet recruiting,Interventional
Yuan Shifang-1,Detection of Circulating Tumor Cells in Breast Cancer Patients Using a Novel Microfluidic and Raman Spectrum Device,2020-01-01,2022-12-01,1065 days,Unknown status,Observational
(818)109A-57,Mobile Application Support for Women With Breast Cancer Undergoing Chemotherapy,2021-05-16,2023-12-31,959 days,Recruiting,Interventional
21 SEIN 01,Circulating Cancer Cells/Macrophage HYbrid Cells in Patients With Breast Cancer.,2021-03-31,2022-07-29,485 days,Completed,Interventional
18-181,Exploring the Efficacy and Feasibility of the LymphaTech Scanner for Breast Cancer-Related Lymphedema Screening,2019-01-30,2026-05-30,2677 days,Recruiting,Interventional
catheter guided chemo-infusion,Catheter Guided Chemo-infusion in Breast Cancer,2023-04-01,2025-05-01,761 days,Not yet recruiting,Interventional
2020/132,Nurse Navigation Program Based On Health Belief Model In Breast Cancer Screening (NaHeB-CaS),2021-06-01,2022-02-01,245 days,Completed,Interventional
17-689,Contrast Enhanced Spectral Mammography vs. MRI for Breast Cancer Screening,2018-05-17,2023-08-30,1931 days,"Active, not recruiting",Interventional
831804,[18F] F-GLN by PET/CT in Breast Cancer,2019-04-05,2024-12-01,2067 days,Recruiting,Interventional
PI-2842,Study for the Knowledge of Risk Factors Associated With Breast Cancer in Women,2018-07-01,2019-12-31,548 days,Completed,Observational
NCC2985,Characteristics and Treatment Trends of Young Breast Cancer in China,2021-11-01,2024-10-01,1065 days,Not yet recruiting,Observational
260281,Sodium (23Na) MRI for Tumour Characterisation and Assessment of Therapy Response in Breast Cancer,2020-08-13,2025-12-31,1966 days,Recruiting,Observational
V1 11.12. 2020 (C.I.R.E.C.),Onco-liq: Kit for Breast Cancer Diagnosis.,2021-09-01,2023-08-01,699 days,Recruiting,Observational
154/2019,Short and Long Term Effects of a Physical Therapy Program After Breast Cancer Surgery,2019-12-02,2024-02-25,1546 days,Suspended,Interventional
Amr Ahmed,"The Study of Quadruple Therapy Quercetin, Zinc, Metformin, and EGCG as Adjuvant Therapy for Early, Metastatic Breast Cancer and Triple-negative Breast Cancer, a Novel Mechanism",2023-01-01,2024-01-31,395 days,Not yet recruiting,Interventional
CLM-INS-004,PERSONAL - Sleep In Breast Cancer,2022-01-15,2022-08-03,200 days,Completed,Observational
2022-11-076-002,Comparison of Ultrasound and Breast MRI for Breast Cancer Detection,2023-05-28,2028-05-28,1827 days,Not yet recruiting,Interventional
Health Literacy of Breast Ca,The Effect of Breast Cancer Screening Training,2023-02-15,2023-12-30,318 days,Not yet recruiting,Interventional
miRNA in breast cancer,Aberrant Expression of Micro RNA for Diagnosis of Breast Cancer,2021-12-01,2023-12-25,754 days,Not yet recruiting,Observational
MC1933,Development of Patient Derived Xenografts (PDX) in Patients With Breast Cancer,2021-01-13,2042-01-15,7672 days,Recruiting,Observational
RADIOVAL,Clinical Validation of Radiomics Artificial Intelligence: Application to Breast Cancer Treatment Planning,2023-06-01,2025-12-01,914 days,Recruiting,Observational
CE21096B,Factors Affecting Rehabilitation Time for Postoperative Complications Among Breast Cancer Patients,2021-05-01,2023-05-01,730 days,Recruiting,Observational
ZY(2018-2020)-CCCX-2005-04,Evaluating the Clinical Value of Traditional Chinese Medicine in the Adjuvant Therapy of Triple-negative Breast Cancer,2020-05-25,2024-05-31,1467 days,Recruiting,Interventional
MicroRNA in breast cancer,Diagnostic and Prognostic Value of MicroRNA in Breast Cancer Patients,2022-03-01,2024-03-01,731 days,Not yet recruiting,Observational
GEICAM/2016-04,Study on the Progress of Breast Cancer Cases in Males and the Assessment of Relapse Risk,2018-09-14,2024-12-31,2300 days,"Active, not recruiting",Observational
22IC7498,Behavioural Science Messages in Breast Cancer Screening,2022-07-15,2023-01-15,184 days,Completed,Interventional
BMIBC,Impact of Body Mass Index on Outcomes of Breast Cancer Management,2018-02-12,2019-08-12,546 days,Unknown status,Observational
3.0840453,Phenotype and Prognosis of Patients With Breast Cancer and Pathogenic Variants of TP53,2018-12-02,2022-02-22,1178 days,Completed,Observational
18 SEIN 11,"Prospective, Multicentric Study Evaluating the Surgical Treatment by Mastectomy With Immediate Prosthetic Breast Reconstruction in Patients With Breast Cancer and Receiving Adjuvant Therapy by TomoTherapy +/-Chemotherapy.",2019-06-07,2025-12-01,2369 days,Recruiting,Interventional
HKG-KZ-BrCa-101,"Detection of Breast Cancer With Non-invasive Method Based on DNA Methylation of Circulated Tumor DNA, PBMC",2018-06-01,2021-09-01,1188 days,Terminated,Observational
Hibiscuss,"Breast Cancer Detection in Breast Surgical Specimens With the Histolog Scanner, Slide-free Confocal Microscope",2019-06-26,2021-12-31,919 days,Completed,Observational
Pro00107118,A Pilot Study of a Micro-Organosphere Drug Screen Platform to Lead Care in Advanced Breast Cancer,2022-04-07,2024-10-01,908 days,Recruiting,Observational
SNAPS Breast Cancer,SNAPS Breast Cancer Patient Study Breast Cancer Patients,2024-09-01,2026-12-31,851 days,Suspended,Observational
17-447,Imaging With [11C]Martinostat in Breast Cancer,2020-02-01,2024-10-31,1734 days,Withdrawn,Interventional
22-509,Breast Cancer Survivor Educational Intervention,2023-02-28,2023-08-31,184 days,Recruiting,Interventional
ZCHBC022,Dynamic Contrast-enhanced MRI Combined With IVIM-DWI for Early Prediction of Chemosensitivity in Liver MBC,2022-09-16,2025-12-30,1201 days,Recruiting,Observational
R.18.02.34.R1.R2,Association of Hepatitis C Virus With Breast Cancer,2019-09-01,2020-06-01,274 days,Completed,Observational
ID-BCRPS-02-20220913,The Perspective of Healthy Individuals on Breast Cancer Risk Prediction Report In The Indonesian Population,2022-09-14,2022-12-31,108 days,Recruiting,Interventional
112991,Hybrid PET/MR Imaging of Acute Cardiac Inflammation After Left-Sided Breast Cancer Radiotherapy,2019-01-01,2021-12-31,1095 days,Unknown status,Observational
17-01549,Gradient-Echo Spectroscopic Imaging Study of Saturated Fat and Breast Cancer,2018-07-23,2025-01-23,2376 days,Recruiting,Interventional
TET-21-001,Identification of Breast Cancer Specific Markers in Patients Compared to Healthy Participants,2021-10-04,2023-10-01,727 days,Recruiting,Observational
202101073,Project Insight: Feasibility of a Breast Cancer Screening Decision Support Tool,2021-04-19,2021-08-30,133 days,Completed,Interventional
"estPerMed 1, Breast",Personalised Risk-based Breast Cancer Prevention and Screening,2018-10-01,2020-12-01,792 days,Unknown status,Interventional
68824072019,Risk Reduction Program for Women Having High Risk of Breast Cancer,2018-04-01,2021-09-01,1249 days,Completed,Interventional
3055,Correlation of Predictive Accuracy of PREDICT Version 2.2 of Indian Women With Operable Breast Cancer,2018-11-15,2022-12-31,1507 days,"Active, not recruiting",Observational
20220303swj0211,The Psychology Intervention on Disease Acceptance and Quality of Life in Breast Cancer Patients,2022-10-20,2024-10-20,731 days,Not yet recruiting,Interventional
RC20_0532,Breast Cancer Screening Uptake: a Randomized Controlled Trial Assessing the Effect of a Decisional Aid,2023-01-01,2025-01-01,731 days,Not yet recruiting,Interventional
Breast Cancer Risk,Breast Cancer Risk From Sonographic Glandular Tissue Component (or International GTC Study),2022-11-01,2029-12-30,2616 days,Recruiting,Observational
KMUHIRB-E(I)-20200041,"Develop and Evaluate the Effectiveness of a Self-Care Smartphone Application on the Self-Efficacy, and Resilience Among Newly Diagnosed Breast Cancer Patients Undergoing Treatment",2020-09-18,2022-08-15,696 days,Completed,Interventional
VGHKS18-CT11-17,CEDM as a Screening Tool for Breast Cancer in Higher-risk Women: A Prospective Study,2019-01-01,2021-12-31,1095 days,Completed,Observational
832165,Imaging of Primary or Recurrent Breast Cancer With 18F-FluorThanatrace PET/CT,2019-02-11,2027-02-01,2912 days,Recruiting,Observational
ICO-2019-08,Interest of Touch-massage in Hospital Day Care,2019-10-07,2020-05-12,218 days,Completed,Observational
biomarkers in breast cancer,Circular RNA and Chemerin in Breast Cancer Patient,2023-10-01,2025-12-01,792 days,Not yet recruiting,Observational
GEICAM/2017-07,Registry Study of Pregnancy and Breast Cancer,2019-11-18,2040-01-01,7349 days,Recruiting,Observational
LCCC2207,"Evaluation of the Acceptability, Appropriateness, and Feasibility/Usability of a Metastatic Breast-cancer Specific Prognostic Calculator Among Clinicians",2022-07-15,2025-07-15,1096 days,Recruiting,Observational
4452,Development of a Horizontal Data Integration Classifier for Noninvasive Early Diagnosis of Breast Cancer,2021-01-19,2024-12-01,1412 days,"Active, not recruiting",Interventional
MCC-21448,Study of Screening Brain MRIs in Stage IV Breast Cancer,2021-12-21,2023-08-31,618 days,Recruiting,Observational
2017-0588,Implementation of a Web-based Decision Aid for Breast Cancer Surgery,2019-04-04,2020-05-12,404 days,Completed,Observational
SK-421-BRCA,A Digital Solution for Breast Cancer Patients,2022-07-15,2023-09-01,413 days,Recruiting,Interventional
autotaxin1,Autotaxin: a Potential Biomarker for Breast Cancer.,2019-01-01,2021-03-15,804 days,Completed,Interventional
UPCC 19121,Role of the Immune Environment in Response to Therapy in Breast Cancer,2022-10-03,2032-12-31,3742 days,Recruiting,Observational
DS8201-A-U302,"DS-8201a Versus T-DM1 for Human Epidermal Growth Factor Receptor 2 (HER2)-Positive, Unresectable and/or Metastatic Breast Cancer Previously Treated With Trastuzumab and Taxane [DESTINY-Breast03]",2018-08-09,2024-04-01,2062 days,"Active, not recruiting",Interventional
CCR 5113,PIONEER Study of Lifestyle Intervention to Reduced Breast Cancer Risk,2020-09-16,2023-12-01,1171 days,"Active, not recruiting",Interventional
21-480,A Formative Evaluation For Improving Breast Cancer Hormone Receptor Testing in Tanzania,2023-04-01,2023-05-01,30 days,Not yet recruiting,Observational
LQ005,Predicted Biomarkers of CDK4/6 Inhibitors (Palbociclib) in ER-positive Metastasis Breast Cancer,2019-02-14,2022-04-01,1142 days,Unknown status,Observational
ICO-N-2017-02,Sentinel Lymph Node Procedure in Ipsilateral Invasive Breast Cancer Relapse,2018-05-29,2020-12-03,919 days,Terminated,Interventional
medicin,Autotaxin (ATX) as a Marker for Breast Cancer,2021-05-01,2022-11-01,549 days,Unknown status,Interventional
METCZ20200211,Magnetic Tracer in the Sentinel Node Procedure in Breast Cancer: the Non-radioactive Alternative for Radio-isotopes,2021-08-01,2022-02-09,192 days,Completed,Interventional
2021LC2210,Remote Breast Cancer Screening Study,2021-09-01,2025-08-01,1430 days,Recruiting,Observational
17-581,Understanding Barriers to Initiation and Adherence to Endocrine Therapy in Young Breast Cancer Survivors of Diverse Backgrounds,2018-03-09,2018-08-27,171 days,Completed,Observational
2020-A00058-31,Interest of Broadband Spectroscopy Analysis by Infrared Laser on Liquid Biopsies in Breast Cancer Screening,2021-05-31,2027-05-01,2161 days,Recruiting,Interventional
NCC3299,Construction and Validation of an Assessment Model of PCR After NAT on Breast Cancer Patients With AI Technology,2022-04-01,2022-12-31,274 days,Recruiting,Observational
351-19,mULM to Support Breast Cancer Diagnosis and Therapy,2021-04-26,2023-12-01,949 days,Recruiting,Interventional
ESR-21-21505,The Treatment Situation of Chinese County Population With Breast Cancer,2022-09-29,2024-09-01,703 days,Recruiting,Observational
LUMHS/REC/-17,Association of Tumour Grade and Sex Steroid Receptor as a Prognostic Index in Breast Cancer,2020-07-01,2021-01-15,198 days,Unknown status,Observational
PekingUPH10B004,Neoadjuvant Therapy Study Guided by Drug Screening in Vitro for Human Epidermal Growth Factor Receptor 2 (HER2) Negative Early Breast Cancer Patients,2021-04-02,2026-12-31,2099 days,Recruiting,Interventional
2014P002688a,Promoting Earlier Detection of Breast Cancer in Rwanda: Scaleup in the National Health Care System,2020-07-01,2022-03-25,632 days,Completed,Observational
ODELIA,A Retrospective Analysis of Magnetic Resonance Imaging Data for Breast Cancer Screening in the Open Consortium for Decentralized Medical Artificial Intelligence,2023-01-01,2027-12-31,1825 days,"Active, not recruiting",Observational
CD3-MUC1 in breast cancer,Study of Activated Cytokine-induced Killer Armed With Bispecific Antibody for Advanced Breast Cancer,2019-05-20,2020-07-05,412 days,Withdrawn,Interventional
LCCC 1829,Harnessing Analysis RNA Expression and Molecular Subtype to Optimize Novel TherapY MBCA,2018-11-06,2030-12-15,4422 days,Recruiting,Interventional
2022-080,"Pyrotinib Combined With Trastuzumab,Dalpiciclib and Letrozole for HR+/HER2+ Breast Cancer",2022-08-04,2025-07-30,1091 days,Recruiting,Interventional
2018-TJ-BCP,SEMA4C as a Relapse Biomarker in Breast Cancer,2022-09-01,2026-08-01,1430 days,Not yet recruiting,Observational
20218,A Pilot Study of the Combination of Entinostat With Capecitabine in High Risk Breast Cancer After Neo-adjuvant Therapy,2019-01-29,2022-11-01,1372 days,Completed,Interventional
2017-03-002A,PET/MR Radiomics for Breast Cancer Diagnosis,2018-07-06,2022-12-31,1639 days,Recruiting,Observational
LA LEAST,Limited Adjuvant Endocrine Therapy for Low Risk Breast Cancer,2019-09-23,2029-05-01,3508 days,Recruiting,Interventional
1905795920,Breast Cancer Self-Efficacy Scale for Partners,2019-09-01,2022-03-01,912 days,Terminated,Observational
2015-004027-31,HERPET- A Novel PET Imaging Study of HER2 in Breast Cancer,2019-03-08,2023-12-31,1759 days,Recruiting,Interventional
4-2018-0254,Brain Monitoring for High Risk of Brain Metastases in Metastatic Breast Cancer,2018-10-02,2023-06-03,1705 days,Recruiting,Observational
BREACE,Exercise in Older Women With Breast Cancer During Systemic Therapy,2018-11-15,2023-12-01,1842 days,Recruiting,Interventional
495077,18F-FDG PET/CT Imaging for Breast Cancer,2023-02-16,2032-12-31,3606 days,Recruiting,Interventional
CCR4684,"Crizotinib in Lobular Breast, Diffuse Gastric and Triple Negative Lobular Breast Cancer or CDH1-mutated Solid Tumours",2019-05-09,2024-07-01,1880 days,Recruiting,Interventional
211753,BRAVE Strategy - Breast Cancer Risk Assessment -achieVing Equity,2022-03-09,2024-08-01,876 days,Recruiting,Interventional
1705018188,Dedicated Breast PET/MRI in Evaluation of Extent of Disease in Women With Newly Diagnosed Breast Cancer,2018-03-15,2022-03-04,1450 days,Terminated,Interventional
22-136,"A Study of an Alternative Treatment Approach (Preoperative Radiotherapy, Then Mastectomy, Then Immediate Reconstruction Surgery) in People With T4 Breast Cancer",2022-06-06,2025-06-06,1096 days,Recruiting,Interventional
CDK-HeCOG-2019,Clinical Outcome and Toxicity Data in Patients With Advanced Breast Cancer Treated With CDK Inhibitors Combined With Endocrine Therapy,2019-01-01,2021-01-02,732 days,Completed,Observational
2020-0327,Comparison of MRI With PET / CT in the Evaluation of Response to Neoadjuvant Therapy Based on the Molecular Subtypes of Breast Cancer,2018-01-01,2020-08-01,943 days,Completed,Observational
RECO_CT29B,Investigation of Urinary Biomarkers for the Detection of Breast Cancer,2022-12-21,2024-04-01,467 days,Recruiting,Interventional
SH ABCD,Autoantibodies in Breast Cancer Detection,2018-07-24,2028-11-01,3753 days,Recruiting,Observational
D8531C00002,A Study of Camizestrant in ER+/HER2- Early Breast Cancer After at Least 2 Years of Standard Adjuvant Endocrine Therapy,2023-03-31,2036-05-29,4808 days,Recruiting,Interventional
SOLTI-1910,Predicting Olaparib Sensitivity in Patients With Unresectable Locally Advanced/Metastatic HER2-negative Breast Cancer.,2022-03-25,2024-06-01,799 days,Recruiting,Interventional
1905202-3,ScreenIng of Genetic Susceptibility Genes for Breast Cancer Patients in CHinese communiTies,2019-07-01,2023-07-01,1461 days,Recruiting,Observational
Targeted axillary dissection,Evaluation of Targeted Axillary Lymph Node Dissection in Node Positive Breast Cancer Patients Post Neo Adjuvant Therapy,2023-12-01,2025-08-01,609 days,Not yet recruiting,Interventional
2021-0215,BRE-04: Window of Opportunity Trial of Preoperative Low Dose Azacitidine in High-Risk Early Stage Breast Cancer,2022-01-10,2024-05-01,842 days,Recruiting,Interventional
2022-8048-23560,Frequency of Occult Breast Cancer After Prophylactic Mastectomy Among High-Penetrance Breast Cancer Gene Positives,2023-01-01,2023-03-30,88 days,Recruiting,Observational
GFY202001,Study of Prediction of Ovarian Reserve in Yong Breast Cancer Patients Treated With Chemotherapy,2020-01-01,2023-06-30,1276 days,Recruiting,Observational
2019-A01861-56,Correlation Between TILs and Blood Cell Counts in Triple Negative Breast Cancer Patients,2019-12-04,2027-10-01,2858 days,Recruiting,Observational
18-634,Elevate! : An Elderly Breast Cancer Cohort Study,2019-02-19,2028-11-01,3543 days,Recruiting,Observational
20 KHCC 202,Universal Genetic Testing Versus Guidelines-Directed Testing for Germline Pathogenic Variants Among Non-Western Patients With Breast Cancer,2021-04-01,2023-07-01,821 days,Recruiting,Observational
IRB # 21-0026,Tear Based Sample Collection Breast Cancer Detection,2021-04-28,2025-09-15,1601 days,"Active, not recruiting",Observational
IRB00002991,Implementation of Online Adaptive Radiotherapy for Breast Cancer Patients on Ethos (BREAST-ART),2021-12-10,2024-03-01,812 days,Recruiting,Observational
17-398,Feasibility of an Individualized Goals of Care Discussion Guide for Advanced Breast Cancer,2018-01-22,2019-04-29,462 days,Completed,Interventional
ESR-17-12934,Study Estimating Association Between Germline Mutations and PD-L1 Expression in Breast Cancer,2018-01-01,2019-07-01,546 days,Unknown status,Observational
LCCC 1954,Patient-centered Communication About Healthy Weight in Early Breast Cancer,2020-06-15,2020-09-29,106 days,Completed,Observational
69HCL22_0613,Effect of Physical Activity in Patients With Breast Cancer.,2022-09-01,2023-02-01,153 days,Withdrawn,Observational
LCCC2213,Metastatic Breast Cancer-Specific Prognostic Tool,2022-09-20,2024-10-01,742 days,Recruiting,Observational
IC 2018-01,Isolation of Volatile Organic Compounds (VOCs) Related to the Olfactory Signature of Breast Cancer,2018-07-25,2020-09-20,788 days,Completed,Interventional
IC 2020 08,Isolation of Volatile Organic Compounds (VOCs) Related to the Olfactory Signature of Breast Cancer.,2021-01-25,2021-12-20,329 days,Completed,Interventional
PI17/00834,Assessment of Feasibility and Acceptability of Personalized Breast Cancer Screening,2019-01-30,2021-12-31,1066 days,Completed,Interventional
PekingUMCH-FAPI-BC-1,Characterizing Breast Cancer With 68Ga-FAPI PET/CT,2021-05-01,2023-12-31,974 days,Recruiting,Interventional
PekingUMCH-FAPI-BC-2,Characterizing Breast Cancer With Al18F-NOTA-FAPI-04 PET/CT,2022-05-10,2023-06-30,416 days,Recruiting,Interventional
FMASUMD232/2021,Circulating microRNA 21 Expression Level Before and After Neoadjuvant Systemic Therapy in Breast Carcinoma,2021-12-01,2024-01-01,761 days,Not yet recruiting,Observational
Breast immune checkpoint,Relationship Between Breast Cancer Subtypes and Immune Checkpoints,2022-05-01,2022-12-15,228 days,Completed,Observational
IRB00283392,Messaging Strategies to Reduce Breast Cancer Over-screening in Older Women,2023-07-01,2023-12-31,183 days,Not yet recruiting,Interventional
IRB17-0721,Study of Pembrolizumab and Mifepristone in Patients With Advanced HER2-negative Breast Cancer,2018-02-12,2022-09-01,1662 days,"Active, not recruiting",Interventional
180034,ONC201 in Recurrent/Refractory Metastatic Breast Cancer and Advanced Endometrial Carcinoma,2018-01-17,2021-10-07,1359 days,Completed,Interventional
BCL IDE,Breast Cancer Locator Guided vs. Wire Localized Partial Mastectomy for Breast Cancer,2020-12-23,2023-07-01,920 days,Recruiting,Interventional
REO 027,A Window-of-opportunity Study of Pelareorep in Early Breast Cancer,2019-03-29,2022-04-20,1118 days,Terminated,Interventional
CentroHLO_EFBreastCancer,Evaluating and Following Breast Cancer Patients in a Better Way,2019-06-01,2020-12-31,579 days,Unknown status,Observational
elastography in breast cancer,Shear Wave Elastography Assessment of Neoadjuvant Chemotherapy Response in Patients With Invasive Breast Cancer,2021-12-01,2023-03-01,455 days,Not yet recruiting,Observational
2018-177-IMP-EXP-4,Tumor-Infiltrating Lymphocytes and Programmed Cell Death - Ligand 1 in Breast Cancer,2019-01-19,2022-09-30,1350 days,Recruiting,Observational
V3-MOMMO-01,Open Label Immunotherapy Trial for Breast Cancer,2018-07-01,2019-12-31,548 days,Unknown status,Interventional
PROICM 2020-01 OST,Evaluation of the Prevalence of Pelvic Static Disorders in Women With Localized Breast Cancer,2020-09-18,2021-07-06,291 days,Completed,Observational
077-2019,Novel MRI-Guided Ultrasound Stimulated Microbubble Radiation Treatment for Patients With Chest-wall and Locally-Advanced Breast Cancer,2020-07-31,2024-06-30,1430 days,Recruiting,Interventional
18-281,Prospective Study of the Prosigna Assay on Neoadjuvant Clinical Decision-making in Women With HR+/Her2- Breast Cancer,2019-03-21,2024-01-31,1777 days,Recruiting,Observational
2021-A02676-35,Establishment of an ex Vivo Tumor Collection of Triple-negative Breast Cancers in Order to Validate the Interest of Innovative Therapies and the Search for Predictive Biomarkers of Response to Treatment,2023-01-09,2026-12-01,1422 days,Recruiting,Observational
84434789,Looking At Triple Negative Breast Cancer Patient Experience Patterns in Medical Trials,2024-04-01,2026-04-01,730 days,Not yet recruiting,Observational
2021-004,Acute Effects of Chemotherapy Administration on Skeletal Muscle of Breast Cancer Patients: the PROTECT-06 Study,2021-11-04,2022-09-28,328 days,Recruiting,Observational
CBS-PIK3CA,Validation of Molecular Diagnostic Assays to Detect Cancer Biomarkers in Blood & Primary Tumor in ER+/HER2- MBC,2019-10-11,2023-06-11,1339 days,"Active, not recruiting",Observational
Juçara Phd Thesis,Emotional Evaluation and Reconstructed Breast Satisfaction,2019-07-01,2022-02-28,973 days,Unknown status,Interventional
18 SEIN 08,The Use of FES-PET Imaging as a Tool to Detect a Possible Reversion of Estrogen Receptor (ER)-α Status in Patients With Metastatic Breast Cancer HER2 + and ERα Neg Treated With Trastuzumab + Pertuzumab + Taxane.,2020-08-28,2021-07-09,315 days,Terminated,Interventional
ARNA Breast 2021,"In Vitro Study of the Liquid Biopsy Test System of the Diagnostic Value, in Women With Various Forms of Breast Cancer",2021-05-21,2021-12-31,224 days,Unknown status,Observational
SNP-17-001,Clinical Implementation of a Polygenic Risk Score (PRS) for Breast Cancer,2018-09-21,2020-11-11,782 days,Completed,Observational
2021-012,Efficacity of Deep Inspiration Breath Hold and Intensity-modulated Radiotherapy in Preventing PErfusion Defect for Left Sided Breast Cancer (EDIPE),2022-10-27,2024-10-27,731 days,Recruiting,Interventional
69HCL18_0769,Awareness About Breast Cancer Screening,2019-01-24,2019-02-07,14 days,Completed,Observational
2394,Predictive Model of Axillary Nodal Status After Neoadjuvant Chemotherapy in Breast Cancer Patients,2020-02-04,2024-01-31,1457 days,"Active, not recruiting",Observational
CASE12119,Effectiveness of AI Genetic Counseling Program vs In-person Genetic Counseling in Breast Cancer,2021-06-29,2024-06-01,1068 days,Recruiting,Interventional
18-124,ATOP TRIAL: T-DM1 in HER2 Positive Breast Cancer,2018-08-22,2029-08-30,4026 days,"Active, not recruiting",Interventional
18-461,Decisions of Young Women With Breast Cancer Regarding Fertility Preservation Before Cancer Treatment and Family Building After Treatment,2019-01-18,2024-01-01,1809 days,"Active, not recruiting",Observational
2020-KY-064,Efficacy and Safety of Eribulin in the Treatment of Advanced Breast Cancer,2020-12-01,2023-12-31,1125 days,Recruiting,Observational
3049,Evaluating Breast Cancer Patients Modesty During Radiotherapy. A Multicentric Study,2020-06-03,2022-09-28,847 days,Completed,Observational
EFC16133,"Study of Amcenestrant (SAR439859) Versus Tamoxifen for Patients With Hormone Receptor-positive (HR+) Early Breast Cancer, Who Have Discontinued Adjuvant Aromatase Inhibitor Therapy Due to Treatment-related Toxicity",2022-02-17,2022-10-13,238 days,Terminated,Interventional
CLEE011O12001,Phase IIIb Study of Ribociclib + ET in Early Breast Cancer,2023-09-29,2030-06-28,2464 days,Not yet recruiting,Interventional
82944089,Discovering Factors in Metastatic Breast Cancer Patients Clinical Trial Experiences,2023-03-25,2025-03-25,731 days,Not yet recruiting,Observational
NewGiza University Protocol 1,The Association of Hormonal Intake and Demographic Factors With Breast Cancer Risk. An Egyptian Case-controlled Study,2021-11-16,2022-03-31,135 days,Not yet recruiting,Observational
s66248,Identifying Prognostic Variables for Persistent Upper Limb Dysfunctions After Breast Cancer Treatment,2022-04-26,2025-02-01,1012 days,Recruiting,Interventional
964635,The Benefit of Surgery in Stage IV of Breast Cancer,2020-11-20,2021-12-20,395 days,Unknown status,Interventional
3/19,Multidisciplinary Approach to Breast Cancer Through the Study of Altered Transcriptomic and Immune Accompanied by the Identification of Extractable Markers From the Radiodiagnostic Bioimaging,2019-05-29,2023-05-28,1460 days,Recruiting,Observational
SCCC-11118; STU-2018-0015,Letrozole in Post-Menopausal Patients With Operable Hormone-Sensitive Breast Cancer,2018-11-27,2024-11-30,2195 days,"Active, not recruiting",Interventional
2019402,Supportive Effects of Craniosacral Therapy for Female Patients With Breast Cancer and Their Partners,2023-05-01,2024-12-01,580 days,Not yet recruiting,Interventional
19-003085,"GENetic Risk Estimation of Breast Cancer Prior to Decisions on Preventive Therapy Uptake, Risk Reducing Surgery or Intensive Imaging Surveillance",2019-10-17,2024-12-31,1902 days,Enrolling by invitation,Observational
RADIO-SLEEP,Sleep Disorders Prior to and During a Course of Radiotherapy for Breast Cancer,2021-06-01,2022-06-30,394 days,Not yet recruiting,Interventional
