ID,Study_Type,Arm_Group_Type,Intervention_Type,Interventional_Study_Model,Observational_Study_Model,Target_Duration,Sampling_Method,Phase
2018-TJ-BCP,Observational,,Other,,Other,,Non-Probability Sample,
20218,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
2017-03-002A,Observational,,Radiation,,Cohort,40 Weeks,Non-Probability Sample,
LA LEAST,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
1905795920,Observational,,,,Cohort,,Non-Probability Sample,
2015-004027-31,Interventional,Other,Radiation,Parallel Assignment,,,,Not Applicable
4-2018-0254,Observational,,Procedure,,Cohort,,Non-Probability Sample,
BREACE,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
495077,Interventional,Other,Other,Parallel Assignment,,,,Not Applicable
CCR4684,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 2
211753,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
1705018188,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
22-136,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Phase 1
CDK-HeCOG-2019,Observational,,,,Cohort,,Non-Probability Sample,
2020-0327,Observational,,Drug,,Cohort,,Non-Probability Sample,
RECO_CT29B,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
SH ABCD,Observational,,Other,,Cohort,5 Years,Non-Probability Sample,
D8531C00002,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
SOLTI-1910,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
1905202-3,Observational,,,,Case-Only,,Probability Sample,
Targeted axillary dissection,Interventional,Experimental,Procedure,Single Group Assignment,,,,Phase 4
2021-0215,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2022-8048-23560,Observational,,Procedure,,Case-Only,,Non-Probability Sample,
GFY202001,Observational,,,,Cohort,,Non-Probability Sample,
2019-A01861-56,Observational,,Other,,Cohort,,Probability Sample,
18-634,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
20 KHCC 202,Observational,,,,Cohort,,Probability Sample,
IRB # 21-0026,Observational,,Other,,Cohort,,Non-Probability Sample,
IRB00002991,Observational,,Radiation,,Cohort,,Probability Sample,
17-398,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
ESR-17-12934,Observational,,Diagnostic Test,,Case-Control,,Probability Sample,
LCCC 1954,Observational,,Other,,Cohort,,Probability Sample,
69HCL22_0613,Observational,,Other,,Cohort,,Non-Probability Sample,
LCCC2213,Observational,,Behavioral,,Ecologic or Community,,Non-Probability Sample,
IC 2018-01,Interventional,Experimental,Diagnostic Test,Sequential Assignment,,,,Not Applicable
IC 2020 08,Interventional,Experimental,Diagnostic Test,Sequential Assignment,,,,Not Applicable
PI17/00834,Interventional,,Other,Single Group Assignment,,,,Not Applicable
PekingUMCH-FAPI-BC-1,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
PekingUMCH-FAPI-BC-2,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
FMASUMD232/2021,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
Breast immune checkpoint,Observational,,Diagnostic Test,,Case-Control,2 Weeks,Non-Probability Sample,
IRB00283392,Interventional,No Intervention,Other,Parallel Assignment,,,,Not Applicable
IRB17-0721,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
180034,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
BCL IDE,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
REO 027,Interventional,Experimental,Biological,Parallel Assignment,,,,Early Phase 1
CentroHLO_EFBreastCancer,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
elastography in breast cancer,Observational,,Device,,Cohort,,Non-Probability Sample,
2018-177-IMP-EXP-4,Observational,,Other,,Case-Control,,Non-Probability Sample,
V3-MOMMO-01,Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 2
PROICM 2020-01 OST,Observational,,Other,,Cohort,,Probability Sample,
077-2019,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 1
18-281,Observational,,Other,,Other,,Probability Sample,
2021-A02676-35,Observational,,Other,,Cohort,,Probability Sample,
84434789,Observational,,,,Case-Crossover,,Probability Sample,
2021-004,Observational,,Drug,,Cohort,,Non-Probability Sample,
CBS-PIK3CA,Observational,,Diagnostic Test,,Other,,Probability Sample,
Juçara Phd Thesis,Interventional,Experimental,Diagnostic Test,Parallel Assignment,,,,Not Applicable
18 SEIN 08,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
ARNA Breast 2021,Observational,,Diagnostic Test,,Case-Control,,Probability Sample,
SNP-17-001,Observational,,,,Cohort,,Probability Sample,
2021-012,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
69HCL18_0769,Observational,,Other,,Ecologic or Community,,Non-Probability Sample,
2394,Observational,,,,Cohort,,Probability Sample,
CASE12119,Interventional,Experimental,Genetic,Parallel Assignment,,,,Not Applicable
18-124,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
18-461,Observational,,Behavioral,,Case-Only,,Non-Probability Sample,
2020-KY-064,Observational,,Drug,,Cohort,,Probability Sample,
3049,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
EFC16133,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
CLEE011O12001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 3
82944089,Observational,,,,Case-Crossover,,Probability Sample,
NewGiza University Protocol 1,Observational,,Drug,,Case-Control,,Non-Probability Sample,
s66248,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
964635,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
3/19,Observational,,Other,,Cohort,,Non-Probability Sample,
SCCC-11118; STU-2018-0015,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2019402,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
19-003085,Observational,,Genetic,,Cohort,,Non-Probability Sample,
RADIO-SLEEP,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
Protocol EMIT-1,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
17/09/621_Myosin VI,Observational,,Other,,Other,,Non-Probability Sample,
2017/1356,Observational,,,,Case-Only,,Non-Probability Sample,
IC 2016-07,Observational,,Other,,Cohort,,Non-Probability Sample,
left breast cancer,Observational,,,,Case-Control,,Non-Probability Sample,
180212-1,Observational,,Radiation,,Cohort,5 Years,Non-Probability Sample,
19-001,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
CTRP6 in Breast Cancer,Observational,,Other,,Case-Control,,Probability Sample,
CESM in breast cancer,Observational,,,,Cohort,,Probability Sample,
UCaenNormandie,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
SOLTI-1903,Observational,,Other,,Other,,Probability Sample,
Vitamin D in breast cancer,Observational,,Diagnostic Test,,Case-Only,,Non-Probability Sample,
17-552,Interventional,Active Comparator,Device,Parallel Assignment,,,,Not Applicable
CCR5348,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
19HLSEIN02,Observational,,Other,,Cohort,,Probability Sample,
STUDY00011606,Interventional,Experimental,Other,Factorial Assignment,,,,Not Applicable
03/21,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
AHQU-2021007,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
D8530C00003,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
2019-05-157,Interventional,Other,Diagnostic Test,Sequential Assignment,,,,Not Applicable
200056,Interventional,Experimental,Biological,Sequential Assignment,,,,Phase 1
182-20-CA,Interventional,Experimental,Diagnostic Test,Parallel Assignment,,,,Phase 2
Shengjing-LCG008,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
NeoRadUKD,Interventional,Experimental,Radiation,Parallel Assignment,,,,Phase 3
KY20192114-C-1,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
STUDY19060359,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
2019.089,Observational,,,,Case-Only,4 Years,Probability Sample,
Xist,Observational,,Genetic,,Case-Control,,Probability Sample,
UEM0002,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
004181,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
HERMIONE 13,Observational,,,,Case-Only,,Non-Probability Sample,
STANDPOINT,Observational,,Procedure,,Case-Only,,Probability Sample,
NL75855.091.21,Observational,,Device,,Cohort,,Probability Sample,
CASE5118,Observational,,Other,,Cohort,,Non-Probability Sample,
21 SEIN 09,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
CINEICC-3-IAT,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
Bakircay University,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
HR-HER2-RWS-01,Observational,,Drug,,Cohort,,Non-Probability Sample,
01-BR-003,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
21149002,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
21-528,Observational,,Other,,Cohort,,Non-Probability Sample,
DS8201-0002-EAP-MA,Observational,,Drug,,Cohort,,Non-Probability Sample,
AAAU1629,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
BC-NEO-IIT-SHR1316-SHR6390-RT,Interventional,Experimental,Drug,Parallel Assignment,,,,Not Applicable
2020-12/898,Observational,,Drug,,Cohort,,Probability Sample,
CHUBX 2016/19,Observational,,Other,,Case-Only,,Non-Probability Sample,
IRB202100182 -N,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
PI-0538-2017,Observational,,,,Case-Control,,Probability Sample,
21/4657,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
2019-KY-001-003,Interventional,Experimental,Drug,Sequential Assignment,,,,"Phase 1, Phase 2"
AbantIBU,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
121K686,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
06-2020,Observational,,,,Case-Only,,Non-Probability Sample,
NADOPTIC,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
CHIR-07-Sentimag,Observational,,Procedure,,Case-Only,,Non-Probability Sample,
Pro00020917,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
Breast Cancer,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
BSU,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
URomLS Prot.0930/2021Rif. 6528,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
SOLTI-1716,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
2020-0724,Observational,,Procedure,,Case-Control,,Non-Probability Sample,
LCCC 1749,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
GIMI-IRB-20005,Interventional,Experimental,Biological,Single Group Assignment,,,,"Phase 1, Phase 2"
202302017,Interventional,Experimental,Device,Parallel Assignment,,,,Not Applicable
17-PP-19,Observational,,Other,,Case-Control,,Probability Sample,
2015-4-6-003,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
FIRST,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
PUMCH-BREAST-ctDNA screening,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
147/19,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
STUDY00001641,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
PetrovRIO,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
MD 177/2021,Observational,,,,Cohort,,Non-Probability Sample,
A5481177,Observational,,,,Cohort,,Non-Probability Sample,
2017-KY-19,Observational,,Other,,Cohort,,Probability Sample,
Radiotherapy in breast cancer,Observational,,Radiation,,Cohort,,Non-Probability Sample,
19-001004,Observational,,,,Case-Control,,Non-Probability Sample,
19049,Observational,,Other,,Other,,Probability Sample,
Z211100002921033,Observational,,Drug,,Cohort,,Non-Probability Sample,
CFDAIIUASABFDOBC,Observational,,Diagnostic Test,,Other,,Non-Probability Sample,
Breast cancer neoadjuvant,Observational,,Diagnostic Test,,Case-Only,,Non-Probability Sample,
wanghaibo,Interventional,Experimental,Biological,Single Group Assignment,,,,Early Phase 1
2020-KY-063,Observational,,,,Cohort,,Probability Sample,
PUMCH-BC502,Observational,,,,Cohort,,Non-Probability Sample,
852-20,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
2020[84],Interventional,Experimental,Drug,Parallel Assignment,,,,Early Phase 1
SYSEC-KY-2018-018,Observational,,Procedure,,Cohort,,Non-Probability Sample,
19-045,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
PROICM 2019-16-BCU,Observational,,Other,,Other,,Probability Sample,
IBCSG 59-19,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
33293720.9.0000.5505,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
199080,Interventional,Experimental,Diagnostic Test,Parallel Assignment,,,,Not Applicable
SLN SPECT,Interventional,Active Comparator,Device,Sequential Assignment,,,,Not Applicable
SOLTI-1907,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
SDS-HER-01-2018,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
APHP211502,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
ISTMET-BHWGI2022-1,Observational,,Radiation,,Cohort,5 Years,Non-Probability Sample,
SCHBCC-N024,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
4817,Observational,,Genetic,,Cohort,,Non-Probability Sample,
Cpetptmrbc,Observational,,Diagnostic Test,,Cohort,,Probability Sample,
EEBC,Observational,,Procedure,,Cohort,,Non-Probability Sample,
symptom of breast cancer,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
IEO 0761/,Observational,,,,Case-Only,,Non-Probability Sample,
CELC-G-301,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 3
CARMA-2101,Observational,,,,Cohort,,Non-Probability Sample,
RWD_abemaciclib,Observational,,,,Cohort,30 Months,Non-Probability Sample,
Tiresias,Observational,,Diagnostic Test,,Cohort,5 Years,Probability Sample,
A5481125,Observational,,,,Cohort,,Non-Probability Sample,
20-1789.cc,Observational,,Behavioral,,Cohort,,Probability Sample,
ML40952,Observational,,,,Cohort,,Non-Probability Sample,
DBCG Proton trial,Interventional,Active Comparator,Radiation,Parallel Assignment,,,,Not Applicable
OOTR-N016/KBCRN-B-003/HT-PAB,Interventional,Active Comparator,Drug,Parallel Assignment,,,,Phase 3
710/2021,Interventional,Experimental,Other,Parallel Assignment,,,,Not Applicable
19-003028,Observational,,Procedure,,Case-Control,,Non-Probability Sample,
KL166-IIS-001,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
V2_16-04-2020,Observational,,Device,,Cohort,,Probability Sample,
N19ASC,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
SNBvsPET/MRI 2,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Not Applicable
dingxwyh01,Interventional,Experimental,Drug,Single Group Assignment,,,,Not Applicable
SNUH_FMI,Interventional,Other,Genetic,Single Group Assignment,,,,Not Applicable
2022/0035986,Interventional,Other,Other,Single Group Assignment,,,,Not Applicable
RF-2013-02358165,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
18-516,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
2022106,Observational,,Drug,,Cohort,,Non-Probability Sample,
19-147,Interventional,Experimental,Diagnostic Test,Single Group Assignment,,,,Phase 1
dingxwyh02,Interventional,Experimental,Drug,Single Group Assignment,,,,Not Applicable
19 SEIN 14,Interventional,Experimental,Other,Single Group Assignment,,,,Not Applicable
AURORA,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
17/0765,Observational,,Procedure,,Cohort,,Non-Probability Sample,
BR02/03/21,Interventional,Experimental,Device,Sequential Assignment,,,,Phase 1
2018-9529,Interventional,Other,Device,Parallel Assignment,,,,Not Applicable
1186,Observational,,Genetic,,Cohort,,Probability Sample,
REaCT-HER TIME,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 4
01-2021,Observational,,Drug,,Cohort,,Non-Probability Sample,
D9673R00011,Observational,,,,Cohort,,Probability Sample,
SOLTI-1911,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
APHP211593,Observational,,Other,,Other,,Non-Probability Sample,
IC 2018-08,Interventional,Experimental,Genetic,Single Group Assignment,,,,Not Applicable
AHQU-2021006,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
2540,Observational,,,,Case-Control,,Probability Sample,
FLA 18-057,Observational,,Procedure,,Cohort,,Non-Probability Sample,
V2011201,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
HERdi PREDICT,Observational,,Other,,Cohort,,Non-Probability Sample,
HCB-ONC001 (ML41519),Interventional,Experimental,Biological,Single Group Assignment,,,,Phase 2
IRB-300002157,Interventional,Experimental,Radiation,Single Group Assignment,,,,Not Applicable
IAyas2,Observational,,,,Case-Control,,Non-Probability Sample,
A5481176,Observational,,,,Cohort,,Non-Probability Sample,
Shengjing-LCG009,Interventional,Experimental,Drug,Single Group Assignment,,,,Phase 2
OTT-19-06,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
20210312,Observational,,Drug,,Cohort,,Probability Sample,
FAST feasibility in CU,Interventional,Experimental,Radiation,Single Group Assignment,,,,Phase 2
Sentinel lymph node biopsy,Observational,,Procedure,,Cohort,,Non-Probability Sample,
BC001,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
SOC.04/20-21,Observational,,Other,,Cohort,,Probability Sample,
UT BCS ECS Study,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
oddie2,Observational,,Device,,Cohort,,Probability Sample,
FMASU R61/2020,Observational,,Behavioral,,Cohort,,Non-Probability Sample,
18-109,Observational,,Drug,,Cohort,,Probability Sample,
19-509,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
19-277,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
UW 20-064,Interventional,Experimental,Device,Single Group Assignment,,,,Not Applicable
UC-0105/1701,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 2
20-1039,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
BRAR1,Observational,,Diagnostic Test,,Case-Control,,Non-Probability Sample,
18-1025,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
IRB16-0396,Observational,,Diagnostic Test,,Cohort,,Non-Probability Sample,
09.2019.984,Interventional,Experimental,Combination Product,Single Group Assignment,,,,Not Applicable
O4M-B001,Interventional,Other,Device,Single Group Assignment,,,,Not Applicable
TaiHao TVGH2020-07-006AC#1,Interventional,Other,Diagnostic Test,Single Group Assignment,,,,Not Applicable
STGKS001,Interventional,Active Comparator,Diagnostic Test,Single Group Assignment,,,,Not Applicable
19-086,Interventional,Experimental,Drug,Parallel Assignment,,,,Phase 1
CNER 202107/05,Interventional,Experimental,Behavioral,Single Group Assignment,,,,Not Applicable
Optimune Trial,Interventional,Experimental,Behavioral,Parallel Assignment,,,,Not Applicable
1808019498,Interventional,Active Comparator,Radiation,Parallel Assignment,,,,Phase 2
Emotional security&mastectomy,Observational,,,,Case-Only,,Non-Probability Sample,
HYGEE,Interventional,No Intervention,Device,Parallel Assignment,,,,Not Applicable
A5481115,Observational,,,,Cohort,,Non-Probability Sample,
Breast Audit,Observational,,,,Other,,Non-Probability Sample,
STU-2018-0370,Interventional,Experimental,Procedure,Single Group Assignment,,,,Not Applicable
MRI in breast cancer,Observational,,Device,,Other,,Non-Probability Sample,
Prix Ruban Rose/2021/FF-01,Interventional,Active Comparator,Other,Parallel Assignment,,,,Not Applicable
FUSCC-OMIT,Interventional,Experimental,Procedure,Parallel Assignment,,,,Not Applicable
