ID,title,actual_duration,status,study_type,fda_regulated_drug,fda_regulated_device,responsible_party,enrollment_count
SA18i0002,The Effect of a Patient Decision Aids for Breast Cancer Screening,1.3342465753424657,Recruiting,Interventional,No,No,Sponsor,3269
494936,Clinical Pilot Study for Personalized Risk-based Breast Cancer Screening,12.783561643835617,Recruiting,Interventional,No,No,Sponsor,80
042210,Investigating the Metabolic Pathways in Hormone Receptor Positive/HER2 Negative Breast Cancer,5.046575342465753,Not yet recruiting,Interventional,Yes,No,Principal Investigator,16
Yuan Shifang-1,Detection of Circulating Tumor Cells in Breast Cancer Patients Using a Novel Microfluidic and Raman Spectrum Device,2.9178082191780823,Unknown status,Observational,No,No,Principal Investigator,120
(818)109A-57,Mobile Application Support for Women With Breast Cancer Undergoing Chemotherapy,2.627397260273973,Recruiting,Interventional,No,No,Sponsor,70
21 SEIN 01,Circulating Cancer Cells/Macrophage HYbrid Cells in Patients With Breast Cancer.,1.3287671232876712,Completed,Interventional,No,No,Sponsor,61
18-181,Exploring the Efficacy and Feasibility of the LymphaTech Scanner for Breast Cancer-Related Lymphedema Screening,7.3342465753424655,Recruiting,Interventional,No,No,Principal Investigator,100
catheter guided chemo-infusion,Catheter Guided Chemo-infusion in Breast Cancer,2.0849315068493155,Not yet recruiting,Interventional,No,No,Principal Investigator,50
2020/132,Nurse Navigation Program Based On Health Belief Model In Breast Cancer Screening (NaHeB-CaS),0.6712328767123288,Completed,Interventional,No,No,Principal Investigator,150
17-689,Contrast Enhanced Spectral Mammography vs. MRI for Breast Cancer Screening,5.2904109589041095,"Active, not recruiting",Interventional,No,Yes,Principal Investigator,82
831804,[18F] F-GLN by PET/CT in Breast Cancer,5.663013698630137,Recruiting,Interventional,Yes,No,Sponsor,30
PI-2842,Study for the Knowledge of Risk Factors Associated With Breast Cancer in Women,1.5013698630136987,Completed,Observational,No,No,Sponsor,66
NCC2985,Characteristics and Treatment Trends of Young Breast Cancer in China,2.9178082191780823,Not yet recruiting,Observational,No,No,Principal Investigator,1000
260281,Sodium (23Na) MRI for Tumour Characterisation and Assessment of Therapy Response in Breast Cancer,5.3863013698630136,Recruiting,Observational,No,No,Principal Investigator,65
V1 11.12. 2020 (C.I.R.E.C.),Onco-liq: Kit for Breast Cancer Diagnosis.,1.9150684931506852,Recruiting,Observational,No,No,Principal Investigator,500
154/2019,Short and Long Term Effects of a Physical Therapy Program After Breast Cancer Surgery,4.235616438356165,Suspended,Interventional,No,No,Principal Investigator,36
Amr Ahmed,"The Study of Quadruple Therapy Quercetin, Zinc, Metformin, and EGCG as Adjuvant Therapy for Early, Metastatic Breast Cancer and Triple-negative Breast Cancer, a Novel Mechanism",1.082191780821918,Not yet recruiting,Interventional,Yes,No,Principal Investigator,200
CLM-INS-004,PERSONAL - Sleep In Breast Cancer,0.547945205479452,Completed,Observational,No,No,Sponsor,226
2022-11-076-002,Comparison of Ultrasound and Breast MRI for Breast Cancer Detection,5.005479452054795,Not yet recruiting,Interventional,No,No,Principal Investigator,1464
Health Literacy of Breast Ca,The Effect of Breast Cancer Screening Training,0.8712328767123287,Not yet recruiting,Interventional,No,No,Principal Investigator,60
miRNA in breast cancer,Aberrant Expression of Micro RNA for Diagnosis of Breast Cancer,2.0657534246575344,Not yet recruiting,Observational,No,No,Principal Investigator,50
MC1933,Development of Patient Derived Xenografts (PDX) in Patients With Breast Cancer,21.019178082191782,Recruiting,Observational,No,No,Sponsor,100
RADIOVAL,Clinical Validation of Radiomics Artificial Intelligence: Application to Breast Cancer Treatment Planning,2.504109589041096,Recruiting,Observational,No,No,Sponsor,5000
CE21096B,Factors Affecting Rehabilitation Time for Postoperative Complications Among Breast Cancer Patients,2.0000000000000004,Recruiting,Observational,No,No,Sponsor,300
ZY(2018-2020)-CCCX-2005-04,Evaluating the Clinical Value of Traditional Chinese Medicine in the Adjuvant Therapy of Triple-negative Breast Cancer,4.0191780821917815,Recruiting,Interventional,No,No,Principal Investigator,200
MicroRNA in breast cancer,Diagnostic and Prognostic Value of MicroRNA in Breast Cancer Patients,2.0027397260273974,Not yet recruiting,Observational,No,No,Principal Investigator,50
GEICAM/2016-04,Study on the Progress of Breast Cancer Cases in Males and the Assessment of Relapse Risk,6.301369863013699,"Active, not recruiting",Observational,No,No,Sponsor,777
22IC7498,Behavioural Science Messages in Breast Cancer Screening,0.5041095890410959,Completed,Interventional,No,No,Sponsor,34047
BMIBC,Impact of Body Mass Index on Outcomes of Breast Cancer Management,1.4958904109589042,Unknown status,Observational,No,No,Principal Investigator,300
3.0840453,Phenotype and Prognosis of Patients With Breast Cancer and Pathogenic Variants of TP53,3.2273972602739724,Completed,Observational,No,No,Sponsor,135
18 SEIN 11,"Prospective, Multicentric Study Evaluating the Surgical Treatment by Mastectomy With Immediate Prosthetic Breast Reconstruction in Patients With Breast Cancer and Receiving Adjuvant Therapy by TomoTherapy +/-Chemotherapy.",6.49041095890411,Recruiting,Interventional,No,No,Sponsor,55
HKG-KZ-BrCa-101,"Detection of Breast Cancer With Non-invasive Method Based on DNA Methylation of Circulated Tumor DNA, PBMC",3.254794520547945,Terminated,Observational,No,No,Sponsor,165
Hibiscuss,"Breast Cancer Detection in Breast Surgical Specimens With the Histolog Scanner, Slide-free Confocal Microscope",2.5178082191780824,Completed,Observational,No,No,Sponsor,181
Pro00107118,A Pilot Study of a Micro-Organosphere Drug Screen Platform to Lead Care in Advanced Breast Cancer,2.4876712328767123,Recruiting,Observational,No,No,Sponsor,15
SNAPS Breast Cancer,SNAPS Breast Cancer Patient Study Breast Cancer Patients,2.3315068493150686,Suspended,Observational,No,No,Sponsor,500
17-447,Imaging With [11C]Martinostat in Breast Cancer,4.750684931506849,Withdrawn,Interventional,Yes,No,Sponsor-Investigator,0
22-509,Breast Cancer Survivor Educational Intervention,0.5041095890410959,Recruiting,Interventional,No,No,Principal Investigator,15
ZCHBC022,Dynamic Contrast-enhanced MRI Combined With IVIM-DWI for Early Prediction of Chemosensitivity in Liver MBC,3.2904109589041095,Recruiting,Observational,No,No,Principal Investigator,40
R.18.02.34.R1.R2,Association of Hepatitis C Virus With Breast Cancer,0.7506849315068493,Completed,Observational,No,No,Principal Investigator,650
ID-BCRPS-02-20220913,The Perspective of Healthy Individuals on Breast Cancer Risk Prediction Report In The Indonesian Population,0.2958904109589041,Recruiting,Interventional,No,No,Sponsor,20
112991,Hybrid PET/MR Imaging of Acute Cardiac Inflammation After Left-Sided Breast Cancer Radiotherapy,3.0,Unknown status,Observational,No,No,Sponsor,15
17-01549,Gradient-Echo Spectroscopic Imaging Study of Saturated Fat and Breast Cancer,6.50958904109589,Recruiting,Interventional,No,Yes,Sponsor,170
TET-21-001,Identification of Breast Cancer Specific Markers in Patients Compared to Healthy Participants,1.9917808219178084,Recruiting,Observational,No,No,Sponsor,60
202101073,Project Insight: Feasibility of a Breast Cancer Screening Decision Support Tool,0.3643835616438356,Completed,Interventional,No,No,Sponsor,1277
"estPerMed 1, Breast",Personalised Risk-based Breast Cancer Prevention and Screening,2.16986301369863,Unknown status,Interventional,No,No,Principal Investigator,28389
68824072019,Risk Reduction Program for Women Having High Risk of Breast Cancer,3.421917808219178,Completed,Interventional,No,No,Principal Investigator,77
3055,Correlation of Predictive Accuracy of PREDICT Version 2.2 of Indian Women With Operable Breast Cancer,4.1287671232876715,"Active, not recruiting",Observational,No,No,Principal Investigator,2780
20220303swj0211,The Psychology Intervention on Disease Acceptance and Quality of Life in Breast Cancer Patients,2.0027397260273974,Not yet recruiting,Interventional,No,No,Principal Investigator,90
RC20_0532,Breast Cancer Screening Uptake: a Randomized Controlled Trial Assessing the Effect of a Decisional Aid,2.0027397260273974,Not yet recruiting,Interventional,No,No,Sponsor,66000
Breast Cancer Risk,Breast Cancer Risk From Sonographic Glandular Tissue Component (or International GTC Study),7.167123287671233,Recruiting,Observational,No,No,Principal Investigator,16164
KMUHIRB-E(I)-20200041,"Develop and Evaluate the Effectiveness of a Self-Care Smartphone Application on the Self-Efficacy, and Resilience Among Newly Diagnosed Breast Cancer Patients Undergoing Treatment",1.9068493150684933,Completed,Interventional,No,No,Principal Investigator,73
VGHKS18-CT11-17,CEDM as a Screening Tool for Breast Cancer in Higher-risk Women: A Prospective Study,3.0,Completed,Observational,No,No,Principal Investigator,351
832165,Imaging of Primary or Recurrent Breast Cancer With 18F-FluorThanatrace PET/CT,7.978082191780823,Recruiting,Observational,Yes,No,Sponsor,50
ICO-2019-08,Interest of Touch-massage in Hospital Day Care,0.5972602739726027,Completed,Observational,No,No,Sponsor,36
biomarkers in breast cancer,Circular RNA and Chemerin in Breast Cancer Patient,2.16986301369863,Not yet recruiting,Observational,No,No,Principal Investigator,80
GEICAM/2017-07,Registry Study of Pregnancy and Breast Cancer,20.134246575342466,Recruiting,Observational,No,No,Sponsor,1000
LCCC2207,"Evaluation of the Acceptability, Appropriateness, and Feasibility/Usability of a Metastatic Breast-cancer Specific Prognostic Calculator Among Clinicians",3.0027397260273974,Recruiting,Observational,No,No,Sponsor,15
4452,Development of a Horizontal Data Integration Classifier for Noninvasive Early Diagnosis of Breast Cancer,3.868493150684932,"Active, not recruiting",Interventional,No,No,Sponsor,367
MCC-21448,Study of Screening Brain MRIs in Stage IV Breast Cancer,1.6931506849315068,Recruiting,Observational,No,No,Sponsor,100
2017-0588,Implementation of a Web-based Decision Aid for Breast Cancer Surgery,1.106849315068493,Completed,Observational,No,No,Sponsor,11
SK-421-BRCA,A Digital Solution for Breast Cancer Patients,1.1315068493150684,Recruiting,Interventional,No,No,Sponsor,66
autotaxin1,Autotaxin: a Potential Biomarker for Breast Cancer.,2.202739726027397,Completed,Interventional,No,No,Principal Investigator,110
UPCC 19121,Role of the Immune Environment in Response to Therapy in Breast Cancer,10.252054794520548,Recruiting,Observational,No,No,Principal Investigator,300
DS8201-A-U302,"DS-8201a Versus T-DM1 for Human Epidermal Growth Factor Receptor 2 (HER2)-Positive, Unresectable and/or Metastatic Breast Cancer Previously Treated With Trastuzumab and Taxane [DESTINY-Breast03]",5.64931506849315,"Active, not recruiting",Interventional,Yes,No,Sponsor,524
CCR 5113,PIONEER Study of Lifestyle Intervention to Reduced Breast Cancer Risk,3.208219178082192,"Active, not recruiting",Interventional,No,No,Sponsor,240
2019-05-157,Genetic Characteristics of Metastatic Breast Cancer Patients,5.043835616438356,Recruiting,Interventional,No,No,Principal Investigator,300
21-480,A Formative Evaluation For Improving Breast Cancer Hormone Receptor Testing in Tanzania,0.0821917808219178,Not yet recruiting,Observational,No,No,Sponsor,70
LQ005,Predicted Biomarkers of CDK4/6 Inhibitors (Palbociclib) in ER-positive Metastasis Breast Cancer,3.128767123287671,Unknown status,Observational,Yes,No,Principal Investigator,100
ICO-N-2017-02,Sentinel Lymph Node Procedure in Ipsilateral Invasive Breast Cancer Relapse,2.5178082191780824,Terminated,Interventional,No,No,Sponsor,50
medicin,Autotaxin (ATX) as a Marker for Breast Cancer,1.5041095890410958,Unknown status,Interventional,No,No,Principal Investigator,100
METCZ20200211,Magnetic Tracer in the Sentinel Node Procedure in Breast Cancer: the Non-radioactive Alternative for Radio-isotopes,0.526027397260274,Completed,Interventional,No,No,Principal Investigator,40
2021LC2210,Remote Breast Cancer Screening Study,3.9178082191780828,Recruiting,Observational,No,No,Principal Investigator,30000
17-581,Understanding Barriers to Initiation and Adherence to Endocrine Therapy in Young Breast Cancer Survivors of Diverse Backgrounds,0.4684931506849315,Completed,Observational,No,No,Principal Investigator,17
2020-A00058-31,Interest of Broadband Spectroscopy Analysis by Infrared Laser on Liquid Biopsies in Breast Cancer Screening,5.920547945205479,Recruiting,Interventional,No,No,Sponsor,1100
NCC3299,Construction and Validation of an Assessment Model of PCR After NAT on Breast Cancer Patients With AI Technology,0.7506849315068493,Recruiting,Observational,No,No,Principal Investigator,1821
351-19,mULM to Support Breast Cancer Diagnosis and Therapy,2.6,Recruiting,Interventional,No,No,Principal Investigator,74
ESR-21-21505,The Treatment Situation of Chinese County Population With Breast Cancer,1.9260273972602742,Recruiting,Observational,No,No,Sponsor,2500
LUMHS/REC/-17,Association of Tumour Grade and Sex Steroid Receptor as a Prognostic Index in Breast Cancer,0.5424657534246575,Unknown status,Observational,No,No,Principal Investigator,382
PekingUPH10B004,Neoadjuvant Therapy Study Guided by Drug Screening in Vitro for Human Epidermal Growth Factor Receptor 2 (HER2) Negative Early Breast Cancer Patients,5.750684931506849,Recruiting,Interventional,No,No,Sponsor,46
2014P002688a,Promoting Earlier Detection of Breast Cancer in Rwanda: Scaleup in the National Health Care System,1.7315068493150685,Completed,Observational,No,No,Principal Investigator,17379
ODELIA,A Retrospective Analysis of Magnetic Resonance Imaging Data for Breast Cancer Screening in the Open Consortium for Decentralized Medical Artificial Intelligence,5.0,"Active, not recruiting",Observational,No,No,Sponsor,25000
CD3-MUC1 in breast cancer,Study of Activated Cytokine-induced Killer Armed With Bispecific Antibody for Advanced Breast Cancer,1.1287671232876713,Withdrawn,Interventional,No,No,Sponsor,0
LCCC 1829,Harnessing Analysis RNA Expression and Molecular Subtype to Optimize Novel TherapY MBCA,12.115068493150686,Recruiting,Interventional,No,Yes,Sponsor,500
2022-080,"Pyrotinib Combined With Trastuzumab,Dalpiciclib and Letrozole for HR+/HER2+ Breast Cancer",2.989041095890411,Recruiting,Interventional,No,No,Sponsor,30
2018-TJ-BCP,SEMA4C as a Relapse Biomarker in Breast Cancer,3.9178082191780828,Not yet recruiting,Observational,No,No,Principal Investigator,4200
20218,A Pilot Study of the Combination of Entinostat With Capecitabine in High Risk Breast Cancer After Neo-adjuvant Therapy,3.758904109589041,Completed,Interventional,Yes,No,Principal Investigator,13
2017-03-002A,PET/MR Radiomics for Breast Cancer Diagnosis,4.49041095890411,Recruiting,Observational,No,No,Sponsor,120
LA LEAST,Limited Adjuvant Endocrine Therapy for Low Risk Breast Cancer,9.610958904109589,Recruiting,Interventional,No,No,Principal Investigator,290
1905795920,Breast Cancer Self-Efficacy Scale for Partners,2.4986301369863013,Terminated,Observational,No,No,Principal Investigator,25
2015-004027-31,HERPET- A Novel PET Imaging Study of HER2 in Breast Cancer,4.8191780821917805,Recruiting,Interventional,No,No,Sponsor,24
4-2018-0254,Brain Monitoring for High Risk of Brain Metastases in Metastatic Breast Cancer,4.671232876712328,Recruiting,Observational,No,No,Sponsor,200
BREACE,Exercise in Older Women With Breast Cancer During Systemic Therapy,5.046575342465753,Recruiting,Interventional,No,No,Principal Investigator,100
495077,18F-FDG PET/CT Imaging for Breast Cancer,9.87945205479452,Recruiting,Interventional,No,No,Sponsor,300
CCR4684,"Crizotinib in Lobular Breast, Diffuse Gastric and Triple Negative Lobular Breast Cancer or CDH1-mutated Solid Tumours",5.1506849315068495,Recruiting,Interventional,Yes,No,Sponsor,58
211753,BRAVE Strategy - Breast Cancer Risk Assessment -achieVing Equity,2.4,Recruiting,Interventional,No,No,Principal Investigator,500
1705018188,Dedicated Breast PET/MRI in Evaluation of Extent of Disease in Women With Newly Diagnosed Breast Cancer,3.9726027397260277,Terminated,Interventional,No,Yes,Sponsor,14
22-136,"A Study of an Alternative Treatment Approach (Preoperative Radiotherapy, Then Mastectomy, Then Immediate Reconstruction Surgery) in People With T4 Breast Cancer",3.0027397260273974,Recruiting,Interventional,No,No,Sponsor,60
CDK-HeCOG-2019,Clinical Outcome and Toxicity Data in Patients With Advanced Breast Cancer Treated With CDK Inhibitors Combined With Endocrine Therapy,2.0054794520547947,Completed,Observational,No,No,Sponsor,340
2020-0327,Comparison of MRI With PET / CT in the Evaluation of Response to Neoadjuvant Therapy Based on the Molecular Subtypes of Breast Cancer,2.5835616438356164,Completed,Observational,No,No,Sponsor-Investigator,88
RECO_CT29B,Investigation of Urinary Biomarkers for the Detection of Breast Cancer,1.2794520547945205,Recruiting,Interventional,No,No,Sponsor,200
SH ABCD,Autoantibodies in Breast Cancer Detection,10.282191780821918,Recruiting,Observational,No,No,Sponsor,1550
D8531C00002,A Study of Camizestrant in ER+/HER2- Early Breast Cancer After at Least 2 Years of Standard Adjuvant Endocrine Therapy,13.172602739726027,Recruiting,Interventional,Yes,No,Sponsor,4300
SOLTI-1910,Predicting Olaparib Sensitivity in Patients With Unresectable Locally Advanced/Metastatic HER2-negative Breast Cancer.,2.1890410958904107,Recruiting,Interventional,No,No,Sponsor,63
1905202-3,ScreenIng of Genetic Susceptibility Genes for Breast Cancer Patients in CHinese communiTies,4.002739726027397,Recruiting,Observational,No,No,Principal Investigator,5000
Targeted axillary dissection,Evaluation of Targeted Axillary Lymph Node Dissection in Node Positive Breast Cancer Patients Post Neo Adjuvant Therapy,1.6684931506849314,Not yet recruiting,Interventional,No,No,Principal Investigator,30
2021-0215,BRE-04: Window of Opportunity Trial of Preoperative Low Dose Azacitidine in High-Risk Early Stage Breast Cancer,2.3068493150684932,Recruiting,Interventional,Yes,No,Principal Investigator,40
2022-8048-23560,Frequency of Occult Breast Cancer After Prophylactic Mastectomy Among High-Penetrance Breast Cancer Gene Positives,0.24109589041095894,Recruiting,Observational,No,No,Principal Investigator,26
GFY202001,Study of Prediction of Ovarian Reserve in Yong Breast Cancer Patients Treated With Chemotherapy,3.495890410958904,Recruiting,Observational,No,No,Principal Investigator,200
2019-A01861-56,Correlation Between TILs and Blood Cell Counts in Triple Negative Breast Cancer Patients,7.830136986301371,Recruiting,Observational,No,No,Sponsor,90
18-634,Elevate! : An Elderly Breast Cancer Cohort Study,9.706849315068494,Recruiting,Observational,No,No,Principal Investigator,250
20 KHCC 202,Universal Genetic Testing Versus Guidelines-Directed Testing for Germline Pathogenic Variants Among Non-Western Patients With Breast Cancer,2.249315068493151,Recruiting,Observational,No,No,Principal Investigator,1000
IRB # 21-0026,Tear Based Sample Collection Breast Cancer Detection,4.3863013698630136,"Active, not recruiting",Observational,No,No,Sponsor,50
IRB00002991,Implementation of Online Adaptive Radiotherapy for Breast Cancer Patients on Ethos (BREAST-ART),2.2246575342465755,Recruiting,Observational,No,No,Principal Investigator,50
17-398,Feasibility of an Individualized Goals of Care Discussion Guide for Advanced Breast Cancer,1.2657534246575342,Completed,Interventional,No,No,Principal Investigator,45
ESR-17-12934,Study Estimating Association Between Germline Mutations and PD-L1 Expression in Breast Cancer,1.4958904109589042,Unknown status,Observational,No,No,Sponsor,390
LCCC 1954,Patient-centered Communication About Healthy Weight in Early Breast Cancer,0.29041095890410956,Completed,Observational,No,No,Sponsor,39
69HCL22_0613,Effect of Physical Activity in Patients With Breast Cancer.,0.4191780821917808,Withdrawn,Observational,No,No,Sponsor,0
LCCC2213,Metastatic Breast Cancer-Specific Prognostic Tool,2.0328767123287674,Recruiting,Observational,No,No,Sponsor,30
IC 2018-01,Isolation of Volatile Organic Compounds (VOCs) Related to the Olfactory Signature of Breast Cancer,2.158904109589041,Completed,Interventional,No,No,Sponsor,15
IC 2020 08,Isolation of Volatile Organic Compounds (VOCs) Related to the Olfactory Signature of Breast Cancer.,0.9013698630136986,Completed,Interventional,No,No,Sponsor,35
PI17/00834,Assessment of Feasibility and Acceptability of Personalized Breast Cancer Screening,2.9205479452054797,Completed,Interventional,No,No,Principal Investigator,387
PekingUMCH-FAPI-BC-1,Characterizing Breast Cancer With 68Ga-FAPI PET/CT,2.6684931506849314,Recruiting,Interventional,No,No,Sponsor,100
PekingUMCH-FAPI-BC-2,Characterizing Breast Cancer With Al18F-NOTA-FAPI-04 PET/CT,1.1397260273972603,Recruiting,Interventional,No,No,Sponsor,100
FMASUMD232/2021,Circulating microRNA 21 Expression Level Before and After Neoadjuvant Systemic Therapy in Breast Carcinoma,2.0849315068493155,Not yet recruiting,Observational,No,No,Principal Investigator,40
Breast immune checkpoint,Relationship Between Breast Cancer Subtypes and Immune Checkpoints,0.6246575342465753,Completed,Observational,No,No,Principal Investigator,60
IRB00283392,Messaging Strategies to Reduce Breast Cancer Over-screening in Older Women,0.5013698630136987,Not yet recruiting,Interventional,No,No,Sponsor,3000
IRB17-0721,Study of Pembrolizumab and Mifepristone in Patients With Advanced HER2-negative Breast Cancer,4.553424657534246,"Active, not recruiting",Interventional,Yes,No,Sponsor,74
180034,ONC201 in Recurrent/Refractory Metastatic Breast Cancer and Advanced Endometrial Carcinoma,3.723287671232877,Completed,Interventional,Yes,No,Principal Investigator,30
BCL IDE,Breast Cancer Locator Guided vs. Wire Localized Partial Mastectomy for Breast Cancer,2.5205479452054793,Recruiting,Interventional,No,Yes,Sponsor,448
REO 027,A Window-of-opportunity Study of Pelareorep in Early Breast Cancer,3.063013698630137,Terminated,Interventional,No,No,Sponsor,26
CentroHLO_EFBreastCancer,Evaluating and Following Breast Cancer Patients in a Better Way,1.5863013698630137,Unknown status,Observational,No,No,Principal Investigator,200
elastography in breast cancer,Shear Wave Elastography Assessment of Neoadjuvant Chemotherapy Response in Patients With Invasive Breast Cancer,1.2465753424657535,Not yet recruiting,Observational,No,No,Principal Investigator,35
2018-177-IMP-EXP-4,Tumor-Infiltrating Lymphocytes and Programmed Cell Death - Ligand 1 in Breast Cancer,3.6986301369863015,Recruiting,Observational,No,No,Principal Investigator,1000
V3-MOMMO-01,Open Label Immunotherapy Trial for Breast Cancer,1.5013698630136987,Unknown status,Interventional,No,No,Sponsor,20
PROICM 2020-01 OST,Evaluation of the Prevalence of Pelvic Static Disorders in Women With Localized Breast Cancer,0.7972602739726027,Completed,Observational,No,No,Sponsor,246
077-2019,Novel MRI-Guided Ultrasound Stimulated Microbubble Radiation Treatment for Patients With Chest-wall and Locally-Advanced Breast Cancer,3.9178082191780828,Recruiting,Interventional,No,No,Principal Investigator,20
18-281,Prospective Study of the Prosigna Assay on Neoadjuvant Clinical Decision-making in Women With HR+/Her2- Breast Cancer,4.868493150684931,Recruiting,Observational,No,No,Principal Investigator,60
2021-A02676-35,Establishment of an ex Vivo Tumor Collection of Triple-negative Breast Cancers in Order to Validate the Interest of Innovative Therapies and the Search for Predictive Biomarkers of Response to Treatment,3.8958904109589048,Recruiting,Observational,No,No,Sponsor,163
84434789,Looking At Triple Negative Breast Cancer Patient Experience Patterns in Medical Trials,2.0000000000000004,Not yet recruiting,Observational,No,No,Sponsor,500
2021-004,Acute Effects of Chemotherapy Administration on Skeletal Muscle of Breast Cancer Patients: the PROTECT-06 Study,0.8986301369863013,Recruiting,Observational,No,No,Sponsor,20
CBS-PIK3CA,Validation of Molecular Diagnostic Assays to Detect Cancer Biomarkers in Blood & Primary Tumor in ER+/HER2- MBC,3.6684931506849314,"Active, not recruiting",Observational,No,No,Sponsor,120
Juçara Phd Thesis,Emotional Evaluation and Reconstructed Breast Satisfaction,2.665753424657534,Unknown status,Interventional,No,No,Principal Investigator,110
18 SEIN 08,The Use of FES-PET Imaging as a Tool to Detect a Possible Reversion of Estrogen Receptor (ER)-α Status in Patients With Metastatic Breast Cancer HER2 + and ERα Neg Treated With Trastuzumab + Pertuzumab + Taxane.,0.863013698630137,Terminated,Interventional,No,No,Sponsor,4
ARNA Breast 2021,"In Vitro Study of the Liquid Biopsy Test System of the Diagnostic Value, in Women With Various Forms of Breast Cancer",0.6136986301369863,Unknown status,Observational,No,No,Sponsor,500
SNP-17-001,Clinical Implementation of a Polygenic Risk Score (PRS) for Breast Cancer,2.1424657534246574,Completed,Observational,No,No,Sponsor,118
2021-012,Efficacity of Deep Inspiration Breath Hold and Intensity-modulated Radiotherapy in Preventing PErfusion Defect for Left Sided Breast Cancer (EDIPE),2.0027397260273974,Recruiting,Interventional,No,No,Sponsor,58
69HCL18_0769,Awareness About Breast Cancer Screening,0.038356164383561646,Completed,Observational,No,No,Sponsor,2264
2394,Predictive Model of Axillary Nodal Status After Neoadjuvant Chemotherapy in Breast Cancer Patients,3.991780821917809,"Active, not recruiting",Observational,No,No,Principal Investigator,1950
CASE12119,Effectiveness of AI Genetic Counseling Program vs In-person Genetic Counseling in Breast Cancer,2.926027397260274,Recruiting,Interventional,No,Yes,Sponsor,100
18-124,ATOP TRIAL: T-DM1 in HER2 Positive Breast Cancer,11.03013698630137,"Active, not recruiting",Interventional,Yes,No,Principal Investigator,82
18-461,Decisions of Young Women With Breast Cancer Regarding Fertility Preservation Before Cancer Treatment and Family Building After Treatment,4.956164383561644,"Active, not recruiting",Observational,No,No,Sponsor,209
2020-KY-064,Efficacy and Safety of Eribulin in the Treatment of Advanced Breast Cancer,3.0821917808219177,Recruiting,Observational,No,No,Principal Investigator,80
3049,Evaluating Breast Cancer Patients Modesty During Radiotherapy. A Multicentric Study,2.3205479452054796,Completed,Observational,No,No,Sponsor,537
EFC16133,"Study of Amcenestrant (SAR439859) Versus Tamoxifen for Patients With Hormone Receptor-positive (HR+) Early Breast Cancer, Who Have Discontinued Adjuvant Aromatase Inhibitor Therapy Due to Treatment-related Toxicity",0.6520547945205479,Terminated,Interventional,Yes,No,Sponsor,3
CLEE011O12001,Phase IIIb Study of Ribociclib + ET in Early Breast Cancer,6.750684931506849,Not yet recruiting,Interventional,Yes,No,Sponsor,2500
82944089,Discovering Factors in Metastatic Breast Cancer Patients Clinical Trial Experiences,2.0027397260273974,Not yet recruiting,Observational,No,No,Sponsor,500
