ID,Gender,Minimum_Age,Healthy_Volunteers
FMASUMD232/2021,Female,18 ,No
Breast immune checkpoint,Female,18 ,nan
180034,All,18 ,No
IRB17-0721,All,18 ,No
BCL IDE,Female,18 ,No
REO 027,Female,18 ,No
CentroHLO_EFBreastCancer,Female,18 ,No
elastography in breast cancer,All,nan,No
2018-177-IMP-EXP-4,All,18 ,No
V3-MOMMO-01,Female,18 ,No
PROICM 2020-01 OST,Female,50 ,No
077-2019,All,18 ,No
18-281,All,18 ,No
2021-A02676-35,Female,18 ,No
84434789,Female,18 ,No
2021-004,Female,18 ,No
CBS-PIK3CA,Female,18 ,Accepts Healthy Volunteers
Juçara Phd Thesis,Female,18 ,No
18 SEIN 08,Female,18 ,No
ARNA Breast 2021,Female,35 ,Accepts Healthy Volunteers
SNP-17-001,Female,18 ,No
2021-012,Female,18 ,No
69HCL18_0769,Female,18 ,Accepts Healthy Volunteers
2394,Female,18 ,No
CASE12119,Female,18 ,No
18-124,All,60 ,No
18-461,Female,18 ,No
2020-KY-064,Female,18 ,No
3049,Female,18 ,No
EFC16133,All,18 ,No
82944089,All,18 ,No
NewGiza University Protocol 1,Female,18 ,Accepts Healthy Volunteers
s66248,All,18 ,No
964635,Female,18 ,No
3/19,Female,25 ,nan
SCCC-11118; STU-2018-0015,Female,18 ,No
19-003085,Female,35 ,Accepts Healthy Volunteers
2019402,Female,18 ,No
RADIO-SLEEP,Female,18 ,No
Protocol EMIT-1,All,18 ,No
17/09/621_Myosin VI,Female,18 ,Accepts Healthy Volunteers
2017/1356,Female,20 ,No
IC 2016-07,Female,18 ,Accepts Healthy Volunteers
left breast cancer,Female,18 ,No
180212-1,Female,65 ,No
19-001,Female,75 ,No
CTRP6 in Breast Cancer,All,18 ,nan
CESM in breast cancer,All,nan,nan
UCaenNormandie,Female,50 ,Accepts Healthy Volunteers
SOLTI-1903,All,18 ,No
Vitamin D in breast cancer,Female,18 ,No
17-552,Female,18 ,No
CCR5348,All,18 ,No
19HLSEIN02,Female,18 ,No
STUDY00011606,Female,40 ,No
03/21,Female,18 ,No
AHQU-2021007,Female,18 ,No
D8530C00003,Female,18 ,No
2019-05-157,All,18 ,No
200056,All,18 ,No
182-20-CA,Female,18 ,No
Shengjing-LCG008,Female,18 ,No
NeoRadUKD,Female,18 ,No
KY20192114-C-1,All,nan,No
STUDY19060359,Female,30 ,Accepts Healthy Volunteers
2019.089,Female,nan,nan
Xist,Female,20 ,No
UEM0002,Female,18 ,No
004181,All,18 ,Accepts Healthy Volunteers
HERMIONE 13,Female,18 ,No
STANDPOINT,Male,18 ,Accepts Healthy Volunteers
NL75855.091.21,Female,18 ,No
CASE5118,Female,18 ,nan
21 SEIN 09,All,18 ,No
CINEICC-3-IAT,Female,18 ,No
Bakircay University,Female,18 ,No
HR-HER2-RWS-01,Female,18 ,No
01-BR-003,All,18 ,No
21149002,Female,18 ,Accepts Healthy Volunteers
21-528,Female,18 ,No
DS8201-0002-EAP-MA,All,18 ,No
AAAU1629,Female,35 ,Accepts Healthy Volunteers
BC-NEO-IIT-SHR1316-SHR6390-RT,Female,18 ,No
2020-12/898,Female,18 ,No
CHUBX 2016/19,All,18 ,Accepts Healthy Volunteers
IRB202100182 -N,Female,30 ,No
PI-0538-2017,Female,25 ,Accepts Healthy Volunteers
21/4657,Female,18 ,No
2019-KY-001-003,All,18 ,No
AbantIBU,Female,18 ,Accepts Healthy Volunteers
121K686,Female,18 ,No
06-2020,Female,18 ,No
NADOPTIC,Female,18 ,No
CHIR-07-Sentimag,All,18 ,nan
Pro00020917,Female,18 ,No
Breast Cancer,Female,18 ,No
BSU,Female,18 ,No
URomLS Prot.0930/2021Rif. 6528,Female,18 ,No
SOLTI-1716,All,18 ,No
2020-0724,All,18 ,Accepts Healthy Volunteers
LCCC 1749,Female,21 ,No
GIMI-IRB-20005,All,18 ,No
202302017,Female,50 ,No
17-PP-19,Female,18 ,Accepts Healthy Volunteers
2015-4-6-003,Female,18 ,No
FIRST,All,18 ,No
PUMCH-BREAST-ctDNA screening,Female,18 ,nan
147/19,Female,25 ,Accepts Healthy Volunteers
STUDY00001641,Female,45 ,Accepts Healthy Volunteers
PetrovRIO,Female,18 ,No
MD 177/2021,All,18 ,Accepts Healthy Volunteers
A5481177,All,18 ,No
2017-KY-19,Female,18 ,No
Radiotherapy in breast cancer,All,18 ,No
19-001004,Female,35 ,Accepts Healthy Volunteers
19049,All,nan,Accepts Healthy Volunteers
Z211100002921033,Female,18 ,No
CFDAIIUASABFDOBC,Female,19 ,Accepts Healthy Volunteers
Breast cancer neoadjuvant,Female,18 ,No
wanghaibo,Female,18 ,No
2020-KY-063,Female,18 ,No
PUMCH-BC502,Female,36 ,No
852-20,Female,19 ,No
2020[84],Female,18 ,No
SYSEC-KY-2018-018,Female,18 ,No
19-045,Female,18 ,No
PROICM 2019-16-BCU,Female,18 ,No
IBCSG 59-19,All,18 ,No
33293720.9.0000.5505,Female,18 ,Accepts Healthy Volunteers
199080,Female,50 ,No
SLN SPECT,Female,18 ,Accepts Healthy Volunteers
SOLTI-1907,All,18 ,No
SDS-HER-01-2018,Female,18 ,No
APHP211502,Female,18 ,No
ISTMET-BHWGI2022-1,Female,18 ,No
SCHBCC-N024,Female,18 ,No
Cpetptmrbc,Female,nan,No
4817,Female,18 ,No
EEBC,Female,65 ,No
symptom of breast cancer,Female,20 ,No
IEO 0761/,All,18 ,No
CELC-G-301,All,18 ,No
CARMA-2101,All,18 ,No
RWD_abemaciclib,All,18 ,No
Tiresias,Female,nan,No
A5481125,Female,18 ,No
20-1789.cc,Female,18 ,No
ML40952,Female,18 ,No
DBCG Proton trial,All,18 ,No
OOTR-N016/KBCRN-B-003/HT-PAB,Female,18 ,No
710/2021,Female,18 ,No
19-003028,All,18 ,No
KL166-IIS-001,All,18 ,No
V2_16-04-2020,Female,18 ,No
N19ASC,Female,18 ,No
SNBvsPET/MRI 2,All,18 ,No
dingxwyh01,Female,18 ,Accepts Healthy Volunteers
SNUH_FMI,Female,19 ,No
2022/0035986,Female,18 ,No
RF-2013-02358165,Female,18 ,No
18-516,All,18 ,No
2022106,All,18 ,No
19-147,Female,18 ,No
dingxwyh02,Female,18 ,Accepts Healthy Volunteers
19 SEIN 14,Female,18 ,No
AURORA,Female,18 ,No
17/0765,Female,18 ,No
BR02/03/21,Female,21 ,No
2018-9529,All,18 ,Accepts Healthy Volunteers
1186,Female,18 ,nan
REaCT-HER TIME,All,18 ,No
01-2021,All,18 ,No
D9673R00011,All,nan,No
APHP211593,Female,18 ,No
SOLTI-1911,All,18 ,No
IC 2018-08,Female,18 ,No
AHQU-2021006,Female,18 ,No
Breast Cancer,Female,18 ,Accepts Healthy Volunteers
FLA 18-057,Female,40 ,No
V2011201,All,18 ,No
HERdi PREDICT,All,18 ,No
HCB-ONC001 (ML41519),Female,40 ,No
IRB-300002157,All,18 ,No
IAyas2,All,18 ,Accepts Healthy Volunteers
A5481176,All,nan,No
Shengjing-LCG009,Female,18 ,No
OTT-19-06,Female,18 ,No
20210312,Female,nan,No
FAST feasibility in CU,Female,40 ,No
Sentinel lymph node biopsy,Female,18 ,Accepts Healthy Volunteers
BC001,Female,18 ,No
SOC.04/20-21,Female,47 ,No
UT BCS ECS Study,Female,18 ,No
oddie2,Female,40 ,No
FMASU R61/2020,Female,nan,No
18-109,Female,21 ,No
19-509,All,18 ,No
19-277,Female,18 ,No
UW 20-064,All,18 ,No
20-1039,All,18 ,No
UC-0105/1701,All,18 ,No
BRAR1,Female,18 ,nan
18-1025,All,18 ,No
IRB16-0396,Female,40 ,Accepts Healthy Volunteers
09.2019.984,Female,18 ,No
O4M-B001,All,18 ,No
TaiHao TVGH2020-07-006AC#1,Female,20 ,No
STGKS001,Female,40 ,No
19-086,Female,18 ,No
CNER 202107/05,Female,18 ,No
Optimune Trial,Female,30 ,No
1808019498,Female,18 ,No
Emotional security&mastectomy,Female,18 ,Accepts Healthy Volunteers
HYGEE,Female,18 ,No
A5481115,All,nan,No
Breast Audit,All,18 ,No
STU-2018-0370,Female,18 ,No
MRI in breast cancer,Female,18 ,nan
Prix Ruban Rose/2021/FF-01,Female,18 ,No
Pyrotinib neoadjuvant,Female,20 ,No
FUSCC-OMIT,Female,18 ,No
SMC 2021-02-102,Female,20 ,No
BSMMU/2019/8874,Female,30 ,No
20210601,Female,18 ,Accepts Healthy Volunteers
99mTc-ADAPT6 vs 99mTc-DARPinG3,Female,18 ,No
Telemonitoring BCS,Female,18 ,No
CCTG MA.39,Female,35 ,No
IRB-2022-166,All,18 ,No
2490,Female,18 ,Accepts Healthy Volunteers
19/317-2101,Female,18 ,No
2021-1116,Female,18 ,No
SPT-2021-002,Female,18 ,No
s66248-aim2,All,18 ,Accepts Healthy Volunteers
Cardiac safety study,Female,18 ,nan
BGB-290-201,All,18 ,No
10038,All,18 ,No
Pro00085352,Female,18 ,No
EORTC 1745-ETF-BCG,All,70 ,No
4523,Female,18 ,No
17-455,All,18 ,No
01AB21- PIK3CA,All,18 ,No
ICO-N-2017-12,Female,18 ,No
Optimune Trial Add-on,Female,30 ,No
2018396H,Female,18 ,No
PROICM 2020-05 SKY,Female,18 ,No
GEICAM/2019-01,Female,18 ,No
69HCL18_0310,Female,18 ,No
2004-261-112,All,20 ,nan
MA-BC-Ⅱ-040,Female,18 ,No
APHP190505,Female,18 ,nan
2019-1183,Female,18 ,No
IJB-NERABRAIN-ODN-007,Female,18 ,No
19-066,All,18 ,No
EH18-203,Female,20 ,Accepts Healthy Volunteers
22-280,Female,18 ,No
BakircayU,Female,25 ,No
A211801,Female,25 ,Accepts Healthy Volunteers
SGK-SFC-001,All,18 ,No
CAAE: 39277420.8.0000.5313,Female,18 ,No
D361DC00001,All,18 ,No
PekingUMCH-NM25,Female,18 ,No
5354-CL-1201,All,18 ,No
MO39485,All,18 ,nan
SOC.03/20-21,Female,47 ,No
2019-228,Female,30 ,No
800646,Female,18 ,No
NP 1521/19,All,18 ,No
DARE,All,nan,No
M2020 UK01,Female,18 ,nan
[2019]52,Female,18 ,No
TRA05-GEFPICS,Female,18 ,No
NOV2016PhD818,Female,18 ,No
BCP28,Female,18 ,No
GEICAM/2017-01_IBCSG 62-20_BIG,All,18 ,No
PekingUMCH-FES-BC-1,Female,18 ,No
GCO 17-00563,Female,55 ,No
EudraCT 2020-005200-19,All,18 ,No
D9673C00007,All,18 ,No
LY2022-028-B,Female,18 ,No
ATADEK-2021/14/16,Female,18 ,Accepts Healthy Volunteers
J21125,All,18 ,No
2018-9567,All,18 ,Accepts Healthy Volunteers
UBRS20139,All,18 ,No
TQB3616-III-03,Female,18 ,No
MD.21.09.521.R,Female,18 ,Accepts Healthy Volunteers
20190283,Female,50 ,No
FISH in breast cancer,Female,20 ,nan
NCC3075,Female,18 ,No
CSPC-DMS-BC-13,Female,18 ,No
19900601,Female,18 ,No
DBCG RT Recon,Female,18 ,No
PROICM 2019-11 PRA,Female,18 ,No
201819010.4,Female,18 ,No
2018NTLS176,Female,18 ,No
SPHIC-TR-BCa2022-01,Female,18 ,No
SRMBCNabP2022,Female,18 ,No
C3441020,All,18 ,No
18ON009,Female,18 ,No
FDRT-BC009,Female,18 ,No
18-223,All,18 ,No
MCC-20897,All,18 ,No
21-3576.cc,Female,18 ,Accepts Healthy Volunteers
IIT2018-01-McArthur-IPI,Female,18 ,No
BCHRD201,All,18 ,No
BrIMA,Female,18 ,No
ChanghaiHTB,Female,18 ,No
2018-00838; ch20Weber2,All,18 ,No
WSG-AM09,Female,18 ,No
UC-0107/1903,Female,65 ,No
PANONC-1 Version: 1.1,All,18 ,No
AB-MR for Second Breast Cancer,Female,25 ,No
AHQU-2021005,Female,18 ,No
2019/FO244363,Female,50 ,Accepts Healthy Volunteers
BC-2019,Female,18 ,No
KYJJ-2021-186,Female,18 ,No
18-058,Female,21 ,No
19-188,Female,18 ,No
BCSCO003,All,nan,No
SP00049673,Female,18 ,No
DSCN-EHT-NIS-BC001,All,18 ,No
17-512,All,18 ,No
SCBCS025,Female,18 ,No
19-239,Female,18 ,No
LC2019L06,All,18 ,No
GEICAM/2016-03,Female,18 ,No
Breast Screening with DWI,Female,30 ,Accepts Healthy Volunteers
HNCH-BC003,Female,18 ,No
21-183,All,18 ,No
02AB21-TucErBit,All,18 ,No
IRB-48150,All,18 ,No
ICO-2019-03,All,18 ,No
Soh-Med-23-01-07,Female,18 ,No
IUSCC-0613,All,18 ,No
Breast Cancer Screening,Female,25 ,No
16-145,Female,21 ,No
A5481144,All,nan,No
D133FR00138,Female,50 ,No
State University of São Paulo,Female,18 ,Accepts Healthy Volunteers
21-440,All,18 ,No
YM107109E,Female,20 ,No
GEICAM/2020-08,All,18 ,No
2023-09,Female,18 ,No
ARV-471-BC-201,Female,18 ,No
grid.412416.4,Female,20 ,Accepts Healthy Volunteers
18-333,Female,18 ,No
MA-BC-II-024,Female,18 ,No
intestinal flora study,Female,18 ,No
ML42450,All,18 ,No
GNC-035-103,All,18 ,No
DS8201-A-U301,All,18 ,No
2018-09-007A,Female,20 ,No
M18DMB,Female,18 ,No
Microbiome_BC&PnC,All,18 ,No
ZNJC201935,Female,18 ,No
R148/2021,Female,18 ,No
SCHBCC0N026,Female,18 ,No
MUKDEN-09,Female,18 ,No
NACAGEP,Female,18 ,No
2017MayPR898,Female,18 ,No
RGT-419B_01-101,All,18 ,No
NCC 2019-0098,Female,18 ,No
21-003046,Female,18 ,No
SSGJ-302H-mBC-IIT-01,Female,18 ,No
KY2019-070,Female,18 ,No
A5481155,All,18 ,No
D8530C00001,Female,18 ,No
APHP191059,Female,18 ,No
BT006,All,18 ,No
1R01CA236860-01A1,Female,18 ,No
310-17-SZMC,Female,18 ,No
CINDERELLA,All,18 ,No
2017-01282 (BASEC),Female,18 ,No
CCR5214,All,18 ,No
MCC-21757,All,18 ,No
K2022-025-01,Female,18 ,No
PUMCH-MUSD,Female,35 ,nan
0720222005,Female,19 ,No
D967UC00001,All,18 ,No
PLEASURABLE,Female,18 ,No
21822,All,18 ,No
CTNZ-2017-01,All,18 ,No
20-649,All,18 ,No
2020-08-06R,Female,18 ,Accepts Healthy Volunteers
Qassim QDs-VELD,Female,25 ,Accepts Healthy Volunteers
HR-BLTN-III-EBC,Female,18 ,No
COV-19 BUMDC,Female,25 ,No
14-833-02,Female,21 ,No
17-519,Female,18 ,No
Radiotherapy in Breast Cancer,Female,18 ,No
2020-A01423-36,Female,18 ,No
STML-ELA-0222,All,18 ,No
C3441055,All,nan,No
CRF-NHI01,All,nan,No
H-41818,Female,18 ,No
CLUE-BCL,All,18 ,No
nihan25,Female,18 ,Accepts Healthy Volunteers
2020-0927,Female,18 ,No
2020FES,All,18 ,No
PRO00034502,Female,nan,No
Breast cancer in females,Female,18 ,No
SCLND0919,Female,nan,No
PUMA-NER-6203,All,18 ,No
KBCSG-24,Female,20 ,No
AHQU-2021001,Female,18 ,Accepts Healthy Volunteers
Fenofibrate in Breast Cancer,Female,18 ,No
AHQU-2021003,Female,18 ,No
2018LS148,Female,18 ,No
PekingUMCH-BCa093,All,18 ,No
ADA,Female,18 ,Accepts Healthy Volunteers
514-0213/21-5000,Female,20 ,Accepts Healthy Volunteers
CentroHLOBreastUnit,Female,50 ,No
CCR4965,Female,18 ,No
GCO 21-0699,Female,18 ,Accepts Healthy Volunteers
DBCG RT Natural Trial,Female,60 ,No
IPNCb-01,All,18 ,No
CSPC-KAL-BC-12,All,18 ,No
003-2017,All,18 ,No
Breast cancer treatment,Female,18 ,No
18-561,All,18 ,No
E19137,Female,18 ,No
Vitamin D and breast cancer,Female,50 ,No
SYSEC-KY-KS-2021-182,Female,18 ,No
CASE6119,All,18 ,Accepts Healthy Volunteers
KX-ORAX-CN-007,Female,18 ,No
NCC2018M-042,Female,18 ,No
CTO-IUSCCC-0803,All,18 ,No
55791222.0.0000.5313,Female,18 ,No
UF-BRE-002,All,18 ,No
18-010602,Female,35 ,Accepts Healthy Volunteers
GIM21 - LiqERBcept,Female,18 ,No
BREAST-SK-001,Female,18 ,No
LR19/011/50551,Female,40 ,Accepts Healthy Volunteers
STU00201961A,Female,21 ,No
18-641,Female,18 ,No
CLEE011O12301C,All,18 ,No
HIRSLANDEN 01 SAKK 23/18,All,18 ,No
CCH-IRB-190414-P,Female,20 ,No
348455,Female,nan,No
SOLTI-2101,All,18 ,No
Zz123456.,Female,18 ,No
GBG102 - SASCIA,All,18 ,No
PROICM 2018-05 BCU,Female,18 ,No
CAAE: 91570318.5.0000.5149,All,18 ,No
SYSKY-2022-030-01,Female,18 ,No
FWA00015574/6-01-2019/korany,Female,18 ,No
UI-ROD-OCTU02,Female,18 ,No
KY20182079-F-1,Female,18 ,No
PN-301-21,All,18 ,No
Radiation in breast cancer,All,18 ,Accepts Healthy Volunteers
4-2018-0160,Female,20 ,No
ROCK,Female,50 ,No
SOLTI-1805,All,18 ,No
KY20202075-F-2,Female,18 ,No
06805118.2.1001.5404,Female,18 ,No
ID4060,Female,18 ,No
AN.MCME.CR.12,Female,18 ,No
MedOPP293,All,18 ,No
iOM-110383,Female,18 ,No
IRST174.25,Female,18 ,No
EUROPA,Female,70 ,No
HM022BC3C01,Female,18 ,No
UF-BRE-007,All,18 ,No
SOLTI-2103,All,18 ,No
SOLTI-1503,Female,18 ,No
0023041/i,Female,18 ,No
LQ009,Female,18 ,No
BGB-900-2001-IIT,Female,18 ,No
CLEE011H2301,All,18 ,No
ONAWA (SOLTI-1802),Female,18 ,No
2020_61,Female,18 ,No
1,Female,18 ,No
STUDY00010776,Female,60 ,No
CASE13119,Female,18 ,No
ZX-2021-FES-ESTROTIMP-4,Female,18 ,No
2017-0499,All,18 ,No
IIT-UM2018001,Female,18 ,No
UPCC 17120,Female,18 ,No
Shengjing_002,Female,18 ,No
IRB-57723,All,18 ,No
3764,All,18 ,No
D8530C00006,Female,20 ,No
115858,Female,50 ,No
CCH-IRB-190414-R,Female,20 ,No
UCCS20110,All,65 ,No
Shengjing-LJY04,Female,18 ,nan
2019-004559-35,Female,40 ,No
GEICAM/2017-04,All,18 ,nan
KARMA Kontrast,Female,40 ,No
ACE-Breast-03,All,18 ,No
BREAST,All,18 ,No
FMBSUREC/10102021/Rabie,Female,18 ,No
1808-42,All,18 ,nan
2020-535,Female,18 ,No
RP-20-013,Female,18 ,No
EF141,All,18 ,No
STUDY00001225,All,18 ,Accepts Healthy Volunteers
CCR5119,All,18 ,No
3475-756,All,18 ,No
21-271,Female,18 ,No
STUDY2019000317,All,18 ,No
FirstHCMU_CB_001,Female,18 ,No
2022-0055,Female,18 ,No
WEFITTER,Female,18 ,No
A5481178,Female,18 ,No
ARO-2015-1,Female,18 ,No
HNCH-MBC11,Female,18 ,No
SOLTI-1507,All,18 ,No
DKFZ-2019-008,All,18 ,No
20170328,Female,18 ,No
SHPD005,Female,18 ,No
dAGEs,Female,19 ,Accepts Healthy Volunteers
20-124,Female,18 ,No
NIR-THERMA-02,Female,18 ,Accepts Healthy Volunteers
LaPemERLA,All,21 ,No
E7389-M082-602,All,nan,No
Pro00020138,All,18 ,No
18-394,All,18 ,No
2019SABE028,Female,30 ,No
IIBSP-PRO-2021-10,Female,18 ,No
SYSUCC-015,Female,18 ,No
REO 026-1,Female,18 ,No
STUDY00001233,All,21 ,Accepts Healthy Volunteers
2019.429,Female,18 ,No
CP7-005,Female,18 ,No
2021/193780(REK),Female,18 ,No
INCASE0518,Female,18 ,No
123123,Female,18 ,No
JTU-6H-20211011001,All,18 ,No
INST 1607,Female,18 ,No
CIMS-4FMFES-2021-3966,All,18 ,No
SOLTI-1718,All,18 ,No
Yunwei Wei 2019-09-13,Female,18 ,Accepts Healthy Volunteers
HLX11-BC301,All,18 ,No
Zoledronic Acid In Breast Ca,Female,45 ,No
Tacrolimus_2020,Female,30 ,No
6788,All,18 ,No
KSRAD001,Female,40 ,No
Stage 2 compression therapy,Female,18 ,No
CASE5120,All,18 ,No
PROICM 2020-07 VIS,Female,18 ,No
CL1-81694-003,All,18 ,No
Shengjing-LCG005,Female,18 ,No
2020.KB.SAG.069,Female,20 ,No
NCC1824,Female,18 ,No
INNOVBC,Female,18 ,No
R20-003,Female,50 ,No
MedOPP319,Female,18 ,No
WO39391,All,18 ,No
NCC1867,Female,18 ,No
20-157,All,18 ,No
2-102-21,Female,18 ,Accepts Healthy Volunteers
HunanCH-BC-001,Female,18 ,Accepts Healthy Volunteers
2021.693,Female,18 ,No
GENEXAN,Female,18 ,No
HSC20160245H,Female,18 ,No
GRO-06-001,Female,25 ,No
Neveen,All,18 ,Accepts Healthy Volunteers
Melody_002,Female,18 ,No
REC-H-PHBSU-21010,All,18 ,No
YOUNGBC-22,Female,18 ,No
16D.674,All,18 ,No
SMC- 5725-18,Female,18 ,No
2000025837,All,18 ,No
2020/33,Female,65 ,No
DS8201-A-U305,All,18 ,No
2018.016,Female,18 ,No
HE071-CSP-021,All,18 ,No
Shengjing_001,Female,55 ,No
PREDIX II HER2,Female,18 ,No
ATADEK 2022-17/27,Female,18 ,No
CHIR-01-sentinel,Female,18 ,No
R.20.05.834,Female,18 ,No
MCC-20902,All,18 ,No
D3615C00001,All,18 ,No
SMC-2019-05-021 (2),Female,20 ,No
PUMCH-BC501,Female,36 ,No
17/209,Female,48 ,Accepts Healthy Volunteers
PCS-001,All,18 ,No
1563/2018,Female,30 ,No
C3441053,All,18 ,No
2021-0170,Female,18 ,No
PUMCH-SBSBC,Female,18 ,No
B27IB3856,Female,50 ,No
2018.08.ST,All,18 ,No
YYS-20200305,All,18 ,No
CAN04CLIN005,All,18 ,No
ORIN1001-001,All,18 ,No
YOUNGBC-7,All,18 ,No
LUN_MMG_121,Female,nan,Accepts Healthy Volunteers
Breast Cancer-RISS,Female,18 ,No
LCCC2105,Female,65 ,nan
STML-ELA-0322,All,18 ,No
RJrapidplan,Female,18 ,No
2-049-18,Female,18 ,Accepts Healthy Volunteers
MIES-BCNAT,Female,18 ,No
MACSSI (ET18-150),Female,18 ,nan
HNCH-BC010,Female,18 ,No
